Latitude,Longitude
-169.5,79.5
-168.5,79.5
-167.5,79.5
-166.5,79.5
-165.5,79.5
-164.5,79.5
-163.5,79.5
-162.5,79.5
-161.5,79.5
-160.5,79.5
-159.5,79.5
-158.5,79.5
-157.5,79.5
-156.5,79.5
-155.5,79.5
-154.5,79.5
-153.5,79.5
-152.5,79.5
-151.5,79.5
-150.5,79.5
-149.5,79.5
-148.5,79.5
-147.5,79.5
-146.5,79.5
-145.5,79.5
-144.5,79.5
-143.5,79.5
-142.5,79.5
-141.5,79.5
-140.5,79.5
-139.5,79.5
-138.5,79.5
-137.5,79.5
-136.5,79.5
-135.5,79.5
-134.5,79.5
-133.5,79.5
-132.5,79.5
-131.5,79.5
-130.5,79.5
-129.5,79.5
-128.5,79.5
-127.5,79.5
-126.5,79.5
-125.5,79.5
-124.5,79.5
-123.5,79.5
-122.5,79.5
-121.5,79.5
-120.5,79.5
-119.5,79.5
-118.5,79.5
-117.5,79.5
-116.5,79.5
-115.5,79.5
-114.5,79.5
-113.5,79.5
-112.5,79.5
-111.5,79.5
-110.5,79.5
-109.5,79.5
-108.5,79.5
-107.5,79.5
-106.5,79.5
-105.5,79.5
-104.5,79.5
-103.5,79.5
-102.5,79.5
-101.5,79.5
-100.5,79.5
-99.5,79.5
-98.5,79.5
-97.5,79.5
-96.5,79.5
-95.5,79.5
-94.5,79.5
-93.5,79.5
-92.5,79.5
-91.5,79.5
-90.5,79.5
-89.5,79.5
-88.5,79.5
-87.5,79.5
-86.5,79.5
-85.5,79.5
-84.5,79.5
-83.5,79.5
-82.5,79.5
-81.5,79.5
-80.5,79.5
-79.5,79.5
-78.5,79.5
-77.5,79.5
-76.5,79.5
-75.5,79.5
-74.5,79.5
-73.5,79.5
-72.5,79.5
-71.5,79.5
-70.5,79.5
-69.5,79.5
-68.5,79.5
-67.5,79.5
-66.5,79.5
-65.5,79.5
-64.5,79.5
-63.5,79.5
-62.5,79.5
-61.5,79.5
-60.5,79.5
-59.5,79.5
-58.5,79.5
-57.5,79.5
-56.5,79.5
-169.5,78.5
-168.5,78.5
-167.5,78.5
-166.5,78.5
-165.5,78.5
-164.5,78.5
-163.5,78.5
-162.5,78.5
-161.5,78.5
-160.5,78.5
-159.5,78.5
-158.5,78.5
-157.5,78.5
-156.5,78.5
-155.5,78.5
-154.5,78.5
-153.5,78.5
-152.5,78.5
-151.5,78.5
-150.5,78.5
-149.5,78.5
-148.5,78.5
-147.5,78.5
-146.5,78.5
-145.5,78.5
-144.5,78.5
-143.5,78.5
-142.5,78.5
-141.5,78.5
-140.5,78.5
-139.5,78.5
-138.5,78.5
-137.5,78.5
-136.5,78.5
-135.5,78.5
-134.5,78.5
-133.5,78.5
-132.5,78.5
-131.5,78.5
-130.5,78.5
-129.5,78.5
-128.5,78.5
-127.5,78.5
-126.5,78.5
-125.5,78.5
-124.5,78.5
-123.5,78.5
-122.5,78.5
-121.5,78.5
-120.5,78.5
-119.5,78.5
-118.5,78.5
-117.5,78.5
-116.5,78.5
-115.5,78.5
-114.5,78.5
-113.5,78.5
-112.5,78.5
-111.5,78.5
-110.5,78.5
-109.5,78.5
-108.5,78.5
-107.5,78.5
-106.5,78.5
-105.5,78.5
-104.5,78.5
-103.5,78.5
-102.5,78.5
-101.5,78.5
-100.5,78.5
-99.5,78.5
-98.5,78.5
-97.5,78.5
-96.5,78.5
-95.5,78.5
-94.5,78.5
-93.5,78.5
-92.5,78.5
-91.5,78.5
-90.5,78.5
-89.5,78.5
-88.5,78.5
-87.5,78.5
-86.5,78.5
-85.5,78.5
-84.5,78.5
-83.5,78.5
-82.5,78.5
-81.5,78.5
-80.5,78.5
-79.5,78.5
-78.5,78.5
-77.5,78.5
-76.5,78.5
-75.5,78.5
-74.5,78.5
-73.5,78.5
-72.5,78.5
-71.5,78.5
-70.5,78.5
-69.5,78.5
-68.5,78.5
-67.5,78.5
-66.5,78.5
-65.5,78.5
-64.5,78.5
-63.5,78.5
-62.5,78.5
-61.5,78.5
-60.5,78.5
-59.5,78.5
-58.5,78.5
-57.5,78.5
-56.5,78.5
-169.5,77.5
-168.5,77.5
-167.5,77.5
-166.5,77.5
-165.5,77.5
-164.5,77.5
-163.5,77.5
-162.5,77.5
-161.5,77.5
-160.5,77.5
-159.5,77.5
-158.5,77.5
-157.5,77.5
-156.5,77.5
-155.5,77.5
-154.5,77.5
-153.5,77.5
-152.5,77.5
-151.5,77.5
-150.5,77.5
-149.5,77.5
-148.5,77.5
-147.5,77.5
-146.5,77.5
-145.5,77.5
-144.5,77.5
-143.5,77.5
-142.5,77.5
-141.5,77.5
-140.5,77.5
-139.5,77.5
-138.5,77.5
-137.5,77.5
-136.5,77.5
-135.5,77.5
-134.5,77.5
-133.5,77.5
-132.5,77.5
-131.5,77.5
-130.5,77.5
-129.5,77.5
-128.5,77.5
-127.5,77.5
-126.5,77.5
-125.5,77.5
-124.5,77.5
-123.5,77.5
-122.5,77.5
-121.5,77.5
-120.5,77.5
-119.5,77.5
-118.5,77.5
-117.5,77.5
-116.5,77.5
-115.5,77.5
-114.5,77.5
-113.5,77.5
-112.5,77.5
-111.5,77.5
-110.5,77.5
-109.5,77.5
-108.5,77.5
-107.5,77.5
-106.5,77.5
-105.5,77.5
-104.5,77.5
-103.5,77.5
-102.5,77.5
-101.5,77.5
-100.5,77.5
-99.5,77.5
-98.5,77.5
-97.5,77.5
-96.5,77.5
-95.5,77.5
-94.5,77.5
-93.5,77.5
-92.5,77.5
-91.5,77.5
-90.5,77.5
-89.5,77.5
-88.5,77.5
-87.5,77.5
-86.5,77.5
-85.5,77.5
-84.5,77.5
-83.5,77.5
-82.5,77.5
-81.5,77.5
-80.5,77.5
-79.5,77.5
-78.5,77.5
-77.5,77.5
-76.5,77.5
-75.5,77.5
-74.5,77.5
-73.5,77.5
-72.5,77.5
-71.5,77.5
-70.5,77.5
-69.5,77.5
-68.5,77.5
-67.5,77.5
-66.5,77.5
-65.5,77.5
-64.5,77.5
-63.5,77.5
-62.5,77.5
-61.5,77.5
-60.5,77.5
-59.5,77.5
-58.5,77.5
-57.5,77.5
-56.5,77.5
-169.5,76.5
-168.5,76.5
-167.5,76.5
-166.5,76.5
-165.5,76.5
-164.5,76.5
-163.5,76.5
-162.5,76.5
-161.5,76.5
-160.5,76.5
-159.5,76.5
-158.5,76.5
-157.5,76.5
-156.5,76.5
-155.5,76.5
-154.5,76.5
-153.5,76.5
-152.5,76.5
-151.5,76.5
-150.5,76.5
-149.5,76.5
-148.5,76.5
-147.5,76.5
-146.5,76.5
-145.5,76.5
-144.5,76.5
-143.5,76.5
-142.5,76.5
-141.5,76.5
-140.5,76.5
-139.5,76.5
-138.5,76.5
-137.5,76.5
-136.5,76.5
-135.5,76.5
-134.5,76.5
-133.5,76.5
-132.5,76.5
-131.5,76.5
-130.5,76.5
-129.5,76.5
-128.5,76.5
-127.5,76.5
-126.5,76.5
-125.5,76.5
-124.5,76.5
