"","Location","Period","Date","Week","NO2_Concentration"
"1","Argentina",2019,"2019-12-05","2018-12-05 to 2018-12-11",1.01863452073303e-05
"2","Argentina",2019,"2019-12-12","2018-12-12 to 2018-12-18",7.52698088035686e-06
"3","Argentina",2019,"2019-12-19","2018-12-19 to 2018-12-25",9.22976596484659e-06
"4","Argentina",2019,"2019-12-26","2018-12-26 to 2019-01-01",1.08603271655738e-05
"5","Argentina",2019,"2020-01-02","2019-01-02 to 2019-01-08",9.51422771322541e-06
"6","Argentina",2019,"2020-01-09","2019-01-09 to 2019-01-15",8.70448911882704e-06
"7","Argentina",2019,"2020-01-16","2019-01-16 to 2019-01-22",8.83924531080993e-06
"8","Argentina",2019,"2020-01-23","2019-01-23 to 2019-01-29",1.26439663290512e-05
"9","Argentina",2019,"2020-01-30","2019-01-30 to 2019-02-05",1.02466947282664e-05
"10","Argentina",2019,"2020-02-06","2019-02-06 to 2019-02-12",9.69843131315429e-06
"11","Argentina",2019,"2020-02-13","2019-02-13 to 2019-02-19",1.04648188425926e-05
"12","Argentina",2019,"2020-02-20","2019-02-20 to 2019-02-26",8.41882865643129e-06
"13","Argentina",2019,"2020-02-27","2019-02-27 to 2019-03-05",7.74029376771068e-06
"14","Argentina",2019,"2020-03-06","2019-03-06 to 2019-03-12",9.81038374447962e-06
"15","Argentina",2019,"2020-03-13","2019-03-13 to 2019-03-19",8.73639874043874e-06
"16","Argentina",2019,"2020-03-20","2019-03-20 to 2019-03-26",8.60776071931468e-06
"17","Argentina",2019,"2020-03-27","2019-03-27 to 2019-04-02",1.19761216410552e-05
"18","Argentina",2019,"2020-04-03","2019-04-03 to 2019-04-09",1.02714338936494e-05
"19","Argentina",2019,"2020-04-10","2019-04-10 to 2019-04-16",9.99290568870492e-06
"20","Argentina",2019,"2020-04-17","2019-04-17 to 2019-04-23",1.20569238788448e-05
"21","Argentina",2019,"2020-04-24","2019-04-24 to 2019-04-30",1.21031162052532e-05
"22","Argentina",2019,"2020-05-01","2019-05-01 to 2019-05-07",1.32474715428543e-05
"23","Argentina",2019,"2020-05-08","2019-05-08 to 2019-05-14",1.19919095595833e-05
"24","Argentina",2019,"2020-05-15","2019-05-15 to 2019-05-21",1.31116621560068e-05
"25","Argentina",2019,"2020-05-22","2019-05-22 to 2019-05-28",1.34891170091578e-05
"26","Argentina",2019,"2020-05-29","2019-05-29 to 2019-06-04",1.29782247313415e-05
