"","Location","Period","Date","Week","NO2_Concentration"
"1","Argentina",2019,"2019-12-05","2018-12-05 to 2018-12-11",1.30196012833039e-05
"2","Argentina",2019,"2019-12-12","2018-12-12 to 2018-12-18",9.3261087386054e-06
"3","Argentina",2019,"2019-12-19","2018-12-19 to 2018-12-25",1.16051551231067e-05
"4","Argentina",2019,"2019-12-26","2018-12-26 to 2019-01-01",1.3169647900213e-05
"5","Argentina",2019,"2020-01-02","2019-01-02 to 2019-01-08",1.18288653538912e-05
"6","Argentina",2019,"2020-01-09","2019-01-09 to 2019-01-15",1.03447464425699e-05
"7","Argentina",2019,"2020-01-16","2019-01-16 to 2019-01-22",9.90867465588963e-06
"8","Argentina",2019,"2020-01-23","2019-01-23 to 2019-01-29",1.81140640052035e-05
"9","Argentina",2019,"2020-01-30","2019-01-30 to 2019-02-05",1.09734246507287e-05
"10","Argentina",2019,"2020-02-06","2019-02-06 to 2019-02-12",1.61445132107474e-05
"11","Argentina",2019,"2020-02-13","2019-02-13 to 2019-02-19",1.46148968269699e-05
"12","Argentina",2019,"2020-02-20","2019-02-20 to 2019-02-26",1.0267573998135e-05
"13","Argentina",2019,"2020-02-27","2019-02-27 to 2019-03-05",9.66086554399226e-06
"14","Argentina",2019,"2020-03-06","2019-03-06 to 2019-03-12",1.1984121556452e-05
"15","Argentina",2019,"2020-03-13","2019-03-13 to 2019-03-19",8.5156898421701e-06
"16","Argentina",2019,"2020-03-20","2019-03-20 to 2019-03-26",1.2089103620383e-05
"17","Argentina",2019,"2020-03-27","2019-03-27 to 2019-04-02",1.35994632728398e-05
"18","Argentina",2019,"2020-04-03","2019-04-03 to 2019-04-09",1.00613060567412e-05
"19","Argentina",2019,"2020-04-10","2019-04-10 to 2019-04-16",1.50464866237598e-05
"20","Argentina",2019,"2020-04-17","2019-04-17 to 2019-04-23",1.16226110549178e-05
"21","Argentina",2019,"2020-04-24","2019-04-24 to 2019-04-30",1.2317103028181e-05
"22","Argentina",2019,"2020-05-01","2019-05-01 to 2019-05-07",1.16782020995743e-05
"23","Argentina",2019,"2020-05-08","2019-05-08 to 2019-05-14",1.32270197354956e-05
"24","Argentina",2019,"2020-05-15","2019-05-15 to 2019-05-21",2.25601270358311e-05
"25","Argentina",2019,"2020-05-22","2019-05-22 to 2019-05-28",1.63136865012348e-05
"26","Argentina",2019,"2020-05-29","2019-05-29 to 2019-06-04",1.95378925127443e-05
"27","Argentina",2019,"2020-06-05","2019-06-05 to 2019-06-11",1.86932174983667e-05
"28","Argentina",2019,"2020-06-12","2019-06-12 to 2019-06-18",1.51096410263563e-05
"29","Argentina",2019,"2020-06-19","2019-06-19 to 2019-06-25",2.26315150939627e-05
"30","Argentina",2019,"2020-06-26","2019-06-26 to 2019-07-02",1.71831070474582e-05
"31","Argentina",2019,"2020-07-03","2019-07-03 to 2019-07-09",2.12442137126345e-05
"32","Argentina",2019,"2020-07-10","2019-07-10 to 2019-07-16",1.65591318364022e-05
"33","Argentina",2019,"2020-07-17","2019-07-17 to 2019-07-23",5.38919848622754e-05
"34","Argentina",2019,"2020-07-24","2019-07-24 to 2019-07-30",1.10945820779307e-05
"35","Argentina",2019,"2020-07-31","2019-07-31 to 2019-08-06",1.8655684471014e-05
"36","Argentina",2019,"2020-08-07","2019-08-07 to 2019-08-13",1.44768446261878e-05
"37","Argentina",2019,"2020-08-14","2019-08-14 to 2019-08-20",4.63620453956537e-05
"38","Argentina",2019,"2020-08-21","2019-08-21 to 2019-08-27",2.0986097297282e-05
"39","Argentina",2019,"2020-08-28","2019-08-28 to 2019-09-03",2.02082646865165e-05
"40","Argentina",2019,"2020-09-04","2019-09-04 to 2019-09-10",1.76682278834051e-05
"41","Argentina",2019,"2020-09-11","2019-09-11 to 2019-09-17",1.71027259057155e-05
"42","Argentina",2019,"2020-09-18","2019-09-18 to 2019-09-24",1.60965428221971e-05
