"","Period","Date","Week","NO2_Concentration"
"CHN...1","2018-2019",2019-11-05,"2018-11-05 to 2018-11-11",3.48398571077269e-05
"CHN...2","2018-2019",2019-11-12,"2018-11-12 to 2018-11-18",2.94994842988672e-05
"CHN...3","2018-2019",2019-11-19,"2018-11-19 to 2018-11-25",4.06717372243293e-05
"CHN...4","2018-2019",2019-11-26,"2018-11-26 to 2018-12-02",3.91421381209511e-05
"CHN...5","2018-2019",2019-12-03,"2018-12-03 to 2018-12-09",3.16557307087351e-05
"CHN...6","2018-2019",2019-12-10,"2018-12-10 to 2018-12-16",5.79155021114275e-05
"CHN...7","2018-2019",2019-12-17,"2018-12-17 to 2018-12-23",4.52873973699752e-05
"CHN...8","2018-2019",2019-12-24,"2018-12-24 to 2018-12-30",4.07948937208857e-05
"CHN...9","2018-2019",2019-12-31,"2018-12-31 to 2019-01-06",4.57529567938764e-05
"CHN...10","2018-2019",2020-01-07,"2019-01-07 to 2019-01-13",4.76222594443243e-05
"CHN...11","2018-2019",2020-01-14,"2019-01-14 to 2019-01-20",4.71676175948232e-05
"CHN...12","2018-2019",2020-01-21,"2019-01-21 to 2019-01-27",4.29969586548395e-05
"CHN...13","2018-2019",2020-01-28,"2019-01-28 to 2019-02-03",2.77595863735769e-05
"CHN...14","2018-2019",2020-02-04,"2019-02-04 to 2019-02-10",2.32888232858386e-05
"CHN...15","2018-2019",2020-02-11,"2019-02-11 to 2019-02-17",2.15011405089172e-05
"CHN...16","2018-2019",2020-02-18,"2019-02-18 to 2019-02-24",3.07965965475887e-05
"CHN...17","2018-2019",2020-02-25,"2019-02-25 to 2019-03-03",2.88000719592674e-05
"CHN...18","2018-2019",2020-03-04,"2019-03-04 to 2019-03-10",2.94707624561852e-05
"CHN...19","2018-2019",2020-03-11,"2019-03-11 to 2019-03-17",3.05782232317142e-05
"CHN...20","2018-2019",2020-03-18,"2019-03-18 to 2019-03-24",3.15828037855681e-05
"CHN...21","2018-2019",2020-03-25,"2019-03-25 to 2019-03-31",3.24502980220132e-05
"CHN...22","2018-2019",2020-04-01,"2019-04-01 to 2019-04-07",3.25531982525717e-05
"CHN...23","2018-2019",2020-04-08,"2019-04-08 to 2019-04-14",2.79117230093107e-05
"CHN...24","2018-2019",2020-04-15,"2019-04-15 to 2019-04-21",2.89324652840151e-05
"CHN...25","2018-2019",2020-04-22,"2019-04-22 to 2019-04-28",2.70964137598639e-05
"CHN...26","2018-2019",2020-04-29,"2019-04-29 to 2019-05-05",2.81743377854582e-05
"CHN...27","2018-2019",2020-05-06,"2019-05-06 to 2019-05-12",2.52821064350428e-05
"CHN...28","2018-2019",2020-05-13,"2019-05-13 to 2019-05-19",2.4539102014387e-05
"CHN...29","2018-2019",2020-05-20,"2019-05-20 to 2019-05-26",2.90362186206039e-05
"CHN...30","2018-2019",2020-05-27,"2019-05-27 to 2019-06-02",2.5857243599603e-05
"CHN...31","2018-2019",2020-06-03,"2019-06-03 to 2019-06-09",2.63527781498851e-05
"CHN...32","2018-2019",2020-06-10,"2019-06-10 to 2019-06-16",2.77086310234154e-05
"CHN...33","2018-2019",2020-06-17,"2019-06-17 to 2019-06-23",2.45588435063837e-05
"CHN...34","2018-2019",2020-06-24,"2019-06-24 to 2019-06-30",2.73989680863451e-05
"CHN...35","2018-2019",2020-07-01,"2019-07-01 to 2019-07-07",2.50537450483534e-05
"CHN...36","2018-2019",2020-07-08,"2019-07-08 to 2019-07-14",2.32630609389162e-05
"CHN...37","2018-2019",2020-07-15,"2019-07-15 to 2019-07-21",2.13961175177246e-05
"CHN...38","2018-2019",2020-07-22,"2019-07-22 to 2019-07-28",2.39329001487931e-05
"CHN...39","2018-2019",2020-07-29,"2019-07-29 to 2019-08-04",2.25830444833264e-05
"CHN...40","2018-2019",2020-08-05,"2019-08-05 to 2019-08-11",2.15617383219069e-05
"CHN...41","2018-2019",2020-08-12,"2019-08-12 to 2019-08-18",2.2807242203271e-05
"CHN...42","2018-2019",2020-08-19,"2019-08-19 to 2019-08-25",2.27952023124089e-05
"CHN...43","2018-2019",2020-08-26,"2019-08-26 to 2019-09-01",2.09561221709009e-05
"CHN...44","2018-2019",2020-09-02,"2019-09-02 to 2019-09-08",2.30137338803615e-05
"CHN...45","2018-2019",2020-09-09,"2019-09-09 to 2019-09-15",2.29876277444419e-05
"CHN...46","2018-2019",2020-09-16,"2019-09-16 to 2019-09-22",2.47287243837491e-05
"CHN...47","2018-2019",2020-09-23,"2019-09-23 to 2019-09-29",2.44571383518633e-05
"CHN...48","2018-2019",2020-09-30,"2019-09-30 to 2019-10-06",2.37015447055455e-05
"CHN...49","2018-2019",2020-10-07,"2019-10-07 to 2019-10-13",2.68741387117188e-05
"CHN...50","2018-2019",2020-10-14,"2019-10-14 to 2019-10-20",2.96273792628199e-05
"CHN...51","2018-2019",2020-10-21,"2019-10-21 to 2019-10-27",3.15320321533363e-05
"CHN...52","2018-2019",2020-10-28,"2019-10-28 to 2019-11-03",3.58386896550655e-05
"CHN...53","2018-2019",2020-11-04,"2019-11-04 to 2019-11-10",2.99625717161689e-05
"CHN...110","2019-2020",2019-11-04,"2019-11-04 to 2019-11-10",2.99625717161689e-05
"CHN...210","2019-2020",2019-11-11,"2019-11-11 to 2019-11-17",3.91604226024356e-05
"CHN...310","2019-2020",2019-11-18,"2019-11-18 to 2019-11-24",4.25960133725312e-05
"CHN...410","2019-2020",2019-11-25,"2019-11-25 to 2019-12-01",4.37433955084998e-05
"CHN...54","2019-2020",2019-12-02,"2019-12-02 to 2019-12-08",4.26458391302731e-05
"CHN...61","2019-2020",2019-12-09,"2019-12-09 to 2019-12-15",3.95081224269234e-05
"CHN...71","2019-2020",2019-12-16,"2019-12-16 to 2019-12-22",3.63765248039272e-05
"CHN...81","2019-2020",2019-12-23,"2019-12-23 to 2019-12-29",4.24968930019531e-05
"CHN...91","2019-2020",2019-12-30,"2019-12-30 to 2020-01-05",4.59454677184112e-05
"CHN...101","2019-2020",2020-01-06,"2020-01-06 to 2020-01-12",3.14064527628943e-05
"CHN...111","2019-2020",2020-01-13,"2020-01-13 to 2020-01-19",3.38810132234357e-05
"CHN...121","2019-2020",2020-01-20,"2020-01-20 to 2020-01-26",2.8750753699569e-05
"CHN...131","2019-2020",2020-01-27,"2020-01-27 to 2020-02-02",1.6462674466311e-05
"CHN...141","2019-2020",2020-02-03,"2020-02-03 to 2020-02-09",1.73460703081219e-05
"CHN...151","2019-2020",2020-02-10,"2020-02-10 to 2020-02-16",1.66131976584438e-05
"CHN...161","2019-2020",2020-02-17,"2020-02-17 to 2020-02-23",1.85418521141401e-05
"CHN...171","2019-2020",2020-02-24,"2020-02-24 to 2020-03-01",2.09132977033732e-05
"CHN...181","2019-2020",2020-03-02,"2020-03-02 to 2020-03-08",2.48978158197133e-05
"CHN...191","2019-2020",2020-03-09,"2020-03-09 to 2020-03-15",2.52988502325024e-05
"CHN...201","2019-2020",2020-03-16,"2020-03-16 to 2020-03-22",2.83703466266161e-05
"CHN...211","2019-2020",2020-03-23,"2020-03-23 to 2020-03-29",2.98284867312759e-05
"CHN...221","2019-2020",2020-03-30,"2020-03-30 to 2020-04-05",2.74665089818882e-05
"CHN...231","2019-2020",2020-04-06,"2020-04-06 to 2020-04-12",2.60024899034761e-05
"CHN...241","2019-2020",2020-04-13,"2020-04-13 to 2020-04-19",3.087259028689e-05
"CHN...251","2019-2020",2020-04-20,"2020-04-20 to 2020-04-26",2.5599454602343e-05
"CHN...261","2019-2020",2020-04-27,"2020-04-27 to 2020-05-03",3.07996306219138e-05
"CHN...271","2019-2020",2020-05-04,"2020-05-04 to 2020-05-10",2.69043102889555e-05
"CHN...281","2019-2020",2020-05-11,"2020-05-11 to 2020-05-17",2.65222279267618e-05
"CHN...291","2019-2020",2020-05-18,"2020-05-18 to 2020-05-24",2.451149339322e-05
"CHN...301","2019-2020",2020-05-25,"2020-05-25 to 2020-05-31",2.456461879774e-05
"CHN...311","2019-2020",2020-06-01,"2020-06-01 to 2020-06-07",2.58070940617472e-05
"CHN...321","2019-2020",2020-06-08,"2020-06-08 to 2020-06-14",2.54492933891015e-05
"CHN...331","2019-2020",2020-06-15,"2020-06-15 to 2020-06-21",2.4608634703327e-05
"CHN...341","2019-2020",2020-06-22,"2020-06-22 to 2020-06-28",2.27076252485858e-05
"CHN...351","2019-2020",2020-06-29,"2020-06-29 to 2020-07-05",2.25170042540412e-05
"CHN...361","2019-2020",2020-07-06,"2020-07-06 to 2020-07-12",2.19548055611085e-05
"CHN...371","2019-2020",2020-07-13,"2020-07-13 to 2020-07-19",2.15340514841955e-05
"CHN...381","2019-2020",2020-07-20,"2020-07-20 to 2020-07-26",2.17279339267407e-05
"CHN...391","2019-2020",2020-07-27,"2020-07-27 to 2020-08-02",2.15113577723969e-05
"CHN...401","2019-2020",2020-08-03,"2020-08-03 to 2020-08-09",2.10011894523632e-05
"CHN...411","2019-2020",2020-08-10,"2020-08-10 to 2020-08-16",2.07343800866511e-05
"CHN...421","2019-2020",2020-08-17,"2020-08-17 to 2020-08-23",2.0700577806565e-05
"CHN...431","2019-2020",2020-08-24,"2020-08-24 to 2020-08-30",2.20661404455313e-05
"CHN...441","2019-2020",2020-08-31,"2020-08-31 to 2020-09-06",2.26950778596802e-05
"CHN...451","2019-2020",2020-09-07,"2020-09-07 to 2020-09-13",2.19474823097698e-05
"CHN...461","2019-2020",2020-09-14,"2020-09-14 to 2020-09-20",2.3084860004019e-05
"CHN...471","2019-2020",2020-09-21,"2020-09-21 to 2020-09-27",2.00878221221501e-05
"CHN...481","2019-2020",2020-09-28,"2020-09-28 to 2020-10-04",2.10784492082894e-05
"CHN...491","2019-2020",2020-10-05,"2020-10-05 to 2020-10-11",2.90343014057726e-05
"CHN...501","2019-2020",2020-10-12,"2020-10-12 to 2020-10-18",2.84019479295239e-05
"CHN...511","2019-2020",2020-10-19,"2020-10-19 to 2020-10-25",3.71246096619871e-05
"CHN...521","2019-2020",2020-10-26,"2020-10-26 to 2020-11-01",3.42173079843633e-05
"CHN...531","2019-2020",2020-11-02,"2020-11-02 to 2020-11-08",3.90499371860642e-05
