"","Location","Period","Date","Week","NO2_Concentration"
"1","Czechia",2019,"2019-12-01","2018-12-01 to 2018-12-07",5.69325275137089e-05
"2","Czechia",2019,"2019-12-08","2018-12-08 to 2018-12-14",3.79920638806652e-05
"3","Czechia",2019,"2019-12-15","2018-12-15 to 2018-12-21",7.66184239182621e-05
"4","Czechia",2019,"2019-12-22","2018-12-22 to 2018-12-28",1.21119619507226e-05
"5","Czechia",2019,"2019-12-29","2018-12-29 to 2019-01-04",2.13695893762633e-05
"6","Czechia",2019,"2020-01-05","2019-01-05 to 2019-01-11",2.66835850197822e-05
"7","Czechia",2019,"2020-01-12","2019-01-12 to 2019-01-18",6.30766589893028e-05
"8","Czechia",2019,"2020-01-19","2019-01-19 to 2019-01-25",4.14932728745043e-05
"9","Czechia",2019,"2020-01-26","2019-01-26 to 2019-02-01",5.71473356103525e-05
"10","Czechia",2019,"2020-02-02","2019-02-02 to 2019-02-08",4.2625983041944e-05
"11","Czechia",2019,"2020-02-09","2019-02-09 to 2019-02-15",5.09670571773313e-05
"12","Czechia",2019,"2020-02-16","2019-02-16 to 2019-02-22",6.30383074167185e-05
"13","Czechia",2019,"2020-02-23","2019-02-23 to 2019-03-01",6.41077785985544e-05
"14","Czechia",2019,"2020-03-02","2019-03-02 to 2019-03-08",4.99956368003041e-05
"15","Czechia",2019,"2020-03-09","2019-03-09 to 2019-03-15",3.27843190461863e-05
"16","Czechia",2019,"2020-03-16","2019-03-16 to 2019-03-22",4.97830333188176e-05
"17","Czechia",2019,"2020-03-23","2019-03-23 to 2019-03-29",3.66251151717734e-05
"18","Czechia",2019,"2020-03-30","2019-03-30 to 2019-04-05",3.61970996891614e-05
"19","Czechia",2019,"2020-04-06","2019-04-06 to 2019-04-12",3.00848932965891e-05
"20","Czechia",2019,"2020-04-13","2019-04-13 to 2019-04-19",4.52539788966533e-05
"21","Czechia",2019,"2020-04-20","2019-04-20 to 2019-04-26",3.18193124257959e-05
"22","Czechia",2019,"2020-04-27","2019-04-27 to 2019-05-03",3.98420597775839e-05
"23","Czechia",2019,"2020-05-04","2019-05-04 to 2019-05-10",2.67009854724165e-05
"24","Czechia",2019,"2020-05-11","2019-05-11 to 2019-05-17",3.54782423528377e-05
"25","Czechia",2019,"2020-05-18","2019-05-18 to 2019-05-24",2.00402737391414e-05
"26","Czechia",2019,"2020-05-25","2019-05-25 to 2019-05-31",2.89750678348355e-05
"27","Czechia",2019,"2020-06-01","2019-06-01 to 2019-06-07",2.31403537327424e-05
"28","Czechia",2019,"2020-06-08","2019-06-08 to 2019-06-14",2.12382728932425e-05
"29","Czechia",2019,"2020-06-15","2019-06-15 to 2019-06-21",2.32221736951033e-05
"30","Czechia",2019,"2020-06-22","2019-06-22 to 2019-06-28",3.23144740832504e-05
"31","Czechia",2019,"2020-06-29","2019-06-29 to 2019-07-05",2.71626176981954e-05
"32","Czechia",2019,"2020-07-06","2019-07-06 to 2019-07-12",1.93332107301103e-05
