"","Location","Period","Date","Week","NO2_Concentration"
"1","Estonia",2019,"2019-11-28","2018-11-28 to 2018-12-04",3.69904846593272e-05
"2","Estonia",2019,"2019-12-05","2018-12-05 to 2018-12-11",2.02362443815218e-05
"3","Estonia",2019,"2019-12-12","2018-12-12 to 2018-12-18",4.97546861879528e-05
"4","Estonia",2019,"2019-12-19","2018-12-19 to 2018-12-25",NA
"5","Estonia",2019,"2019-12-26","2018-12-26 to 2019-01-01",2.84188928389995e-07
"6","Estonia",2019,"2020-01-02","2019-01-02 to 2019-01-08",1.47900809679413e-05
"7","Estonia",2019,"2020-01-09","2019-01-09 to 2019-01-15",3.28923874803877e-06
"8","Estonia",2019,"2020-01-16","2019-01-16 to 2019-01-22",7.39917823011638e-06
"9","Estonia",2019,"2020-01-23","2019-01-23 to 2019-01-29",1.65630881383549e-05
"10","Estonia",2019,"2020-01-30","2019-01-30 to 2019-02-05",3.44800828315783e-05
"11","Estonia",2019,"2020-02-06","2019-02-06 to 2019-02-12",2.75204911304172e-05
"12","Estonia",2019,"2020-02-13","2019-02-13 to 2019-02-19",2.54998521995731e-05
"13","Estonia",2019,"2020-02-20","2019-02-20 to 2019-02-26",8.89869079401251e-06
"14","Estonia",2019,"2020-02-27","2019-02-27 to 2019-03-05",4.8566048462817e-06
"15","Estonia",2019,"2020-03-06","2019-03-06 to 2019-03-12",1.43346323966398e-05
"16","Estonia",2019,"2020-03-13","2019-03-13 to 2019-03-19",2.69364845735254e-05
"17","Estonia",2019,"2020-03-20","2019-03-20 to 2019-03-26",1.06465349745122e-05
"18","Estonia",2019,"2020-03-27","2019-03-27 to 2019-04-02",1.62178475875407e-05
"19","Estonia",2019,"2020-04-03","2019-04-03 to 2019-04-09",1.53704586409731e-05
"20","Estonia",2019,"2020-04-10","2019-04-10 to 2019-04-16",2.08704204851529e-05
"21","Estonia",2019,"2020-04-17","2019-04-17 to 2019-04-23",2.71105618594447e-05
"22","Estonia",2019,"2020-04-24","2019-04-24 to 2019-04-30",1.77162655745633e-05
"23","Estonia",2019,"2020-05-01","2019-05-01 to 2019-05-07",1.39250523716328e-05
"24","Estonia",2019,"2020-05-08","2019-05-08 to 2019-05-14",1.37924180307891e-05
"25","Estonia",2019,"2020-05-15","2019-05-15 to 2019-05-21",1.74114265973913e-05
"26","Estonia",2019,"2020-05-22","2019-05-22 to 2019-05-28",1.83704560186015e-05
"27","Estonia",2019,"2020-05-29","2019-05-29 to 2019-06-04",1.31086417241022e-05
"28","Estonia",2019,"2020-06-05","2019-06-05 to 2019-06-11",1.94103595276829e-05
"29","Estonia",2019,"2020-06-12","2019-06-12 to 2019-06-18",2.44480124820257e-05
"30","Estonia",2019,"2020-06-19","2019-06-19 to 2019-06-25",1.70170005731052e-05
"31","Estonia",2019,"2020-06-26","2019-06-26 to 2019-07-02",1.38339064505999e-05
"32","Estonia",2019,"2020-07-03","2019-07-03 to 2019-07-09",7.70264432503609e-06
"33","Estonia",2019,"2020-07-10","2019-07-10 to 2019-07-16",5.49106152902823e-06
"34","Estonia",2019,"2020-07-17","2019-07-17 to 2019-07-23",8.27708936412819e-06
"35","Estonia",2019,"2020-07-24","2019-07-24 to 2019-07-30",1.1473228369141e-05
"36","Estonia",2019,"2020-07-31","2019-07-31 to 2019-08-06",1.28223973661079e-05
"37","Estonia",2019,"2020-08-07","2019-08-07 to 2019-08-13",1.67773723660503e-05
"38","Estonia",2019,"2020-08-14","2019-08-14 to 2019-08-20",1.28558713186067e-05
"39","Estonia",2019,"2020-08-21","2019-08-21 to 2019-08-27",1.11005529106478e-05
"40","Estonia",2019,"2020-08-28","2019-08-28 to 2019-09-03",1.2102558685001e-05
"41","Estonia",2019,"2020-09-04","2019-09-04 to 2019-09-10",1.77233432623325e-05
"42","Estonia",2019,"2020-09-11","2019-09-11 to 2019-09-17",1.25573697005166e-05
"43","Estonia",2019,"2020-09-18","2019-09-18 to 2019-09-24",1.19028181870817e-05
"44","Estonia",2019,"2020-09-25","2019-09-25 to 2019-10-01",1.68359874805901e-05
"45","Estonia",2019,"2020-10-02","2019-10-02 to 2019-10-08",2.25467629206832e-05
"46","Estonia",2019,"2020-10-09","2019-10-09 to 2019-10-15",2.94931251119124e-05
"47","Estonia",2019,"2020-10-16","2019-10-16 to 2019-10-22",3.84805352950934e-05
"48","Estonia",2019,"2020-10-23","2019-10-23 to 2019-10-29",2.11313708859961e-05
"49","Estonia",2019,"2020-10-30","2019-10-30 to 2019-11-05",3.52307006323826e-06
"50","Estonia",2019,"2020-11-06","2019-11-06 to 2019-11-12",3.16317637043539e-05
"51","Estonia",2019,"2020-11-13","2019-11-13 to 2019-11-19",4.15558206441347e-05
"52","Estonia",2019,"2020-11-20","2019-11-20 to 2019-11-26",2.82205037365202e-05
"53","Estonia",2019,"2020-11-27","2019-11-27 to 2019-12-03",3.55996894541022e-06
"54","Estonia",2019,"2020-12-04","2019-12-04 to 2019-12-10",1.36809258037829e-05
"55","Estonia",2019,"2020-12-11","2019-12-11 to 2019-12-17",2.09410336537985e-05
"56","Estonia",2019,"2020-12-18","2019-12-18 to 2019-12-24",1.9147571947542e-05
"57","Estonia",2019,"2020-12-25","2019-12-25 to 2019-12-31",5.28761811438017e-05
"58","Estonia",2020,"2019-11-28","2019-11-28 to 2019-12-04",6.26349265075987e-06
"59","Estonia",2020,"2019-12-05","2019-12-05 to 2019-12-11",1.38785389935947e-05
"60","Estonia",2020,"2019-12-12","2019-12-12 to 2019-12-18",2.32264210353605e-05
"61","Estonia",2020,"2019-12-19","2019-12-19 to 2019-12-25",1.9147571947542e-05
"62","Estonia",2020,"2019-12-26","2019-12-26 to 2020-01-01",3.38842255587224e-05
"63","Estonia",2020,"2020-01-02","2020-01-02 to 2020-01-08",2.72763190878322e-05
"64","Estonia",2020,"2020-01-09","2020-01-09 to 2020-01-15",2.70702312263893e-05
"65","Estonia",2020,"2020-01-16","2020-01-16 to 2020-01-22",2.33961782214465e-05
"66","Estonia",2020,"2020-01-23","2020-01-23 to 2020-01-29",2.08766159630613e-05
"67","Estonia",2020,"2020-01-30","2020-01-30 to 2020-02-05",9.32377224671654e-06
"68","Estonia",2020,"2020-02-06","2020-02-06 to 2020-02-12",2.79455616691848e-05
"69","Estonia",2020,"2020-02-13","2020-02-13 to 2020-02-19",1.57777521962998e-05
"70","Estonia",2020,"2020-02-20","2020-02-20 to 2020-02-26",1.90673181350576e-05
"71","Estonia",2020,"2020-02-27","2020-02-27 to 2020-03-04",1.40030115289846e-05
"72","Estonia",2020,"2020-03-06","2020-03-06 to 2020-03-12",1.49001052704989e-05
"73","Estonia",2020,"2020-03-13","2020-03-13 to 2020-03-19",1.33406720124185e-05
"74","Estonia",2020,"2020-03-20","2020-03-20 to 2020-03-26",1.28984183902503e-05
"75","Estonia",2020,"2020-03-27","2020-03-27 to 2020-04-02",1.79441121872514e-05
"76","Estonia",2020,"2020-04-03","2020-04-03 to 2020-04-09",1.59547325893072e-05
