"","Location","Period","Date","Week","NO2_Concentration"
"1","Estonia",2019,"2019-11-28","2018-11-28 to 2018-12-04",3.7335958040785e-05
"2","Estonia",2019,"2019-12-05","2018-12-05 to 2018-12-11",3.46436281688511e-05
"3","Estonia",2019,"2019-12-12","2018-12-12 to 2018-12-18",NA
"4","Estonia",2019,"2019-12-19","2018-12-19 to 2018-12-25",NA
"5","Estonia",2019,"2019-12-26","2018-12-26 to 2019-01-01",NA
"6","Estonia",2019,"2020-01-02","2019-01-02 to 2019-01-08",1.82166295417119e-05
"7","Estonia",2019,"2020-01-09","2019-01-09 to 2019-01-15",NA
"8","Estonia",2019,"2020-01-16","2019-01-16 to 2019-01-22",1.38449502173899e-06
"9","Estonia",2019,"2020-01-23","2019-01-23 to 2019-01-29",9.77403942670207e-06
"10","Estonia",2019,"2020-01-30","2019-01-30 to 2019-02-05",3.88683693017811e-05
"11","Estonia",2019,"2020-02-06","2019-02-06 to 2019-02-12",3.08656490233261e-05
"12","Estonia",2019,"2020-02-13","2019-02-13 to 2019-02-19",3.5001001378987e-05
"13","Estonia",2019,"2020-02-20","2019-02-20 to 2019-02-26",1.65063556778478e-05
"14","Estonia",2019,"2020-02-27","2019-02-27 to 2019-03-05",2.4096689230646e-06
"15","Estonia",2019,"2020-03-06","2019-03-06 to 2019-03-12",1.44075174830505e-05
"16","Estonia",2019,"2020-03-13","2019-03-13 to 2019-03-19",3.27414636558387e-05
"17","Estonia",2019,"2020-03-20","2019-03-20 to 2019-03-26",1.06022662293981e-05
"18","Estonia",2019,"2020-03-27","2019-03-27 to 2019-04-02",1.85864992090501e-05
"19","Estonia",2019,"2020-04-03","2019-04-03 to 2019-04-09",1.4110941265244e-05
"20","Estonia",2019,"2020-04-10","2019-04-10 to 2019-04-16",2.44383663812187e-05
"21","Estonia",2019,"2020-04-17","2019-04-17 to 2019-04-23",2.90278458123794e-05
"22","Estonia",2019,"2020-04-24","2019-04-24 to 2019-04-30",1.91411272680853e-05
"23","Estonia",2019,"2020-05-01","2019-05-01 to 2019-05-07",1.06152037915308e-05
"24","Estonia",2019,"2020-05-08","2019-05-08 to 2019-05-14",1.46181564559811e-05
"25","Estonia",2019,"2020-05-15","2019-05-15 to 2019-05-21",1.70531529875007e-05
"26","Estonia",2019,"2020-05-22","2019-05-22 to 2019-05-28",1.76652793015819e-05
"27","Estonia",2019,"2020-05-29","2019-05-29 to 2019-06-04",1.39367730298545e-05
"28","Estonia",2019,"2020-06-05","2019-06-05 to 2019-06-11",1.91873477888294e-05
