"","Location","Period","Date","Week","NO2_Concentration"
"1","India",2019,"2019-12-09","2018-12-09 to 2018-12-15",2.99471957987407e-05
"2","India",2019,"2019-12-16","2018-12-16 to 2018-12-22",3.143787762383e-05
"3","India",2019,"2019-12-23","2018-12-23 to 2018-12-29",3.33214302372653e-05
"4","India",2019,"2019-12-30","2018-12-30 to 2019-01-05",3.34403121087234e-05
"5","India",2019,"2020-01-06","2019-01-06 to 2019-01-12",3.13220625685062e-05
"6","India",2019,"2020-01-13","2019-01-13 to 2019-01-19",3.20229264616501e-05
"7","India",2019,"2020-01-20","2019-01-20 to 2019-01-26",2.79700343526201e-05
"8","India",2019,"2020-01-27","2019-01-27 to 2019-02-02",3.17358353640884e-05
"9","India",2019,"2020-02-03","2019-02-03 to 2019-02-09",2.90357111225603e-05
"10","India",2019,"2020-02-10","2019-02-10 to 2019-02-16",2.8387132260832e-05
"11","India",2019,"2020-02-17","2019-02-17 to 2019-02-23",2.59246953646652e-05
"12","India",2019,"2020-02-24","2019-02-24 to 2019-03-02",2.79461073660059e-05
"13","India",2019,"2020-03-03","2019-03-03 to 2019-03-09",2.88303344859742e-05
"14","India",2019,"2020-03-10","2019-03-10 to 2019-03-16",3.18926649924833e-05
"15","India",2019,"2020-03-17","2019-03-17 to 2019-03-23",3.27679408655968e-05
"16","India",2019,"2020-03-24","2019-03-24 to 2019-03-30",3.29664471792057e-05
"17","India",2019,"2020-03-31","2019-03-31 to 2019-04-06",3.40489750669803e-05
"18","India",2019,"2020-04-07","2019-04-07 to 2019-04-13",2.82508208329091e-05
"19","India",2019,"2020-04-14","2019-04-14 to 2019-04-20",3.044545337616e-05
"20","India",2019,"2020-04-21","2019-04-21 to 2019-04-27",3.11273397528566e-05
"21","India",2019,"2020-04-28","2019-04-28 to 2019-05-04",2.92407839879161e-05
"22","India",2019,"2020-05-05","2019-05-05 to 2019-05-11",2.93820030492498e-05
"23","India",2019,"2020-05-12","2019-05-12 to 2019-05-18",2.93652010441292e-05
"24","India",2019,"2020-05-19","2019-05-19 to 2019-05-25",2.78704919765005e-05
"25","India",2019,"2020-05-26","2019-05-26 to 2019-06-01",3.02176304103341e-05
"26","India",2019,"2020-06-02","2019-06-02 to 2019-06-08",3.28797614201903e-05
"27","India",2019,"2020-06-09","2019-06-09 to 2019-06-15",3.23759559250902e-05
"28","India",2019,"2020-06-16","2019-06-16 to 2019-06-22",2.9800094125676e-05
"29","India",2019,"2020-06-23","2019-06-23 to 2019-06-29",2.97711958410218e-05
"30","India",2019,"2020-06-30","2019-06-30 to 2019-07-06",3.04006662190659e-05
"31","India",2019,"2020-07-07","2019-07-07 to 2019-07-13",2.13397306652041e-05
"32","India",2019,"2020-07-14","2019-07-14 to 2019-07-20",2.31423546210863e-05
"33","India",2019,"2020-07-21","2019-07-21 to 2019-07-27",2.3961549231899e-05
"34","India",2019,"2020-07-28","2019-07-28 to 2019-08-03",2.02480132429628e-05
"35","India",2019,"2020-08-04","2019-08-04 to 2019-08-10",2.17415326915216e-05
"36","India",2019,"2020-08-11","2019-08-11 to 2019-08-17",1.7205467884196e-05
"37","India",2019,"2020-08-18","2019-08-18 to 2019-08-24",2.27891159738647e-05
"38","India",2019,"2020-08-25","2019-08-25 to 2019-08-31",1.98437246581307e-05
"39","India",2019,"2020-09-01","2019-09-01 to 2019-09-07",2.32090478675673e-05
"40","India",2019,"2020-09-08","2019-09-08 to 2019-09-14",2.09451936825644e-05
"41","India",2019,"2020-09-15","2019-09-15 to 2019-09-21",2.03382060135482e-05
"42","India",2019,"2020-09-22","2019-09-22 to 2019-09-28",2.11785736610182e-05
"43","India",2019,"2020-09-29","2019-09-29 to 2019-10-05",2.18059340113541e-05
"44","India",2019,"2020-10-06","2019-10-06 to 2019-10-12",2.54789792961674e-05
"45","India",2019,"2020-10-13","2019-10-13 to 2019-10-19",2.52874360739952e-05
"46","India",2019,"2020-10-20","2019-10-20 to 2019-10-26",2.51435340032913e-05
"47","India",2019,"2020-10-27","2019-10-27 to 2019-11-02",2.34501330851344e-05
"48","India",2019,"2020-11-03","2019-11-03 to 2019-11-09",2.46369381784461e-05
"49","India",2019,"2020-11-10","2019-11-10 to 2019-11-16",2.45378632826032e-05
"50","India",2019,"2020-11-17","2019-11-17 to 2019-11-23",2.66671850113198e-05
"51","India",2019,"2020-11-24","2019-11-24 to 2019-11-30",2.77477938652737e-05
"52","India",2019,"2020-12-01","2019-12-01 to 2019-12-07",2.78628140222281e-05
"53","India",2019,"2020-12-08","2019-12-08 to 2019-12-14",2.48844789894065e-05
"54","India",2019,"2020-12-15","2019-12-15 to 2019-12-21",2.72090583166573e-05
"55","India",2019,"2020-12-22","2019-12-22 to 2019-12-28",2.66696406470146e-05
"56","India",2019,"2020-12-29","2019-12-29 to 2020-01-04",2.91991254925961e-05
"57","India",2019,"2021-01-05","2020-01-05 to 2020-01-11",2.72730776487151e-05
