"","Location","Period","Date","Week","NO2_Concentration"
"1","India",2019,"2019-12-09","2018-12-09 to 2018-12-15",4.37067828897852e-05
"2","India",2019,"2019-12-16","2018-12-16 to 2018-12-22",4.9095197027782e-05
"3","India",2019,"2019-12-23","2018-12-23 to 2018-12-29",4.33957247878425e-05
"4","India",2019,"2019-12-30","2018-12-30 to 2019-01-05",4.75930573884398e-05
"5","India",2019,"2020-01-06","2019-01-06 to 2019-01-12",4.72988649562467e-05
"6","India",2019,"2020-01-13","2019-01-13 to 2019-01-19",5.06512078572996e-05
"7","India",2019,"2020-01-20","2019-01-20 to 2019-01-26",4.16660295741167e-05
"8","India",2019,"2020-01-27","2019-01-27 to 2019-02-02",4.8889392928686e-05
"9","India",2019,"2020-02-03","2019-02-03 to 2019-02-09",4.98024783155415e-05
"10","India",2019,"2020-02-10","2019-02-10 to 2019-02-16",4.29832834925037e-05
"11","India",2019,"2020-02-17","2019-02-17 to 2019-02-23",3.5295874113217e-05
"12","India",2019,"2020-02-24","2019-02-24 to 2019-03-02",3.53950999851804e-05
"13","India",2019,"2020-03-03","2019-03-03 to 2019-03-09",3.84577106160577e-05
"14","India",2019,"2020-03-10","2019-03-10 to 2019-03-16",4.0303300920641e-05
"15","India",2019,"2020-03-17","2019-03-17 to 2019-03-23",4.03826306865085e-05
"16","India",2019,"2020-03-24","2019-03-24 to 2019-03-30",3.75958625227213e-05
"17","India",2019,"2020-03-31","2019-03-31 to 2019-04-06",4.21443983213976e-05
"18","India",2019,"2020-04-07","2019-04-07 to 2019-04-13",3.60856247425545e-05
"19","India",2019,"2020-04-14","2019-04-14 to 2019-04-20",3.71507630916312e-05
"20","India",2019,"2020-04-21","2019-04-21 to 2019-04-27",4.04824240831658e-05
"21","India",2019,"2020-04-28","2019-04-28 to 2019-05-04",3.8242982554948e-05
"22","India",2019,"2020-05-05","2019-05-05 to 2019-05-11",3.93182563129812e-05
"23","India",2019,"2020-05-12","2019-05-12 to 2019-05-18",3.99930650019087e-05
"24","India",2019,"2020-05-19","2019-05-19 to 2019-05-25",3.69297777069733e-05
"25","India",2019,"2020-05-26","2019-05-26 to 2019-06-01",3.92147630918771e-05
"26","India",2019,"2020-06-02","2019-06-02 to 2019-06-08",4.49311482952908e-05
"27","India",2019,"2020-06-09","2019-06-09 to 2019-06-15",4.5583896280732e-05
"28","India",2019,"2020-06-16","2019-06-16 to 2019-06-22",4.51348932983819e-05
"29","India",2019,"2020-06-23","2019-06-23 to 2019-06-29",4.04863967560232e-05
"30","India",2019,"2020-06-30","2019-06-30 to 2019-07-06",3.91625726479106e-05
"31","India",2019,"2020-07-07","2019-07-07 to 2019-07-13",3.15141332976054e-05
"32","India",2019,"2020-07-14","2019-07-14 to 2019-07-20",2.97243805107428e-05
"33","India",2019,"2020-07-21","2019-07-21 to 2019-07-27",3.41967424901668e-05
"34","India",2019,"2020-07-28","2019-07-28 to 2019-08-03",2.51272012974368e-05
"35","India",2019,"2020-08-04","2019-08-04 to 2019-08-10",2.65531343757175e-05
"36","India",2019,"2020-08-11","2019-08-11 to 2019-08-17",2.59045154962223e-05
"37","India",2019,"2020-08-18","2019-08-18 to 2019-08-24",2.83252538793022e-05
"38","India",2019,"2020-08-25","2019-08-25 to 2019-08-31",2.46532163146185e-05
"39","India",2019,"2020-09-01","2019-09-01 to 2019-09-07",2.75823040283285e-05
"40","India",2019,"2020-09-08","2019-09-08 to 2019-09-14",2.6811110728886e-05
"41","India",2019,"2020-09-15","2019-09-15 to 2019-09-21",2.74009871645831e-05
"42","India",2019,"2020-09-22","2019-09-22 to 2019-09-28",2.69801585091045e-05
"43","India",2019,"2020-09-29","2019-09-29 to 2019-10-05",2.88136870949529e-05
"44","India",2019,"2020-10-06","2019-10-06 to 2019-10-12",3.27500092680566e-05
"45","India",2019,"2020-10-13","2019-10-13 to 2019-10-19",3.17699741572142e-05
"46","India",2019,"2020-10-20","2019-10-20 to 2019-10-26",3.56943055521697e-05
"47","India",2019,"2020-10-27","2019-10-27 to 2019-11-02",3.18271886499133e-05
"48","India",2019,"2020-11-03","2019-11-03 to 2019-11-09",3.58887191396207e-05
"49","India",2019,"2020-11-10","2019-11-10 to 2019-11-16",3.65433115803171e-05
"50","India",2019,"2020-11-17","2019-11-17 to 2019-11-23",4.06243343604729e-05
"51","India",2019,"2020-11-24","2019-11-24 to 2019-11-30",3.99986129195895e-05
"52","India",2019,"2020-12-01","2019-12-01 to 2019-12-07",4.57449568784796e-05
"53","India",2019,"2020-12-08","2019-12-08 to 2019-12-14",4.10794200433884e-05
"54","India",2019,"2020-12-15","2019-12-15 to 2019-12-21",4.22864832216874e-05
"55","India",2019,"2020-12-22","2019-12-22 to 2019-12-28",4.23074307036586e-05
"56","India",2019,"2020-12-29","2019-12-29 to 2020-01-04",4.65001394331921e-05
"57","India",2019,"2021-01-05","2020-01-05 to 2020-01-11",4.01011966459919e-05
"58","India",2020,"2019-12-09","2019-12-09 to 2019-12-15",3.83036531275138e-05
"59","India",2020,"2019-12-16","2019-12-16 to 2019-12-22",4.94425585202407e-05
"60","India",2020,"2019-12-23","2019-12-23 to 2019-12-29",4.12074368796311e-05
"61","India",2020,"2019-12-30","2019-12-30 to 2020-01-05",4.50698389613535e-05
"62","India",2020,"2020-01-06","2020-01-06 to 2020-01-12",4.23791170760524e-05
