"","Location","Period","Date","Week","NO2_Concentration"
"1","Iraq",2019,"2019-12-13","2018-12-13 to 2018-12-19",3.33941316057462e-05
"2","Iraq",2019,"2019-12-20","2018-12-20 to 2018-12-26",2.44536149693886e-05
"3","Iraq",2019,"2019-12-27","2018-12-27 to 2019-01-02",3.4934542782139e-05
"4","Iraq",2019,"2020-01-03","2019-01-03 to 2019-01-09",3.06493566313293e-05
"5","Iraq",2019,"2020-01-10","2019-01-10 to 2019-01-16",3.23596177622676e-05
"6","Iraq",2019,"2020-01-17","2019-01-17 to 2019-01-23",3.32241870637517e-05
"7","Iraq",2019,"2020-01-24","2019-01-24 to 2019-01-30",3.34667565766722e-05
"8","Iraq",2019,"2020-01-31","2019-01-31 to 2019-02-06",2.69686152023496e-05
"9","Iraq",2019,"2020-02-07","2019-02-07 to 2019-02-13",2.68778931058478e-05
"10","Iraq",2019,"2020-02-14","2019-02-14 to 2019-02-20",2.52088429988362e-05
"11","Iraq",2019,"2020-02-21","2019-02-21 to 2019-02-27",2.87829880107893e-05
"12","Iraq",2019,"2020-02-28","2019-02-28 to 2019-03-06",2.98840695904801e-05
"13","Iraq",2019,"2020-03-07","2019-03-07 to 2019-03-13",2.15231666516047e-05
"14","Iraq",2019,"2020-03-14","2019-03-14 to 2019-03-20",1.93461582966847e-05
"15","Iraq",2019,"2020-03-21","2019-03-21 to 2019-03-27",2.52072750299703e-05
"16","Iraq",2019,"2020-03-28","2019-03-28 to 2019-04-03",2.01622151507763e-05
"17","Iraq",2019,"2020-04-04","2019-04-04 to 2019-04-10",2.07972952921409e-05
"18","Iraq",2019,"2020-04-11","2019-04-11 to 2019-04-17",2.25454314204399e-05
"19","Iraq",2019,"2020-04-18","2019-04-18 to 2019-04-24",2.0495490389294e-05
"20","Iraq",2019,"2020-04-25","2019-04-25 to 2019-05-01",2.11094939004397e-05
"21","Iraq",2019,"2020-05-02","2019-05-02 to 2019-05-08",2.17349115700927e-05
"22","Iraq",2019,"2020-05-09","2019-05-09 to 2019-05-15",2.50651391979773e-05
"23","Iraq",2019,"2020-05-16","2019-05-16 to 2019-05-22",2.8435957574402e-05
"24","Iraq",2019,"2020-05-23","2019-05-23 to 2019-05-29",2.61183577094926e-05
"25","Iraq",2019,"2020-05-30","2019-05-30 to 2019-06-05",2.86921149381669e-05
"26","Iraq",2019,"2020-06-06","2019-06-06 to 2019-06-12",2.42471542151179e-05
"27","Iraq",2019,"2020-06-13","2019-06-13 to 2019-06-19",2.77562903647777e-05
"28","Iraq",2019,"2020-06-20","2019-06-20 to 2019-06-26",2.91963333438616e-05
"29","Iraq",2019,"2020-06-27","2019-06-27 to 2019-07-03",2.99518615065608e-05
"30","Iraq",2019,"2020-07-04","2019-07-04 to 2019-07-10",3.34166143147741e-05
"31","Iraq",2019,"2020-07-11","2019-07-11 to 2019-07-17",2.82440505543491e-05
"32","Iraq",2019,"2020-07-18","2019-07-18 to 2019-07-24",2.99183902825462e-05
"33","Iraq",2019,"2020-07-25","2019-07-25 to 2019-07-31",3.57993485522456e-05
"34","Iraq",2019,"2020-08-01","2019-08-01 to 2019-08-07",3.45706866937689e-05
"35","Iraq",2019,"2020-08-08","2019-08-08 to 2019-08-14",3.34999858750962e-05
"36","Iraq",2019,"2020-08-15","2019-08-15 to 2019-08-21",3.12142219627276e-05
"37","Iraq",2019,"2020-08-22","2019-08-22 to 2019-08-28",3.90631321351975e-05
"38","Iraq",2019,"2020-08-29","2019-08-29 to 2019-09-04",2.94682595267659e-05
"39","Iraq",2019,"2020-09-05","2019-09-05 to 2019-09-11",3.26404770021327e-05
"40","Iraq",2019,"2020-09-12","2019-09-12 to 2019-09-18",3.29669928760268e-05
"41","Iraq",2019,"2020-09-19","2019-09-19 to 2019-09-25",3.12323027173989e-05
"42","Iraq",2019,"2020-09-26","2019-09-26 to 2019-10-02",3.04754430544563e-05
"43","Iraq",2019,"2020-10-03","2019-10-03 to 2019-10-09",3.22522573696915e-05
