"","Location","Period","Date","Week","NO2_Concentration"
"1","Iraq",2019,"2019-12-13","2018-12-13 to 2018-12-19",6.63601967971772e-05
"2","Iraq",2019,"2019-12-20","2018-12-20 to 2018-12-26",4.75729648314882e-05
"3","Iraq",2019,"2019-12-27","2018-12-27 to 2019-01-02",7.21356846042909e-05
"4","Iraq",2019,"2020-01-03","2019-01-03 to 2019-01-09",6.18004414718598e-05
"5","Iraq",2019,"2020-01-10","2019-01-10 to 2019-01-16",6.03987900831271e-05
"6","Iraq",2019,"2020-01-17","2019-01-17 to 2019-01-23",6.63052996969782e-05
"7","Iraq",2019,"2020-01-24","2019-01-24 to 2019-01-30",6.20935170445591e-05
"8","Iraq",2019,"2020-01-31","2019-01-31 to 2019-02-06",6.14866439718753e-05
"9","Iraq",2019,"2020-02-07","2019-02-07 to 2019-02-13",5.28894634044264e-05
"10","Iraq",2019,"2020-02-14","2019-02-14 to 2019-02-20",4.5178832806414e-05
"11","Iraq",2019,"2020-02-21","2019-02-21 to 2019-02-27",6.37813282082789e-05
"12","Iraq",2019,"2020-02-28","2019-02-28 to 2019-03-06",5.43675378139596e-05
"13","Iraq",2019,"2020-03-07","2019-03-07 to 2019-03-13",5.37173909833655e-05
"14","Iraq",2019,"2020-03-14","2019-03-14 to 2019-03-20",3.99328346247785e-05
"15","Iraq",2019,"2020-03-21","2019-03-21 to 2019-03-27",4.16079165006522e-05
"16","Iraq",2019,"2020-03-28","2019-03-28 to 2019-04-03",4.08299638365861e-05
"17","Iraq",2019,"2020-04-04","2019-04-04 to 2019-04-10",3.86452084057964e-05
"18","Iraq",2019,"2020-04-11","2019-04-11 to 2019-04-17",4.35649235441815e-05
"19","Iraq",2019,"2020-04-18","2019-04-18 to 2019-04-24",3.46704619005322e-05
"20","Iraq",2019,"2020-04-25","2019-04-25 to 2019-05-01",4.3366031604819e-05
"21","Iraq",2019,"2020-05-02","2019-05-02 to 2019-05-08",3.69536537618842e-05
"22","Iraq",2019,"2020-05-09","2019-05-09 to 2019-05-15",4.27913473686203e-05
"23","Iraq",2019,"2020-05-16","2019-05-16 to 2019-05-22",5.18308297614567e-05
"24","Iraq",2019,"2020-05-23","2019-05-23 to 2019-05-29",6.0977825341979e-05
"25","Iraq",2019,"2020-05-30","2019-05-30 to 2019-06-05",4.83759940834716e-05
"26","Iraq",2019,"2020-06-06","2019-06-06 to 2019-06-12",4.33985915151425e-05
"27","Iraq",2019,"2020-06-13","2019-06-13 to 2019-06-19",4.4362350308802e-05
"28","Iraq",2019,"2020-06-20","2019-06-20 to 2019-06-26",5.45408183825202e-05
"29","Iraq",2019,"2020-06-27","2019-06-27 to 2019-07-03",4.97348082717508e-05
"30","Iraq",2019,"2020-07-04","2019-07-04 to 2019-07-10",6.12496005487628e-05
"31","Iraq",2019,"2020-07-11","2019-07-11 to 2019-07-17",4.30371219408698e-05
"32","Iraq",2019,"2020-07-18","2019-07-18 to 2019-07-24",4.5279914047569e-05
"33","Iraq",2019,"2020-07-25","2019-07-25 to 2019-07-31",6.01209940214176e-05
"34","Iraq",2019,"2020-08-01","2019-08-01 to 2019-08-07",5.46693954674993e-05
"35","Iraq",2019,"2020-08-08","2019-08-08 to 2019-08-14",4.7531499149045e-05
"36","Iraq",2019,"2020-08-15","2019-08-15 to 2019-08-21",5.73640390939545e-05
"37","Iraq",2019,"2020-08-22","2019-08-22 to 2019-08-28",6.90793749527074e-05
"38","Iraq",2019,"2020-08-29","2019-08-29 to 2019-09-04",6.58648496028036e-05
"39","Iraq",2019,"2020-09-05","2019-09-05 to 2019-09-11",6.05538734816946e-05
"40","Iraq",2019,"2020-09-12","2019-09-12 to 2019-09-18",6.81198871461675e-05
"41","Iraq",2019,"2020-09-19","2019-09-19 to 2019-09-25",6.72006426611915e-05
"42","Iraq",2019,"2020-09-26","2019-09-26 to 2019-10-02",5.30254583281931e-05
"43","Iraq",2019,"2020-10-03","2019-10-03 to 2019-10-09",6.6030646848958e-05
"44","Iraq",2019,"2020-10-10","2019-10-10 to 2019-10-16",6.77411153446883e-05
"45","Iraq",2019,"2020-10-17","2019-10-17 to 2019-10-23",4.5131968363421e-05
"46","Iraq",2019,"2020-10-24","2019-10-24 to 2019-10-30",4.54721885034814e-05
"47","Iraq",2019,"2020-10-31","2019-10-31 to 2019-11-06",5.07461445522495e-05
"48","Iraq",2019,"2020-11-07","2019-11-07 to 2019-11-13",7.76714441599324e-05
"49","Iraq",2019,"2020-11-14","2019-11-14 to 2019-11-20",6.0984766605543e-05
"50","Iraq",2019,"2020-11-21","2019-11-21 to 2019-11-27",8.89764705789275e-05
"51","Iraq",2019,"2020-11-28","2019-11-28 to 2019-12-04",4.84316333313473e-05
"52","Iraq",2019,"2020-12-05","2019-12-05 to 2019-12-11",4.71544881293084e-05
"53","Iraq",2019,"2020-12-12","2019-12-12 to 2019-12-18",7.17082657502033e-05
"54","Iraq",2019,"2020-12-19","2019-12-19 to 2019-12-25",8.44194873934612e-05
"55","Iraq",2019,"2020-12-26","2019-12-26 to 2020-01-01",8.19871565909125e-05
"56","Iraq",2019,"2021-01-02","2020-01-02 to 2020-01-08",7.8096090874169e-05
"57","Iraq",2019,"2021-01-09","2020-01-09 to 2020-01-15",5.31963414687198e-05
"58","Iraq",2020,"2019-12-13","2019-12-13 to 2019-12-19",7.63723146519624e-05
"59","Iraq",2020,"2019-12-20","2019-12-20 to 2019-12-26",7.97724860603921e-05
