"","Location","Period","Date","Week","NO2_Concentration"
"1","Israel",2019,"2019-12-04","2018-12-04 to 2018-12-10",2.30112236749846e-05
"2","Israel",2019,"2019-12-11","2018-12-11 to 2018-12-17",2.1405210645753e-05
"3","Israel",2019,"2019-12-18","2018-12-18 to 2018-12-24",2.0608746126527e-05
"4","Israel",2019,"2019-12-25","2018-12-25 to 2018-12-31",2.77637172985123e-05
"5","Israel",2019,"2020-01-01","2019-01-01 to 2019-01-07",3.16330224450212e-05
"6","Israel",2019,"2020-01-08","2019-01-08 to 2019-01-14",2.74678804998985e-05
"7","Israel",2019,"2020-01-15","2019-01-15 to 2019-01-21",2.1123378246557e-05
"8","Israel",2019,"2020-01-22","2019-01-22 to 2019-01-28",1.76962093973998e-05
"9","Israel",2019,"2020-01-29","2019-01-29 to 2019-02-04",1.95286484085955e-05
"10","Israel",2019,"2020-02-05","2019-02-05 to 2019-02-11",2.91809265036136e-05
"11","Israel",2019,"2020-02-12","2019-02-12 to 2019-02-18",2.83981735265115e-05
"12","Israel",2019,"2020-02-19","2019-02-19 to 2019-02-25",2.01775128516601e-05
"13","Israel",2019,"2020-02-26","2019-02-26 to 2019-03-04",2.26659922191175e-05
"14","Israel",2019,"2020-03-05","2019-03-05 to 2019-03-11",2.66391962213675e-05
"15","Israel",2019,"2020-03-12","2019-03-12 to 2019-03-18",1.8572309272713e-05
"16","Israel",2019,"2020-03-19","2019-03-19 to 2019-03-25",2.83926729025552e-05
"17","Israel",2019,"2020-03-26","2019-03-26 to 2019-04-01",1.68490296346135e-05
"18","Israel",2019,"2020-04-02","2019-04-02 to 2019-04-08",2.2725151211489e-05
"19","Israel",2019,"2020-04-09","2019-04-09 to 2019-04-15",2.0978854081477e-05
"20","Israel",2019,"2020-04-16","2019-04-16 to 2019-04-22",1.80048537004041e-05
"21","Israel",2019,"2020-04-23","2019-04-23 to 2019-04-29",2.15962991205743e-05
"22","Israel",2019,"2020-04-30","2019-04-30 to 2019-05-06",1.74937886185944e-05
"23","Israel",2019,"2020-05-07","2019-05-07 to 2019-05-13",2.10872021852992e-05
"24","Israel",2019,"2020-05-14","2019-05-14 to 2019-05-20",2.44518450926989e-05
"25","Israel",2019,"2020-05-21","2019-05-21 to 2019-05-27",1.76090234162984e-05
"26","Israel",2019,"2020-05-28","2019-05-28 to 2019-06-03",2.65786820818903e-05
"27","Israel",2019,"2020-06-04","2019-06-04 to 2019-06-10",2.36446794588119e-05
"28","Israel",2019,"2020-06-11","2019-06-11 to 2019-06-17",2.23960869334405e-05
"29","Israel",2019,"2020-06-18","2019-06-18 to 2019-06-24",1.95068514585728e-05
"30","Israel",2019,"2020-06-25","2019-06-25 to 2019-07-01",2.1823030692758e-05
"31","Israel",2019,"2020-07-02","2019-07-02 to 2019-07-08",2.64565605903044e-05
"32","Israel",2019,"2020-07-09","2019-07-09 to 2019-07-15",2.1865500457352e-05
"33","Israel",2019,"2020-07-16","2019-07-16 to 2019-07-22",1.9578152205213e-05
"34","Israel",2019,"2020-07-23","2019-07-23 to 2019-07-29",2.36768973991275e-05
"35","Israel",2019,"2020-07-30","2019-07-30 to 2019-08-05",2.74139074463164e-05
"36","Israel",2019,"2020-08-06","2019-08-06 to 2019-08-12",2.47235784627264e-05
"37","Israel",2019,"2020-08-13","2019-08-13 to 2019-08-19",2.20853435166646e-05
"38","Israel",2019,"2020-08-20","2019-08-20 to 2019-08-26",2.8525017114589e-05
"39","Israel",2019,"2020-08-27","2019-08-27 to 2019-09-02",2.20086458284641e-05
"40","Israel",2019,"2020-09-03","2019-09-03 to 2019-09-09",2.12223567359615e-05
"41","Israel",2019,"2020-09-10","2019-09-10 to 2019-09-16",2.31813464779407e-05
"42","Israel",2019,"2020-09-17","2019-09-17 to 2019-09-23",2.13556540984428e-05
"43","Israel",2019,"2020-09-24","2019-09-24 to 2019-09-30",2.3150138076744e-05
"44","Israel",2019,"2020-10-01","2019-10-01 to 2019-10-07",2.15757863770705e-05
"45","Israel",2019,"2020-10-08","2019-10-08 to 2019-10-14",2.33714818023145e-05
"46","Israel",2019,"2020-10-15","2019-10-15 to 2019-10-21",2.13733983400743e-05
"47","Israel",2019,"2020-10-22","2019-10-22 to 2019-10-28",2.56821440416388e-05
"48","Israel",2019,"2020-10-29","2019-10-29 to 2019-11-04",2.62210960499942e-05
"49","Israel",2019,"2020-11-05","2019-11-05 to 2019-11-11",2.41277230088599e-05
"50","Israel",2019,"2020-11-12","2019-11-12 to 2019-11-18",2.45183982769959e-05
"51","Israel",2019,"2020-11-19","2019-11-19 to 2019-11-25",3.4873253753176e-05
"52","Israel",2019,"2020-11-26","2019-11-26 to 2019-12-02",2.45216269831872e-05
"53","Israel",2019,"2020-12-03","2019-12-03 to 2019-12-09",2.59929947787896e-05
"54","Israel",2019,"2020-12-10","2019-12-10 to 2019-12-16",2.20835900108796e-05
"55","Israel",2019,"2020-12-17","2019-12-17 to 2019-12-23",3.80130259145517e-05
"56","Israel",2019,"2020-12-24","2019-12-24 to 2019-12-30",2.27052678383188e-05
"57","Israel",2019,"2020-12-31","2019-12-31 to 2020-01-06",2.36975301959319e-05
"58","Israel",2020,"2019-12-04","2019-12-04 to 2019-12-10",2.44477778323926e-05
"59","Israel",2020,"2019-12-11","2019-12-11 to 2019-12-17",3.28439891745802e-05
"60","Israel",2020,"2019-12-18","2019-12-18 to 2019-12-24",3.59789009962697e-05
"61","Israel",2020,"2019-12-25","2019-12-25 to 2019-12-31",2.28658209380228e-05
"62","Israel",2020,"2020-01-01","2020-01-01 to 2020-01-07",2.31448339036433e-05
"63","Israel",2020,"2020-01-08","2020-01-08 to 2020-01-14",2.73853966064053e-05
"64","Israel",2020,"2020-01-15","2020-01-15 to 2020-01-21",2.87687962554628e-05
"65","Israel",2020,"2020-01-22","2020-01-22 to 2020-01-28",2.83999324892648e-05
"66","Israel",2020,"2020-01-29","2020-01-29 to 2020-02-04",2.58924901572755e-05
"67","Israel",2020,"2020-02-05","2020-02-05 to 2020-02-11",2.7167245207238e-05
"68","Israel",2020,"2020-02-12","2020-02-12 to 2020-02-18",2.2376107153832e-05
"69","Israel",2020,"2020-02-19","2020-02-19 to 2020-02-25",2.76618156931363e-05
"70","Israel",2020,"2020-02-26","2020-02-26 to 2020-03-03",2.29529105126858e-05
"71","Israel",2020,"2020-03-05","2020-03-05 to 2020-03-11",2.28052031161496e-05
"72","Israel",2020,"2020-03-12","2020-03-12 to 2020-03-18",1.74002088897396e-05
"73","Israel",2020,"2020-03-19","2020-03-19 to 2020-03-25",1.62233391165501e-05
"74","Israel",2020,"2020-03-26","2020-03-26 to 2020-04-01",1.94330514204921e-05
"75","Israel",2020,"2020-04-02","2020-04-02 to 2020-04-08",1.37686565722106e-05
"76","Israel",2020,"2020-04-09","2020-04-09 to 2020-04-15",1.71469400811475e-05
"77","Israel",2020,"2020-04-16","2020-04-16 to 2020-04-22",2.06513577722944e-05
"78","Israel",2020,"2020-04-23","2020-04-23 to 2020-04-29",1.73928856384009e-05
"79","Israel",2020,"2020-04-30","2020-04-30 to 2020-05-06",2.21481386688538e-05
"80","Israel",2020,"2020-05-07","2020-05-07 to 2020-05-13",2.34712861129083e-05
"81","Israel",2020,"2020-05-14","2020-05-14 to 2020-05-20",2.58500913332682e-05
"82","Israel",2020,"2020-05-21","2020-05-21 to 2020-05-27",2.26526135520544e-05
"83","Israel",2020,"2020-05-28","2020-05-28 to 2020-06-03",2.1629495677189e-05
"84","Israel",2020,"2020-06-04","2020-06-04 to 2020-06-10",2.04615189431934e-05
"85","Israel",2020,"2020-06-11","2020-06-11 to 2020-06-17",2.12794566323282e-05
"86","Israel",2020,"2020-06-18","2020-06-18 to 2020-06-24",1.85705266630976e-05
"87","Israel",2020,"2020-06-25","2020-06-25 to 2020-07-01",1.98270408873213e-05
"88","Israel",2020,"2020-07-02","2020-07-02 to 2020-07-08",2.40730660152622e-05
"89","Israel",2020,"2020-07-09","2020-07-09 to 2020-07-15",2.14526226045564e-05
"90","Israel",2020,"2020-07-16","2020-07-16 to 2020-07-22",2.18498753383756e-05
"91","Israel",2020,"2020-07-23","2020-07-23 to 2020-07-29",1.99237802007701e-05
"92","Israel",2020,"2020-07-30","2020-07-30 to 2020-08-05",2.11774931813125e-05
"93","Israel",2020,"2020-08-06","2020-08-06 to 2020-08-12",2.37517779169139e-05
"94","Israel",2020,"2020-08-13","2020-08-13 to 2020-08-19",2.47022708208533e-05
"95","Israel",2020,"2020-08-20","2020-08-20 to 2020-08-26",2.30080331675708e-05
"96","Israel",2020,"2020-08-27","2020-08-27 to 2020-09-02",2.32780294027179e-05
"97","Israel",2020,"2020-09-03","2020-09-03 to 2020-09-09",2.24990872084163e-05
"98","Israel",2020,"2020-09-10","2020-09-10 to 2020-09-16",2.40557128563523e-05
"99","Israel",2020,"2020-09-17","2020-09-17 to 2020-09-23",2.09808877116302e-05
"100","Israel",2020,"2020-09-24","2020-09-24 to 2020-09-30",2.1103103790665e-05
"101","Israel",2020,"2020-10-01","2020-10-01 to 2020-10-07",1.98952402570285e-05
"102","Israel",2020,"2020-10-08","2020-10-08 to 2020-10-14",2.02245519176358e-05
"103","Israel",2020,"2020-10-15","2020-10-15 to 2020-10-21",2.35399238590617e-05
"104","Israel",2020,"2020-10-22","2020-10-22 to 2020-10-28",2.62186240433948e-05
"105","Israel",2020,"2020-10-29","2020-10-29 to 2020-11-04",2.43981376115698e-05
"106","Israel",2020,"2020-11-05","2020-11-05 to 2020-11-11",2.84047073364491e-05
"107","Israel",2020,"2020-11-12","2020-11-12 to 2020-11-18",2.60141132457647e-05
"108","Israel",2020,"2020-11-19","2020-11-19 to 2020-11-25",2.86569757008692e-05
"109","Israel",2020,"2020-11-26","2020-11-26 to 2020-12-02",2.94395395030733e-05
"110","Israel",2020,"2020-12-03","2020-12-03 to 2020-12-09",2.61620334640611e-05
"111","Israel",2020,"2020-12-10","2020-12-10 to 2020-12-16",2.08945966733154e-05
"112","Israel",2020,"2020-12-17","2020-12-17 to 2020-12-23",3.09449787891936e-05
"113","Israel",2020,"2020-12-24","2020-12-24 to 2020-12-30",2.19442154048011e-05
"114","Israel",2020,"2020-12-31","2020-12-31 to 2021-01-06",2.88220744550927e-05
