"","Location","Period","Date","Week","NO2_Concentration"
"1","Israel",2019,"2019-12-04","2018-12-04 to 2018-12-10",2.84767029370414e-05
"2","Israel",2019,"2019-12-11","2018-12-11 to 2018-12-17",3.01640411635162e-05
"3","Israel",2019,"2019-12-18","2018-12-18 to 2018-12-24",3.49812617059797e-05
"4","Israel",2019,"2019-12-25","2018-12-25 to 2018-12-31",4.37349408457521e-05
"5","Israel",2019,"2020-01-01","2019-01-01 to 2019-01-07",4.29363972216379e-05
"6","Israel",2019,"2020-01-08","2019-01-08 to 2019-01-14",4.5744440285489e-05
"7","Israel",2019,"2020-01-15","2019-01-15 to 2019-01-21",2.76145638054004e-05
"8","Israel",2019,"2020-01-22","2019-01-22 to 2019-01-28",2.99184539471753e-05
"9","Israel",2019,"2020-01-29","2019-01-29 to 2019-02-04",3.90880559280049e-05
"10","Israel",2019,"2020-02-05","2019-02-05 to 2019-02-11",3.11943695123773e-05
"11","Israel",2019,"2020-02-12","2019-02-12 to 2019-02-18",4.35261135862675e-05
"12","Israel",2019,"2020-02-19","2019-02-19 to 2019-02-25",3.20182625728194e-05
"13","Israel",2019,"2020-02-26","2019-02-26 to 2019-03-04",2.80636850220617e-05
"14","Israel",2019,"2020-03-05","2019-03-05 to 2019-03-11",4.05296450480819e-05
"15","Israel",2019,"2020-03-12","2019-03-12 to 2019-03-18",2.4134877094184e-05
"16","Israel",2019,"2020-03-19","2019-03-19 to 2019-03-25",5.44595823157579e-05
"17","Israel",2019,"2020-03-26","2019-03-26 to 2019-04-01",2.4663220756338e-05
"18","Israel",2019,"2020-04-02","2019-04-02 to 2019-04-08",3.42338025802746e-05
"19","Israel",2019,"2020-04-09","2019-04-09 to 2019-04-15",3.21077095577493e-05
"20","Israel",2019,"2020-04-16","2019-04-16 to 2019-04-22",2.43045924435137e-05
"21","Israel",2019,"2020-04-23","2019-04-23 to 2019-04-29",3.59247860615142e-05
"22","Israel",2019,"2020-04-30","2019-04-30 to 2019-05-06",2.82048240478616e-05
"23","Israel",2019,"2020-05-07","2019-05-07 to 2019-05-13",3.60174381057732e-05
"24","Israel",2019,"2020-05-14","2019-05-14 to 2019-05-20",4.34168468927965e-05
"25","Israel",2019,"2020-05-21","2019-05-21 to 2019-05-27",2.77117433142848e-05
"26","Israel",2019,"2020-05-28","2019-05-28 to 2019-06-03",4.07915540563408e-05
"27","Israel",2019,"2020-06-04","2019-06-04 to 2019-06-10",2.9649007046828e-05
"28","Israel",2019,"2020-06-11","2019-06-11 to 2019-06-17",2.99368966807378e-05
"29","Israel",2019,"2020-06-18","2019-06-18 to 2019-06-24",2.48974356509279e-05
"30","Israel",2019,"2020-06-25","2019-06-25 to 2019-07-01",2.83738991129212e-05
"31","Israel",2019,"2020-07-02","2019-07-02 to 2019-07-08",3.66256208508275e-05
"32","Israel",2019,"2020-07-09","2019-07-09 to 2019-07-15",2.75615693681175e-05
"33","Israel",2019,"2020-07-16","2019-07-16 to 2019-07-22",2.78871193586383e-05
"34","Israel",2019,"2020-07-23","2019-07-23 to 2019-07-29",2.899777427956e-05
"35","Israel",2019,"2020-07-30","2019-07-30 to 2019-08-05",3.71683745470364e-05
"36","Israel",2019,"2020-08-06","2019-08-06 to 2019-08-12",2.87034417851828e-05
"37","Israel",2019,"2020-08-13","2019-08-13 to 2019-08-19",2.96046509902226e-05
"38","Israel",2019,"2020-08-20","2019-08-20 to 2019-08-26",3.82586840714794e-05
"39","Israel",2019,"2020-08-27","2019-08-27 to 2019-09-02",2.88010323856724e-05
"40","Israel",2019,"2020-09-03","2019-09-03 to 2019-09-09",2.5833962354227e-05
"41","Israel",2019,"2020-09-10","2019-09-10 to 2019-09-16",2.86590639007045e-05
"42","Israel",2019,"2020-09-17","2019-09-17 to 2019-09-23",3.09660608763807e-05
"43","Israel",2019,"2020-09-24","2019-09-24 to 2019-09-30",3.22926607623231e-05
"44","Israel",2019,"2020-10-01","2019-10-01 to 2019-10-07",3.54115072696004e-05
"45","Israel",2019,"2020-10-08","2019-10-08 to 2019-10-14",3.66199856216554e-05
"46","Israel",2019,"2020-10-15","2019-10-15 to 2019-10-21",3.18858874379657e-05
"47","Israel",2019,"2020-10-22","2019-10-22 to 2019-10-28",3.99531127186492e-05
"48","Israel",2019,"2020-10-29","2019-10-29 to 2019-11-04",3.68720247934107e-05
"49","Israel",2019,"2020-11-05","2019-11-05 to 2019-11-11",4.20192300225608e-05
"50","Israel",2019,"2020-11-12","2019-11-12 to 2019-11-18",3.63728577212896e-05
"51","Israel",2019,"2020-11-19","2019-11-19 to 2019-11-25",6.19550046394579e-05
"52","Israel",2019,"2020-11-26","2019-11-26 to 2019-12-02",3.75741255993489e-05
"53","Israel",2019,"2020-12-03","2019-12-03 to 2019-12-09",3.92311267205514e-05
"54","Israel",2019,"2020-12-10","2019-12-10 to 2019-12-16",2.83585632132599e-05
"55","Israel",2019,"2020-12-17","2019-12-17 to 2019-12-23",6.89522712491453e-05
"56","Israel",2019,"2020-12-24","2019-12-24 to 2019-12-30",2.99691109830746e-05
"57","Israel",2019,"2020-12-31","2019-12-31 to 2020-01-06",3.65407031495124e-05
"58","Israel",2020,"2019-12-04","2019-12-04 to 2019-12-10",3.53228351741564e-05
"59","Israel",2020,"2019-12-11","2019-12-11 to 2019-12-17",5.00716960232239e-05
"60","Israel",2020,"2019-12-18","2019-12-18 to 2019-12-24",6.3959312683437e-05
"61","Israel",2020,"2019-12-25","2019-12-25 to 2019-12-31",3.04324639728293e-05
"62","Israel",2020,"2020-01-01","2020-01-01 to 2020-01-07",3.30801012751181e-05
"63","Israel",2020,"2020-01-08","2020-01-08 to 2020-01-14",4.63289907202125e-05
"64","Israel",2020,"2020-01-15","2020-01-15 to 2020-01-21",4.4521988456836e-05
"65","Israel",2020,"2020-01-22","2020-01-22 to 2020-01-28",4.65773919131607e-05
"66","Israel",2020,"2020-01-29","2020-01-29 to 2020-02-04",3.80897254217416e-05
"67","Israel",2020,"2020-02-05","2020-02-05 to 2020-02-11",2.87200327875325e-05
"68","Israel",2020,"2020-02-12","2020-02-12 to 2020-02-18",3.31400224240497e-05
"69","Israel",2020,"2020-02-19","2020-02-19 to 2020-02-25",3.51242997567169e-05
"70","Israel",2020,"2020-02-26","2020-02-26 to 2020-03-03",2.94519304588903e-05
"71","Israel",2020,"2020-03-05","2020-03-05 to 2020-03-11",3.3279306080658e-05
"72","Israel",2020,"2020-03-12","2020-03-12 to 2020-03-18",2.54346523433924e-05
"73","Israel",2020,"2020-03-19","2020-03-19 to 2020-03-25",2.05396245291922e-05
"74","Israel",2020,"2020-03-26","2020-03-26 to 2020-04-01",3.09800598188303e-05
"75","Israel",2020,"2020-04-02","2020-04-02 to 2020-04-08",1.88384692592081e-05
"76","Israel",2020,"2020-04-09","2020-04-09 to 2020-04-15",2.36625910474686e-05
"77","Israel",2020,"2020-04-16","2020-04-16 to 2020-04-22",3.15603574563283e-05
"78","Israel",2020,"2020-04-23","2020-04-23 to 2020-04-29",2.26210577238817e-05
"79","Israel",2020,"2020-04-30","2020-04-30 to 2020-05-06",2.73253426712472e-05
"80","Israel",2020,"2020-05-07","2020-05-07 to 2020-05-13",3.59057448804379e-05
"81","Israel",2020,"2020-05-14","2020-05-14 to 2020-05-20",4.81254355690908e-05
"82","Israel",2020,"2020-05-21","2020-05-21 to 2020-05-27",3.02633525279816e-05
"83","Israel",2020,"2020-05-28","2020-05-28 to 2020-06-03",2.71168137260247e-05
"84","Israel",2020,"2020-06-04","2020-06-04 to 2020-06-10",2.60725555563113e-05
"85","Israel",2020,"2020-06-11","2020-06-11 to 2020-06-17",2.78561656159582e-05
"86","Israel",2020,"2020-06-18","2020-06-18 to 2020-06-24",2.19137418753235e-05
"87","Israel",2020,"2020-06-25","2020-06-25 to 2020-07-01",2.41266625380376e-05
"88","Israel",2020,"2020-07-02","2020-07-02 to 2020-07-08",3.06170077237766e-05
"89","Israel",2020,"2020-07-09","2020-07-09 to 2020-07-15",2.5926718080882e-05
"90","Israel",2020,"2020-07-16","2020-07-16 to 2020-07-22",2.70712862402434e-05
"91","Israel",2020,"2020-07-23","2020-07-23 to 2020-07-29",2.46837134909583e-05
"92","Israel",2020,"2020-07-30","2020-07-30 to 2020-08-05",2.7366977519705e-05
"93","Israel",2020,"2020-08-06","2020-08-06 to 2020-08-12",2.83707577182213e-05
"94","Israel",2020,"2020-08-13","2020-08-13 to 2020-08-19",3.09283495880663e-05
"95","Israel",2020,"2020-08-20","2020-08-20 to 2020-08-26",2.94810106424848e-05
"96","Israel",2020,"2020-08-27","2020-08-27 to 2020-09-02",2.7882777430932e-05
"97","Israel",2020,"2020-09-03","2020-09-03 to 2020-09-09",3.07488844555337e-05
"98","Israel",2020,"2020-09-10","2020-09-10 to 2020-09-16",3.09939605358522e-05
"99","Israel",2020,"2020-09-17","2020-09-17 to 2020-09-23",2.42078094743192e-05
"100","Israel",2020,"2020-09-24","2020-09-24 to 2020-09-30",2.82932560367044e-05
"101","Israel",2020,"2020-10-01","2020-10-01 to 2020-10-07",2.81244356301613e-05
"102","Israel",2020,"2020-10-08","2020-10-08 to 2020-10-14",3.38947502314113e-05
"103","Israel",2020,"2020-10-15","2020-10-15 to 2020-10-21",3.97369840356987e-05
"104","Israel",2020,"2020-10-22","2020-10-22 to 2020-10-28",3.96478208131157e-05
"105","Israel",2020,"2020-10-29","2020-10-29 to 2020-11-04",2.75941602012608e-05
"106","Israel",2020,"2020-11-05","2020-11-05 to 2020-11-11",4.56863272120245e-05
"107","Israel",2020,"2020-11-12","2020-11-12 to 2020-11-18",4.45513287559152e-05
"108","Israel",2020,"2020-11-19","2020-11-19 to 2020-11-25",4.38574425061233e-05
"109","Israel",2020,"2020-11-26","2020-11-26 to 2020-12-02",4.42824966739863e-05
"110","Israel",2020,"2020-12-03","2020-12-03 to 2020-12-09",5.02746734127868e-05
"111","Israel",2020,"2020-12-10","2020-12-10 to 2020-12-16",3.52636343450285e-05
"112","Israel",2020,"2020-12-17","2020-12-17 to 2020-12-23",5.32031335751526e-05
"113","Israel",2020,"2020-12-24","2020-12-24 to 2020-12-30",4.12487897847313e-05
"114","Israel",2020,"2020-12-31","2020-12-31 to 2021-01-06",4.86758617626037e-05
