"","Location","Period","Date","Week","NO2_Concentration"
"1","Italy",2019,"2019-11-24","2018-11-24 to 2018-11-30",5.63516077818349e-05
"2","Italy",2019,"2019-12-01","2018-12-01 to 2018-12-07",6.39536156086251e-05
"3","Italy",2019,"2019-12-08","2018-12-08 to 2018-12-14",5.66316011827439e-05
"4","Italy",2019,"2019-12-15","2018-12-15 to 2018-12-21",5.79314692004118e-05
"5","Italy",2019,"2019-12-22","2018-12-22 to 2018-12-28",2.57186147791799e-05
"6","Italy",2019,"2019-12-29","2018-12-29 to 2019-01-04",4.47014754172415e-05
"7","Italy",2019,"2020-01-05","2019-01-05 to 2019-01-11",4.49565923190676e-05
"8","Italy",2019,"2020-01-12","2019-01-12 to 2019-01-18",5.88840121054091e-05
"9","Italy",2019,"2020-01-19","2019-01-19 to 2019-01-25",4.07748120778706e-05
"10","Italy",2019,"2020-01-26","2019-01-26 to 2019-02-01",4.73825202789158e-05
"11","Italy",2019,"2020-02-02","2019-02-02 to 2019-02-08",5.20299290656112e-05
"12","Italy",2019,"2020-02-09","2019-02-09 to 2019-02-15",5.43928108527325e-05
"13","Italy",2019,"2020-02-16","2019-02-16 to 2019-02-22",4.81783390569035e-05
"14","Italy",2019,"2020-02-23","2019-02-23 to 2019-03-01",5.14216844749171e-05
"15","Italy",2019,"2020-03-02","2019-03-02 to 2019-03-08",4.49498365924228e-05
"16","Italy",2019,"2020-03-09","2019-03-09 to 2019-03-15",4.00600983994082e-05
"17","Italy",2019,"2020-03-16","2019-03-16 to 2019-03-22",3.92850379284937e-05
"18","Italy",2019,"2020-03-23","2019-03-23 to 2019-03-29",3.54070907633286e-05
"19","Italy",2019,"2020-03-30","2019-03-30 to 2019-04-05",4.19628267991357e-05
"20","Italy",2019,"2020-04-06","2019-04-06 to 2019-04-12",2.6013834940386e-05
"21","Italy",2019,"2020-04-13","2019-04-13 to 2019-04-19",3.77106916857883e-05
"22","Italy",2019,"2020-04-20","2019-04-20 to 2019-04-26",3.11293115373701e-05
"23","Italy",2019,"2020-04-27","2019-04-27 to 2019-05-03",2.79648666037247e-05
"24","Italy",2019,"2020-05-04","2019-05-04 to 2019-05-10",2.61874429270392e-05
"25","Italy",2019,"2020-05-11","2019-05-11 to 2019-05-17",2.81206903309794e-05
"26","Italy",2019,"2020-05-18","2019-05-18 to 2019-05-24",2.34508315770654e-05
"27","Italy",2019,"2020-05-25","2019-05-25 to 2019-05-31",2.3593645892106e-05
"28","Italy",2019,"2020-06-01","2019-06-01 to 2019-06-07",2.75061120191822e-05
"29","Italy",2019,"2020-06-08","2019-06-08 to 2019-06-14",2.17703673115466e-05
"30","Italy",2019,"2020-06-15","2019-06-15 to 2019-06-21",2.14026931644185e-05
"31","Italy",2019,"2020-06-22","2019-06-22 to 2019-06-28",2.72608904197114e-05
"32","Italy",2019,"2020-06-29","2019-06-29 to 2019-07-05",2.94881119771162e-05
"33","Italy",2019,"2020-07-06","2019-07-06 to 2019-07-12",2.11181068152655e-05
"34","Italy",2019,"2020-07-13","2019-07-13 to 2019-07-19",2.23357928916812e-05
"35","Italy",2019,"2020-07-20","2019-07-20 to 2019-07-26",2.36141695495462e-05
"36","Italy",2019,"2020-07-27","2019-07-27 to 2019-08-02",2.51499586738646e-05
"37","Italy",2019,"2020-08-03","2019-08-03 to 2019-08-09",2.3980963305803e-05
"38","Italy",2019,"2020-08-10","2019-08-10 to 2019-08-16",2.48874093813356e-05
"39","Italy",2019,"2020-08-17","2019-08-17 to 2019-08-23",2.27252221520757e-05
"40","Italy",2019,"2020-08-24","2019-08-24 to 2019-08-30",2.72580145974644e-05
"41","Italy",2019,"2020-08-31","2019-08-31 to 2019-09-06",2.63155052380171e-05
"42","Italy",2019,"2020-09-07","2019-09-07 to 2019-09-13",2.61424611380789e-05
"43","Italy",2019,"2020-09-14","2019-09-14 to 2019-09-20",3.07795489788987e-05
"44","Italy",2019,"2020-09-21","2019-09-21 to 2019-09-27",2.79329433396924e-05
"45","Italy",2019,"2020-09-28","2019-09-28 to 2019-10-04",2.67164286924526e-05
"46","Italy",2019,"2020-10-05","2019-10-05 to 2019-10-11",3.47701097780373e-05
"47","Italy",2019,"2020-10-12","2019-10-12 to 2019-10-18",3.13896634906996e-05
"48","Italy",2019,"2020-10-19","2019-10-19 to 2019-10-25",3.33338175551035e-05
"49","Italy",2019,"2020-10-26","2019-10-26 to 2019-11-01",3.62623759428971e-05
"50","Italy",2019,"2020-11-02","2019-11-02 to 2019-11-08",2.98964259854984e-05
"51","Italy",2019,"2020-11-09","2019-11-09 to 2019-11-15",2.97151746053714e-05
"52","Italy",2019,"2020-11-16","2019-11-16 to 2019-11-22",2.71925873676082e-05
"53","Italy",2019,"2020-11-23","2019-11-23 to 2019-11-29",5.26544135937002e-05
"54","Italy",2019,"2020-11-30","2019-11-30 to 2019-12-06",4.9019705329556e-05
"55","Italy",2019,"2020-12-07","2019-12-07 to 2019-12-13",5.40889559488278e-05
"56","Italy",2019,"2020-12-14","2019-12-14 to 2019-12-20",5.16758045705501e-05
"57","Italy",2019,"2020-12-21","2019-12-21 to 2019-12-27",3.75949457520619e-05
"58","Italy",2020,"2019-11-24","2019-11-24 to 2019-11-30",5.39675820618868e-05
"59","Italy",2020,"2019-12-01","2019-12-01 to 2019-12-07",5.15823921887204e-05
"60","Italy",2020,"2019-12-08","2019-12-08 to 2019-12-14",5.37300220457837e-05
"61","Italy",2020,"2019-12-15","2019-12-15 to 2019-12-21",4.82087525597308e-05
"62","Italy",2020,"2019-12-22","2019-12-22 to 2019-12-28",3.66971689800266e-05
"63","Italy",2020,"2019-12-29","2019-12-29 to 2020-01-04",4.24690588261001e-05
"64","Italy",2020,"2020-01-05","2020-01-05 to 2020-01-11",6.60902005620301e-05
"65","Italy",2020,"2020-01-12","2020-01-12 to 2020-01-18",6.41218284727074e-05
"66","Italy",2020,"2020-01-19","2020-01-19 to 2020-01-25",5.28408672835212e-05
"67","Italy",2020,"2020-01-26","2020-01-26 to 2020-02-01",4.88162768306211e-05
"68","Italy",2020,"2020-02-02","2020-02-02 to 2020-02-08",4.28060520789586e-05
"69","Italy",2020,"2020-02-09","2020-02-09 to 2020-02-15",5.15030842507258e-05
"70","Italy",2020,"2020-02-16","2020-02-16 to 2020-02-22",5.15437859576195e-05
"71","Italy",2020,"2020-02-23","2020-02-23 to 2020-02-29",3.62216123903636e-05
"72","Italy",2020,"2020-03-02","2020-03-02 to 2020-03-08",2.84898105746834e-05
"73","Italy",2020,"2020-03-09","2020-03-09 to 2020-03-15",4.0960014302982e-05
"74","Italy",2020,"2020-03-16","2020-03-16 to 2020-03-22",3.11453768517822e-05
"75","Italy",2020,"2020-03-23","2020-03-23 to 2020-03-29",2.24514442379586e-05
"76","Italy",2020,"2020-03-30","2020-03-30 to 2020-04-05",2.58551172009902e-05
"77","Italy",2020,"2020-04-06","2020-04-06 to 2020-04-12",2.53856032941258e-05
