"","Location","Period","Date","Week","NO2_Concentration"
"1","Italy",2019,"2019-11-24","2018-11-24 to 2018-11-30",4.83576113765594e-05
"2","Italy",2019,"2019-12-01","2018-12-01 to 2018-12-07",4.96546490467153e-05
"3","Italy",2019,"2019-12-08","2018-12-08 to 2018-12-14",4.56584784842562e-05
"4","Italy",2019,"2019-12-15","2018-12-15 to 2018-12-21",4.61284544144291e-05
"5","Italy",2019,"2019-12-22","2018-12-22 to 2018-12-28",1.6934742234298e-05
"6","Italy",2019,"2019-12-29","2018-12-29 to 2019-01-04",3.54402873199433e-05
"7","Italy",2019,"2020-01-05","2019-01-05 to 2019-01-11",2.98108225251781e-05
"8","Italy",2019,"2020-01-12","2019-01-12 to 2019-01-18",4.63640899397433e-05
"9","Italy",2019,"2020-01-19","2019-01-19 to 2019-01-25",2.92196946247714e-05
"10","Italy",2019,"2020-01-26","2019-01-26 to 2019-02-01",4.22816410718951e-05
"11","Italy",2019,"2020-02-02","2019-02-02 to 2019-02-08",4.42649543401785e-05
"12","Italy",2019,"2020-02-09","2019-02-09 to 2019-02-15",4.13691923313309e-05
"13","Italy",2019,"2020-02-16","2019-02-16 to 2019-02-22",3.26087356370408e-05
"14","Italy",2019,"2020-02-23","2019-02-23 to 2019-03-01",3.926138379029e-05
"15","Italy",2019,"2020-03-02","2019-03-02 to 2019-03-08",3.37432393280324e-05
"16","Italy",2019,"2020-03-09","2019-03-09 to 2019-03-15",3.3740925573511e-05
"17","Italy",2019,"2020-03-16","2019-03-16 to 2019-03-22",3.63696672138758e-05
"18","Italy",2019,"2020-03-23","2019-03-23 to 2019-03-29",3.09392344206572e-05
"19","Italy",2019,"2020-03-30","2019-03-30 to 2019-04-05",3.76531861547846e-05
"20","Italy",2019,"2020-04-06","2019-04-06 to 2019-04-12",2.06386521313107e-05
"21","Italy",2019,"2020-04-13","2019-04-13 to 2019-04-19",3.65783489542082e-05
"22","Italy",2019,"2020-04-20","2019-04-20 to 2019-04-26",3.42010134772863e-05
"23","Italy",2019,"2020-04-27","2019-04-27 to 2019-05-03",2.36561190831708e-05
"24","Italy",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.86548186320579e-05
