"","Location","Period","Date","Week","NO2_Concentration"
"1","Lithuania",2019,"2019-12-01","2018-12-01 to 2018-12-07",3.5160657716915e-05
"2","Lithuania",2019,"2019-12-08","2018-12-08 to 2018-12-14",4.80157905258238e-05
"3","Lithuania",2019,"2019-12-15","2018-12-15 to 2018-12-21",NA
"4","Lithuania",2019,"2019-12-22","2018-12-22 to 2018-12-28",7.58673104428453e-06
"5","Lithuania",2019,"2019-12-29","2018-12-29 to 2019-01-04",8.09746325103333e-06
"6","Lithuania",2019,"2020-01-05","2019-01-05 to 2019-01-11",6.85375152897905e-06
"7","Lithuania",2019,"2020-01-12","2019-01-12 to 2019-01-18",8.11885638540844e-06
"8","Lithuania",2019,"2020-01-19","2019-01-19 to 2019-01-25",1.28819856399787e-05
"9","Lithuania",2019,"2020-01-26","2019-01-26 to 2019-02-01",3.25077489833347e-05
"10","Lithuania",2019,"2020-02-02","2019-02-02 to 2019-02-08",3.04328823403921e-05
"11","Lithuania",2019,"2020-02-09","2019-02-09 to 2019-02-15",3.42374296451453e-05
"12","Lithuania",2019,"2020-02-16","2019-02-16 to 2019-02-22",3.48322246281896e-05
"13","Lithuania",2019,"2020-02-23","2019-02-23 to 2019-03-01",1.85124117706437e-05
"14","Lithuania",2019,"2020-03-02","2019-03-02 to 2019-03-08",2.26355878112372e-05
"15","Lithuania",2019,"2020-03-09","2019-03-09 to 2019-03-15",2.07573521038285e-05
"16","Lithuania",2019,"2020-03-16","2019-03-16 to 2019-03-22",2.33195514738327e-05
"17","Lithuania",2019,"2020-03-23","2019-03-23 to 2019-03-29",1.81483701453544e-05
"18","Lithuania",2019,"2020-03-30","2019-03-30 to 2019-04-05",1.25932529044803e-05
"19","Lithuania",2019,"2020-04-06","2019-04-06 to 2019-04-12",2.16231510421494e-05
"20","Lithuania",2019,"2020-04-13","2019-04-13 to 2019-04-19",2.85915648419177e-05
"21","Lithuania",2019,"2020-04-20","2019-04-20 to 2019-04-26",2.66446495515993e-05
"22","Lithuania",2019,"2020-04-27","2019-04-27 to 2019-05-03",2.48654469032772e-05
"23","Lithuania",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.73967819137033e-05
"24","Lithuania",2019,"2020-05-11","2019-05-11 to 2019-05-17",1.989127122215e-05
"25","Lithuania",2019,"2020-05-18","2019-05-18 to 2019-05-24",2.46816289291019e-05
"26","Lithuania",2019,"2020-05-25","2019-05-25 to 2019-05-31",1.81169925781433e-05
"27","Lithuania",2019,"2020-06-01","2019-06-01 to 2019-06-07",1.97954723262228e-05
"28","Lithuania",2019,"2020-06-08","2019-06-08 to 2019-06-14",2.41483830905054e-05
"29","Lithuania",2019,"2020-06-15","2019-06-15 to 2019-06-21",1.84988402907038e-05
"30","Lithuania",2019,"2020-06-22","2019-06-22 to 2019-06-28",1.86846027645515e-05
"31","Lithuania",2019,"2020-06-29","2019-06-29 to 2019-07-05",1.36663502416923e-05
