"","Location","Period","Date","Week","NO2_Concentration"
"1","Lithuania",2019,"2019-12-01","2018-12-01 to 2018-12-07",3.51809139829129e-05
"2","Lithuania",2019,"2019-12-08","2018-12-08 to 2018-12-14",5.17345397383906e-05
"3","Lithuania",2019,"2019-12-15","2018-12-15 to 2018-12-21",NA
"4","Lithuania",2019,"2019-12-22","2018-12-22 to 2018-12-28",9.34983745537465e-06
"5","Lithuania",2019,"2019-12-29","2018-12-29 to 2019-01-04",7.26510688764392e-06
"6","Lithuania",2019,"2020-01-05","2019-01-05 to 2019-01-11",7.07722438164637e-06
"7","Lithuania",2019,"2020-01-12","2019-01-12 to 2019-01-18",7.61366754886694e-06
"8","Lithuania",2019,"2020-01-19","2019-01-19 to 2019-01-25",1.58955535880523e-05
"9","Lithuania",2019,"2020-01-26","2019-01-26 to 2019-02-01",2.8577745979419e-05
"10","Lithuania",2019,"2020-02-02","2019-02-02 to 2019-02-08",2.58136478805682e-05
"11","Lithuania",2019,"2020-02-09","2019-02-09 to 2019-02-15",3.64973820978776e-05
"12","Lithuania",2019,"2020-02-16","2019-02-16 to 2019-02-22",3.37841192958876e-05
"13","Lithuania",2019,"2020-02-23","2019-02-23 to 2019-03-01",2.15542786463629e-05
"14","Lithuania",2019,"2020-03-02","2019-03-02 to 2019-03-08",1.79916678462178e-05
"15","Lithuania",2019,"2020-03-09","2019-03-09 to 2019-03-15",2.11116239370313e-05
"16","Lithuania",2019,"2020-03-16","2019-03-16 to 2019-03-22",2.27108812396182e-05
"17","Lithuania",2019,"2020-03-23","2019-03-23 to 2019-03-29",1.80078877747292e-05
"18","Lithuania",2019,"2020-03-30","2019-03-30 to 2019-04-05",1.26194699987536e-05
"19","Lithuania",2019,"2020-04-06","2019-04-06 to 2019-04-12",2.19978173845448e-05
"20","Lithuania",2019,"2020-04-13","2019-04-13 to 2019-04-19",3.08294474962167e-05
"21","Lithuania",2019,"2020-04-20","2019-04-20 to 2019-04-26",2.72439556283643e-05
"22","Lithuania",2019,"2020-04-27","2019-04-27 to 2019-05-03",2.83235604001675e-05
"23","Lithuania",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.61173757078359e-05
"24","Lithuania",2019,"2020-05-11","2019-05-11 to 2019-05-17",2.09935387829319e-05
"25","Lithuania",2019,"2020-05-18","2019-05-18 to 2019-05-24",2.31164995057043e-05
"26","Lithuania",2019,"2020-05-25","2019-05-25 to 2019-05-31",1.91387098311679e-05
"27","Lithuania",2019,"2020-06-01","2019-06-01 to 2019-06-07",2.09071149583906e-05
"28","Lithuania",2019,"2020-06-08","2019-06-08 to 2019-06-14",2.44832081079949e-05
"29","Lithuania",2019,"2020-06-15","2019-06-15 to 2019-06-21",1.97741974261589e-05
"30","Lithuania",2019,"2020-06-22","2019-06-22 to 2019-06-28",1.88845369848423e-05
"31","Lithuania",2019,"2020-06-29","2019-06-29 to 2019-07-05",1.45111125675612e-05
"32","Lithuania",2019,"2020-07-06","2019-07-06 to 2019-07-12",1.14357862912584e-05
"33","Lithuania",2019,"2020-07-13","2019-07-13 to 2019-07-19",7.04332614986924e-06
"34","Lithuania",2019,"2020-07-20","2019-07-20 to 2019-07-26",1.43843417390599e-05
"35","Lithuania",2019,"2020-07-27","2019-07-27 to 2019-08-02",2.39680903177941e-05
"36","Lithuania",2019,"2020-08-03","2019-08-03 to 2019-08-09",1.41021282615839e-05
"37","Lithuania",2019,"2020-08-10","2019-08-10 to 2019-08-16",1.63370677910279e-05
"38","Lithuania",2019,"2020-08-17","2019-08-17 to 2019-08-23",1.4897707842465e-05
"39","Lithuania",2019,"2020-08-24","2019-08-24 to 2019-08-30",1.89817637874512e-05
"40","Lithuania",2019,"2020-08-31","2019-08-31 to 2019-09-06",1.67717244039522e-05
"41","Lithuania",2019,"2020-09-07","2019-09-07 to 2019-09-13",2.84357138298219e-05
"42","Lithuania",2019,"2020-09-14","2019-09-14 to 2019-09-20",1.45283565871068e-05
"43","Lithuania",2019,"2020-09-21","2019-09-21 to 2019-09-27",1.93449232028797e-05
"44","Lithuania",2019,"2020-09-28","2019-09-28 to 2019-10-04",2.69390202447539e-05
"45","Lithuania",2019,"2020-10-05","2019-10-05 to 2019-10-11",2.61223958659684e-05
"46","Lithuania",2019,"2020-10-12","2019-10-12 to 2019-10-18",3.39784528478049e-05
"47","Lithuania",2019,"2020-10-19","2019-10-19 to 2019-10-25",4.27186787419487e-05
"48","Lithuania",2019,"2020-10-26","2019-10-26 to 2019-11-01",2.15818654396571e-05
"49","Lithuania",2019,"2020-11-02","2019-11-02 to 2019-11-08",4.29881947638933e-05
"50","Lithuania",2019,"2020-11-09","2019-11-09 to 2019-11-15",2.09305053431308e-05
"51","Lithuania",2019,"2020-11-16","2019-11-16 to 2019-11-22",3.32688141497783e-05
"52","Lithuania",2019,"2020-11-23","2019-11-23 to 2019-11-29",2.96189427899662e-05
"53","Lithuania",2019,"2020-11-30","2019-11-30 to 2019-12-06",3.2307900255546e-05
"54","Lithuania",2019,"2020-12-07","2019-12-07 to 2019-12-13",3.08111448248383e-05
"55","Lithuania",2019,"2020-12-14","2019-12-14 to 2019-12-20",4.78192341688555e-05
"56","Lithuania",2019,"2020-12-21","2019-12-21 to 2019-12-27",6.37765115243383e-05
"57","Lithuania",2019,"2020-12-28","2019-12-28 to 2020-01-03",2.8328124244581e-05
"58","Lithuania",2020,"2019-12-01","2019-12-01 to 2019-12-07",5.26720905327238e-05
"59","Lithuania",2020,"2019-12-08","2019-12-08 to 2019-12-14",3.08111448248383e-05
"60","Lithuania",2020,"2019-12-15","2019-12-15 to 2019-12-21",4.73915824841242e-05
"61","Lithuania",2020,"2019-12-22","2019-12-22 to 2019-12-28",1.71124484040774e-05
"62","Lithuania",2020,"2019-12-29","2019-12-29 to 2020-01-04",4.22281373175792e-05
"63","Lithuania",2020,"2020-01-05","2020-01-05 to 2020-01-11",2.88279552478343e-05
"64","Lithuania",2020,"2020-01-12","2020-01-12 to 2020-01-18",4.78442816529423e-05
"65","Lithuania",2020,"2020-01-19","2020-01-19 to 2020-01-25",1.62648084369721e-05
"66","Lithuania",2020,"2020-01-26","2020-01-26 to 2020-02-01",3.6107736377744e-05
"67","Lithuania",2020,"2020-02-02","2020-02-02 to 2020-02-08",8.57789291330846e-06
"68","Lithuania",2020,"2020-02-09","2020-02-09 to 2020-02-15",5.93481527175754e-05
"69","Lithuania",2020,"2020-02-16","2020-02-16 to 2020-02-22",4.11585351685062e-05
"70","Lithuania",2020,"2020-02-23","2020-02-23 to 2020-02-29",3.5420660424279e-05
