"","Location","Period","Date","Week","NO2_Concentration"
"1","Netherlands",2019,"2019-11-30","2018-11-30 to 2018-12-06",7.24199126125313e-05
"2","Netherlands",2019,"2019-12-07","2018-12-07 to 2018-12-13",5.09757592226379e-05
"3","Netherlands",2019,"2019-12-14","2018-12-14 to 2018-12-20",7.49148312024772e-05
"4","Netherlands",2019,"2019-12-21","2018-12-21 to 2018-12-27",3.06448273477145e-05
"5","Netherlands",2019,"2019-12-28","2018-12-28 to 2019-01-03",3.37978635798208e-05
"6","Netherlands",2019,"2020-01-04","2019-01-04 to 2019-01-10",1.57183931150939e-05
"7","Netherlands",2019,"2020-01-11","2019-01-11 to 2019-01-17",4.07107072533108e-05
"8","Netherlands",2019,"2020-01-18","2019-01-18 to 2019-01-24",0.000117829891678412
"9","Netherlands",2019,"2020-01-25","2019-01-25 to 2019-01-31",7.93045983300544e-05
"10","Netherlands",2019,"2020-02-01","2019-02-01 to 2019-02-07",5.95593519392423e-05
"11","Netherlands",2019,"2020-02-08","2019-02-08 to 2019-02-14",5.83570399612654e-05
"12","Netherlands",2019,"2020-02-15","2019-02-15 to 2019-02-21",0.000106570099887904
"13","Netherlands",2019,"2020-02-22","2019-02-22 to 2019-02-28",0.0001329246442765
"14","Netherlands",2019,"2020-03-01","2019-03-01 to 2019-03-07",4.44236648036167e-05
"15","Netherlands",2019,"2020-03-08","2019-03-08 to 2019-03-14",4.83798103232402e-05
"16","Netherlands",2019,"2020-03-15","2019-03-15 to 2019-03-21",5.7635650591692e-05
"17","Netherlands",2019,"2020-03-22","2019-03-22 to 2019-03-28",9.46921500144526e-05
"18","Netherlands",2019,"2020-03-29","2019-03-29 to 2019-04-04",9.2554313596338e-05
"19","Netherlands",2019,"2020-04-05","2019-04-05 to 2019-04-11",0.000126169456052594
"20","Netherlands",2019,"2020-04-12","2019-04-12 to 2019-04-18",0.000138185860123485
"21","Netherlands",2019,"2020-04-19","2019-04-19 to 2019-04-25",7.7584023529198e-05
"22","Netherlands",2019,"2020-04-26","2019-04-26 to 2019-05-02",5.6631561164977e-05
"23","Netherlands",2019,"2020-05-03","2019-05-03 to 2019-05-09",4.05421706091147e-05
"24","Netherlands",2019,"2020-05-10","2019-05-10 to 2019-05-16",7.80615300755017e-05
"25","Netherlands",2019,"2020-05-17","2019-05-17 to 2019-05-23",8.23071241029538e-05
"26","Netherlands",2019,"2020-05-24","2019-05-24 to 2019-05-30",7.39699535188265e-05
"27","Netherlands",2019,"2020-05-31","2019-05-31 to 2019-06-06",4.66073397547007e-05
"28","Netherlands",2019,"2020-06-07","2019-06-07 to 2019-06-13",3.3797823562054e-05
"29","Netherlands",2019,"2020-06-14","2019-06-14 to 2019-06-20",4.00255630665924e-05
"30","Netherlands",2019,"2020-06-21","2019-06-21 to 2019-06-27",4.54946966783609e-05
"31","Netherlands",2019,"2020-06-28","2019-06-28 to 2019-07-04",4.72704086860176e-05
"32","Netherlands",2019,"2020-07-05","2019-07-05 to 2019-07-11",4.86236967844889e-05
"33","Netherlands",2019,"2020-07-12","2019-07-12 to 2019-07-18",6.66910054860637e-05
"34","Netherlands",2019,"2020-07-19","2019-07-19 to 2019-07-25",5.76760940020904e-05
"35","Netherlands",2019,"2020-07-26","2019-07-26 to 2019-08-01",5.56525992578827e-05
"36","Netherlands",2019,"2020-08-02","2019-08-02 to 2019-08-08",4.66847122879699e-05
"37","Netherlands",2019,"2020-08-09","2019-08-09 to 2019-08-15",3.17903686664067e-05
"38","Netherlands",2019,"2020-08-16","2019-08-16 to 2019-08-22",3.46799279213883e-05
"39","Netherlands",2019,"2020-08-23","2019-08-23 to 2019-08-29",8.12407670309767e-05
"40","Netherlands",2019,"2020-08-30","2019-08-30 to 2019-09-05",5.52248493477236e-05
"41","Netherlands",2019,"2020-09-06","2019-09-06 to 2019-09-12",6.13232332398184e-05
"42","Netherlands",2019,"2020-09-13","2019-09-13 to 2019-09-19",6.92116518621333e-05
"43","Netherlands",2019,"2020-09-20","2019-09-20 to 2019-09-26",8.69106370373629e-05
"44","Netherlands",2019,"2020-09-27","2019-09-27 to 2019-10-03",4.04444981541019e-05
"45","Netherlands",2019,"2020-10-04","2019-10-04 to 2019-10-10",5.09202800458297e-05
"46","Netherlands",2019,"2020-10-11","2019-10-11 to 2019-10-17",7.81665512477048e-05
"47","Netherlands",2019,"2020-10-18","2019-10-18 to 2019-10-24",8.52263256092556e-05
"48","Netherlands",2019,"2020-10-25","2019-10-25 to 2019-10-31",8.61466105561703e-05
"49","Netherlands",2019,"2020-11-01","2019-11-01 to 2019-11-07",5.16371328558307e-05
"50","Netherlands",2019,"2020-11-08","2019-11-08 to 2019-11-14",7.50336112105288e-05
"51","Netherlands",2019,"2020-11-15","2019-11-15 to 2019-11-21",0.000101188685221132
"52","Netherlands",2019,"2020-11-22","2019-11-22 to 2019-11-28",0.000110362729174085
"53","Netherlands",2019,"2020-11-29","2019-11-29 to 2019-12-05",0.000110496497654822
"54","Netherlands",2019,"2020-12-06","2019-12-06 to 2019-12-12",4.2966737964889e-05
"55","Netherlands",2019,"2020-12-13","2019-12-13 to 2019-12-19",5.88230577704962e-05
"56","Netherlands",2019,"2020-12-20","2019-12-20 to 2019-12-26",4.19562747993041e-05
"57","Netherlands",2019,"2020-12-27","2019-12-27 to 2020-01-02",8.99750084499829e-05
"58","Netherlands",2020,"2019-11-30","2019-11-30 to 2019-12-06",0.000126695886137895
"59","Netherlands",2020,"2019-12-07","2019-12-07 to 2019-12-13",3.49405236192979e-05
"60","Netherlands",2020,"2019-12-14","2019-12-14 to 2019-12-20",6.6468222939875e-05
"61","Netherlands",2020,"2019-12-21","2019-12-21 to 2019-12-27",4.08646374125965e-05
"62","Netherlands",2020,"2019-12-28","2019-12-28 to 2020-01-03",9.33963819989003e-05
"63","Netherlands",2020,"2020-01-04","2020-01-04 to 2020-01-10",7.99438494141214e-05
"64","Netherlands",2020,"2020-01-11","2020-01-11 to 2020-01-17",7.33937922632322e-05
"65","Netherlands",2020,"2020-01-18","2020-01-18 to 2020-01-24",7.5652809755411e-05
"66","Netherlands",2020,"2020-01-25","2020-01-25 to 2020-01-31",3.74162045773119e-05
"67","Netherlands",2020,"2020-02-01","2020-02-01 to 2020-02-07",5.64553483854979e-05
"68","Netherlands",2020,"2020-02-08","2020-02-08 to 2020-02-14",3.10020077449735e-05
"69","Netherlands",2020,"2020-02-15","2020-02-15 to 2020-02-21",4.49820836365689e-05
"70","Netherlands",2020,"2020-02-22","2020-02-22 to 2020-02-28",4.836489824811e-05
"71","Netherlands",2020,"2020-03-01","2020-03-01 to 2020-03-07",4.23692581534851e-05
"72","Netherlands",2020,"2020-03-08","2020-03-08 to 2020-03-14",4.21073418692686e-05
"73","Netherlands",2020,"2020-03-15","2020-03-15 to 2020-03-21",8.11323334346525e-05
"74","Netherlands",2020,"2020-03-22","2020-03-22 to 2020-03-28",8.90794835868292e-05
"75","Netherlands",2020,"2020-03-29","2020-03-29 to 2020-04-04",7.15511632733978e-05
"76","Netherlands",2020,"2020-04-05","2020-04-05 to 2020-04-11",6.00794519414194e-05
"77","Netherlands",2020,"2020-04-12","2020-04-12 to 2020-04-18",7.47753438190557e-05
"78","Netherlands",2020,"2020-04-19","2020-04-19 to 2020-04-25",7.46866935514845e-05
"79","Netherlands",2020,"2020-04-26","2020-04-26 to 2020-05-02",4.19560637965333e-05
"80","Netherlands",2020,"2020-05-03","2020-05-03 to 2020-05-09",7.94502775534056e-05
"81","Netherlands",2020,"2020-05-10","2020-05-10 to 2020-05-16",4.28211715188809e-05
"82","Netherlands",2020,"2020-05-17","2020-05-17 to 2020-05-23",5.76875791011844e-05
"83","Netherlands",2020,"2020-05-24","2020-05-24 to 2020-05-30",6.7687600676436e-05
"84","Netherlands",2020,"2020-05-31","2020-05-31 to 2020-06-06",4.46270132670179e-05
"85","Netherlands",2020,"2020-06-07","2020-06-07 to 2020-06-13",2.14117881114362e-05
"86","Netherlands",2020,"2020-06-14","2020-06-14 to 2020-06-20",2.59444495895877e-05
"87","Netherlands",2020,"2020-06-21","2020-06-21 to 2020-06-27",4.56782290711999e-05
"88","Netherlands",2020,"2020-06-28","2020-06-28 to 2020-07-04",2.46862327912822e-05
"89","Netherlands",2020,"2020-07-05","2020-07-05 to 2020-07-11",2.29365032282658e-05
"90","Netherlands",2020,"2020-07-12","2020-07-12 to 2020-07-18",4.37638263974804e-05
"91","Netherlands",2020,"2020-07-19","2020-07-19 to 2020-07-25",3.97591647924855e-05
"92","Netherlands",2020,"2020-07-26","2020-07-26 to 2020-08-01",5.80627747694962e-05
"93","Netherlands",2020,"2020-08-02","2020-08-02 to 2020-08-08",4.57459573226515e-05
"94","Netherlands",2020,"2020-08-09","2020-08-09 to 2020-08-15",6.69219298288226e-05
"95","Netherlands",2020,"2020-08-16","2020-08-16 to 2020-08-22",4.94688829348888e-05
"96","Netherlands",2020,"2020-08-23","2020-08-23 to 2020-08-29",3.56910677510314e-05
"97","Netherlands",2020,"2020-08-30","2020-08-30 to 2020-09-05",5.74093428440392e-05
"98","Netherlands",2020,"2020-09-06","2020-09-06 to 2020-09-12",5.3793872211827e-05
