"","Location","Period","Date","Week","NO2_Concentration"
"1","Netherlands",2019,"2019-11-30","2018-11-30 to 2018-12-06",8.99859587661922e-05
"2","Netherlands",2019,"2019-12-07","2018-12-07 to 2018-12-13",6.58085555187427e-05
"3","Netherlands",2019,"2019-12-14","2018-12-14 to 2018-12-20",7.61926203267649e-05
"4","Netherlands",2019,"2019-12-21","2018-12-21 to 2018-12-27",4.30192885687575e-05
"5","Netherlands",2019,"2019-12-28","2018-12-28 to 2019-01-03",4.14609239669517e-05
"6","Netherlands",2019,"2020-01-04","2019-01-04 to 2019-01-10",1.78993486770196e-05
"7","Netherlands",2019,"2020-01-11","2019-01-11 to 2019-01-17",4.31059888796881e-05
"8","Netherlands",2019,"2020-01-18","2019-01-18 to 2019-01-24",0.000105434235592838
"9","Netherlands",2019,"2020-01-25","2019-01-25 to 2019-01-31",6.12956937402487e-05
"10","Netherlands",2019,"2020-02-01","2019-02-01 to 2019-02-07",5.72452627238818e-05
"11","Netherlands",2019,"2020-02-08","2019-02-08 to 2019-02-14",7.29282692191191e-05
"12","Netherlands",2019,"2020-02-15","2019-02-15 to 2019-02-21",9.90480839391239e-05
"13","Netherlands",2019,"2020-02-22","2019-02-22 to 2019-02-28",0.000124078374938108
"14","Netherlands",2019,"2020-03-01","2019-03-01 to 2019-03-07",3.81591526092961e-05
"15","Netherlands",2019,"2020-03-08","2019-03-08 to 2019-03-14",4.88120240333956e-05
"16","Netherlands",2019,"2020-03-15","2019-03-15 to 2019-03-21",5.98929727857467e-05
"17","Netherlands",2019,"2020-03-22","2019-03-22 to 2019-03-28",8.18343396531418e-05
"18","Netherlands",2019,"2020-03-29","2019-03-29 to 2019-04-04",8.32289515528828e-05
"19","Netherlands",2019,"2020-04-05","2019-04-05 to 2019-04-11",0.000134964750031941
"20","Netherlands",2019,"2020-04-12","2019-04-12 to 2019-04-18",0.000149768777191639
"21","Netherlands",2019,"2020-04-19","2019-04-19 to 2019-04-25",7.96393578639254e-05
"22","Netherlands",2019,"2020-04-26","2019-04-26 to 2019-05-02",5.26347830600571e-05
