"","Location","Period","Date","Week","NO2_Concentration"
"1","Slovenia",2019,"2019-12-01","2018-12-01 to 2018-12-07",4.55446170235518e-05
"2","Slovenia",2019,"2019-12-08","2018-12-08 to 2018-12-14",5.4339281632565e-05
"3","Slovenia",2019,"2019-12-15","2018-12-15 to 2018-12-21",4.81357892567758e-05
"4","Slovenia",2019,"2019-12-22","2018-12-22 to 2018-12-28",2.26412685151445e-05
"5","Slovenia",2019,"2019-12-29","2018-12-29 to 2019-01-04",2.78782481473172e-05
"6","Slovenia",2019,"2020-01-05","2019-01-05 to 2019-01-11",3.58462129952386e-05
"7","Slovenia",2019,"2020-01-12","2019-01-12 to 2019-01-18",6.49241337669082e-05
"8","Slovenia",2019,"2020-01-19","2019-01-19 to 2019-01-25",2.02727496798616e-05
"9","Slovenia",2019,"2020-01-26","2019-01-26 to 2019-02-01",4.01242250518408e-05
"10","Slovenia",2019,"2020-02-02","2019-02-02 to 2019-02-08",3.51970193150919e-05
"11","Slovenia",2019,"2020-02-09","2019-02-09 to 2019-02-15",4.09411077271216e-05
"12","Slovenia",2019,"2020-02-16","2019-02-16 to 2019-02-22",3.34185933752451e-05
"13","Slovenia",2019,"2020-02-23","2019-02-23 to 2019-03-01",3.83203914680053e-05
"14","Slovenia",2019,"2020-03-02","2019-03-02 to 2019-03-08",3.65706255252007e-05
"15","Slovenia",2019,"2020-03-09","2019-03-09 to 2019-03-15",3.67300344805699e-05
"16","Slovenia",2019,"2020-03-16","2019-03-16 to 2019-03-22",3.10134382743854e-05
"17","Slovenia",2019,"2020-03-23","2019-03-23 to 2019-03-29",2.58112449955661e-05
"18","Slovenia",2019,"2020-03-30","2019-03-30 to 2019-04-05",2.9717597499257e-05
"19","Slovenia",2019,"2020-04-06","2019-04-06 to 2019-04-12",2.43647264142055e-05
"20","Slovenia",2019,"2020-04-13","2019-04-13 to 2019-04-19",3.17972480843309e-05
"21","Slovenia",2019,"2020-04-20","2019-04-20 to 2019-04-26",2.37131571338978e-05
"22","Slovenia",2019,"2020-04-27","2019-04-27 to 2019-05-03",2.89553008769872e-05
"23","Slovenia",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.94537606148515e-05
"24","Slovenia",2019,"2020-05-11","2019-05-11 to 2019-05-17",2.11046299227746e-05
"25","Slovenia",2019,"2020-05-18","2019-05-18 to 2019-05-24",1.57252070493996e-05
"26","Slovenia",2019,"2020-05-25","2019-05-25 to 2019-05-31",1.95048341993243e-05
"27","Slovenia",2019,"2020-06-01","2019-06-01 to 2019-06-07",2.02709579752991e-05
"28","Slovenia",2019,"2020-06-08","2019-06-08 to 2019-06-14",1.46186821439187e-05
"29","Slovenia",2019,"2020-06-15","2019-06-15 to 2019-06-21",1.34808724396862e-05
"30","Slovenia",2019,"2020-06-22","2019-06-22 to 2019-06-28",2.43677513935836e-05
"31","Slovenia",2019,"2020-06-29","2019-06-29 to 2019-07-05",2.58076779573457e-05
"32","Slovenia",2019,"2020-07-06","2019-07-06 to 2019-07-12",1.80524511961266e-05
"33","Slovenia",2019,"2020-07-13","2019-07-13 to 2019-07-19",1.60518338816473e-05
"34","Slovenia",2019,"2020-07-20","2019-07-20 to 2019-07-26",1.76342819031561e-05
"35","Slovenia",2019,"2020-07-27","2019-07-27 to 2019-08-02",2.27105592784937e-05
"36","Slovenia",2019,"2020-08-03","2019-08-03 to 2019-08-09",1.65704841492698e-05
"37","Slovenia",2019,"2020-08-10","2019-08-10 to 2019-08-16",1.88888061529724e-05
"38","Slovenia",2019,"2020-08-17","2019-08-17 to 2019-08-23",2.04456136998488e-05
"39","Slovenia",2019,"2020-08-24","2019-08-24 to 2019-08-30",2.23631850531092e-05
"40","Slovenia",2019,"2020-08-31","2019-08-31 to 2019-09-06",2.27162090595812e-05
"41","Slovenia",2019,"2020-09-07","2019-09-07 to 2019-09-13",2.66811712208437e-05
"42","Slovenia",2019,"2020-09-14","2019-09-14 to 2019-09-20",2.57224874076201e-05
"43","Slovenia",2019,"2020-09-21","2019-09-21 to 2019-09-27",1.95047668967163e-05
"44","Slovenia",2019,"2020-09-28","2019-09-28 to 2019-10-04",2.02680766960839e-05
"45","Slovenia",2019,"2020-10-05","2019-10-05 to 2019-10-11",2.68688381765969e-05
"46","Slovenia",2019,"2020-10-12","2019-10-12 to 2019-10-18",2.10382568184286e-05
"47","Slovenia",2019,"2020-10-19","2019-10-19 to 2019-10-25",2.32312922889832e-05
"48","Slovenia",2019,"2020-10-26","2019-10-26 to 2019-11-01",3.07807022181805e-05
"49","Slovenia",2019,"2020-11-02","2019-11-02 to 2019-11-08",2.66780898527941e-05
"50","Slovenia",2019,"2020-11-09","2019-11-09 to 2019-11-15",2.21412683458766e-05
"51","Slovenia",2019,"2020-11-16","2019-11-16 to 2019-11-22",2.25498806685209e-05
"52","Slovenia",2019,"2020-11-23","2019-11-23 to 2019-11-29",3.71067944797687e-05
"53","Slovenia",2019,"2020-11-30","2019-11-30 to 2019-12-06",3.26881126966327e-05
"54","Slovenia",2019,"2020-12-07","2019-12-07 to 2019-12-13",4.1934494220186e-05
"55","Slovenia",2019,"2020-12-14","2019-12-14 to 2019-12-20",3.6973156966269e-05
"56","Slovenia",2019,"2020-12-21","2019-12-21 to 2019-12-27",3.67865686712321e-05
"57","Slovenia",2019,"2020-12-28","2019-12-28 to 2020-01-03",2.95001409540419e-05
"58","Slovenia",2020,"2019-12-01","2019-12-01 to 2019-12-07",2.78912484645844e-05
"59","Slovenia",2020,"2019-12-08","2019-12-08 to 2019-12-14",3.74733026546892e-05
"60","Slovenia",2020,"2019-12-15","2019-12-15 to 2019-12-21",3.65737869287841e-05
"61","Slovenia",2020,"2019-12-22","2019-12-22 to 2019-12-28",3.75667659682222e-05
"62","Slovenia",2020,"2019-12-29","2019-12-29 to 2020-01-04",3.47318782587536e-05
"63","Slovenia",2020,"2020-01-05","2020-01-05 to 2020-01-11",5.64413567190059e-05
"64","Slovenia",2020,"2020-01-12","2020-01-12 to 2020-01-18",5.74495425098576e-05
"65","Slovenia",2020,"2020-01-19","2020-01-19 to 2020-01-25",3.83466394850984e-05
"66","Slovenia",2020,"2020-01-26","2020-01-26 to 2020-02-01",4.12086556025315e-05
"67","Slovenia",2020,"2020-02-02","2020-02-02 to 2020-02-08",3.72943395632319e-05
"68","Slovenia",2020,"2020-02-09","2020-02-09 to 2020-02-15",3.97946569137275e-05
"69","Slovenia",2020,"2020-02-16","2020-02-16 to 2020-02-22",3.18226993840653e-05
"70","Slovenia",2020,"2020-02-23","2020-02-23 to 2020-02-29",4.90009733766783e-05
"71","Slovenia",2020,"2020-03-02","2020-03-02 to 2020-03-08",2.99306502711261e-05
"72","Slovenia",2020,"2020-03-09","2020-03-09 to 2020-03-15",3.35786389769055e-05
"73","Slovenia",2020,"2020-03-16","2020-03-16 to 2020-03-22",2.47357165790163e-05
"74","Slovenia",2020,"2020-03-23","2020-03-23 to 2020-03-29",2.12970444408711e-05
"75","Slovenia",2020,"2020-03-30","2020-03-30 to 2020-04-05",2.10523612622637e-05
"76","Slovenia",2020,"2020-04-06","2020-04-06 to 2020-04-12",2.26979627768742e-05
"77","Slovenia",2020,"2020-04-13","2020-04-13 to 2020-04-19",2.77682847809047e-05
"78","Slovenia",2020,"2020-04-20","2020-04-20 to 2020-04-26",2.34517738135764e-05
"79","Slovenia",2020,"2020-04-27","2020-04-27 to 2020-05-03",1.70343500940362e-05
"80","Slovenia",2020,"2020-05-04","2020-05-04 to 2020-05-10",2.31123722187476e-05
"81","Slovenia",2020,"2020-05-11","2020-05-11 to 2020-05-17",1.91139879461844e-05
"82","Slovenia",2020,"2020-05-18","2020-05-18 to 2020-05-24",1.5546278518741e-05
"83","Slovenia",2020,"2020-05-25","2020-05-25 to 2020-05-31",2.05277829081751e-05
"84","Slovenia",2020,"2020-06-01","2020-06-01 to 2020-06-07",1.68620063050184e-05
"85","Slovenia",2020,"2020-06-08","2020-06-08 to 2020-06-14",1.91183735296363e-05
"86","Slovenia",2020,"2020-06-15","2020-06-15 to 2020-06-21",1.67930793395499e-05
"87","Slovenia",2020,"2020-06-22","2020-06-22 to 2020-06-28",1.86454490176402e-05
"88","Slovenia",2020,"2020-06-29","2020-06-29 to 2020-07-05",1.92102997971233e-05
"89","Slovenia",2020,"2020-07-06","2020-07-06 to 2020-07-12",1.74541855813004e-05
"90","Slovenia",2020,"2020-07-13","2020-07-13 to 2020-07-19",1.48061653817422e-05
"91","Slovenia",2020,"2020-07-20","2020-07-20 to 2020-07-26",1.9781193259405e-05
"92","Slovenia",2020,"2020-07-27","2020-07-27 to 2020-08-02",2.36660071095685e-05
"93","Slovenia",2020,"2020-08-03","2020-08-03 to 2020-08-09",2.12885297514731e-05
"94","Slovenia",2020,"2020-08-10","2020-08-10 to 2020-08-16",2.03143499675207e-05
"95","Slovenia",2020,"2020-08-17","2020-08-17 to 2020-08-23",1.87004916369915e-05
"96","Slovenia",2020,"2020-08-24","2020-08-24 to 2020-08-30",1.83898682735162e-05
"97","Slovenia",2020,"2020-08-31","2020-08-31 to 2020-09-06",1.98757006728556e-05
"98","Slovenia",2020,"2020-09-07","2020-09-07 to 2020-09-13",2.46319887082791e-05
"99","Slovenia",2020,"2020-09-14","2020-09-14 to 2020-09-20",2.65561811829684e-05
"100","Slovenia",2020,"2020-09-21","2020-09-21 to 2020-09-27",2.81372722383821e-05
"101","Slovenia",2020,"2020-09-28","2020-09-28 to 2020-10-04",2.78964016615646e-05
"102","Slovenia",2020,"2020-10-05","2020-10-05 to 2020-10-11",2.22918515646597e-05
"103","Slovenia",2020,"2020-10-12","2020-10-12 to 2020-10-18",3.48434987245128e-05
"104","Slovenia",2020,"2020-10-19","2020-10-19 to 2020-10-25",2.19026369450148e-05
"105","Slovenia",2020,"2020-10-26","2020-10-26 to 2020-11-01",3.11513431370258e-05
"106","Slovenia",2020,"2020-11-02","2020-11-02 to 2020-11-08",2.59002736129332e-05
"107","Slovenia",2020,"2020-11-09","2020-11-09 to 2020-11-15",2.42520654865075e-05
"108","Slovenia",2020,"2020-11-16","2020-11-16 to 2020-11-22",3.26538174704183e-05
"109","Slovenia",2020,"2020-11-23","2020-11-23 to 2020-11-29",3.09656279569026e-05
"110","Slovenia",2020,"2020-11-30","2020-11-30 to 2020-12-06",2.58512700384017e-05
"111","Slovenia",2020,"2020-12-07","2020-12-07 to 2020-12-13",3.73442999261897e-05
"112","Slovenia",2020,"2020-12-14","2020-12-14 to 2020-12-20",8.29559867270291e-05
"113","Slovenia",2020,"2020-12-21","2020-12-21 to 2020-12-27",4.59295915788971e-05
"114","Slovenia",2020,"2020-12-28","2020-12-28 to 2021-01-03",3.1473879062105e-05
