"","Location","Period","Date","Week","NO2_Concentration"
"1","Slovenia",2019,"2019-12-01","2018-12-01 to 2018-12-07",3.52595379808918e-05
"2","Slovenia",2019,"2019-12-08","2018-12-08 to 2018-12-14",4.8859954404179e-05
"3","Slovenia",2019,"2019-12-15","2018-12-15 to 2018-12-21",4.82027498946991e-05
"4","Slovenia",2019,"2019-12-22","2018-12-22 to 2018-12-28",1.04902474049595e-05
"5","Slovenia",2019,"2019-12-29","2018-12-29 to 2019-01-04",1.97306853806367e-05
"6","Slovenia",2019,"2020-01-05","2019-01-05 to 2019-01-11",1.81485447683372e-05
"7","Slovenia",2019,"2020-01-12","2019-01-12 to 2019-01-18",3.68840337614529e-05
"8","Slovenia",2019,"2020-01-19","2019-01-19 to 2019-01-25",1.33934381665313e-05
"9","Slovenia",2019,"2020-01-26","2019-01-26 to 2019-02-01",5.64131260034628e-05
"10","Slovenia",2019,"2020-02-02","2019-02-02 to 2019-02-08",3.12064839818049e-05
"11","Slovenia",2019,"2020-02-09","2019-02-09 to 2019-02-15",3.17654048558325e-05
"12","Slovenia",2019,"2020-02-16","2019-02-16 to 2019-02-22",3.05340254271869e-05
"13","Slovenia",2019,"2020-02-23","2019-02-23 to 2019-03-01",3.35562726831995e-05
"14","Slovenia",2019,"2020-03-02","2019-03-02 to 2019-03-08",3.52586976077873e-05
"15","Slovenia",2019,"2020-03-09","2019-03-09 to 2019-03-15",3.6126122722635e-05
"16","Slovenia",2019,"2020-03-16","2019-03-16 to 2019-03-22",2.86539961962262e-05
"17","Slovenia",2019,"2020-03-23","2019-03-23 to 2019-03-29",2.44327729888028e-05
"18","Slovenia",2019,"2020-03-30","2019-03-30 to 2019-04-05",2.82764558505733e-05
"19","Slovenia",2019,"2020-04-06","2019-04-06 to 2019-04-12",2.63242873188574e-05
"20","Slovenia",2019,"2020-04-13","2019-04-13 to 2019-04-19",3.42681705660652e-05
"21","Slovenia",2019,"2020-04-20","2019-04-20 to 2019-04-26",2.27281270781532e-05
"22","Slovenia",2019,"2020-04-27","2019-04-27 to 2019-05-03",2.71627777692629e-05
"23","Slovenia",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.47764940265915e-05
"24","Slovenia",2019,"2020-05-11","2019-05-11 to 2019-05-17",1.73294865817297e-05
