"","Location","Period","Date","Week","NO2_Concentration"
"1","Sweden",2019,"2019-12-01","2018-12-01 to 2018-12-07",1.5964364138199e-05
"2","Sweden",2019,"2019-12-08","2018-12-08 to 2018-12-14",2.83009267150192e-05
"3","Sweden",2019,"2019-12-15","2018-12-15 to 2018-12-21",3.07583541143686e-05
"4","Sweden",2019,"2019-12-22","2018-12-22 to 2018-12-28",2.60464116763615e-06
"5","Sweden",2019,"2019-12-29","2018-12-29 to 2019-01-04",4.55385315945023e-06
"6","Sweden",2019,"2020-01-05","2019-01-05 to 2019-01-11",1.44953255585278e-05
"7","Sweden",2019,"2020-01-12","2019-01-12 to 2019-01-18",8.88989234226756e-06
"8","Sweden",2019,"2020-01-19","2019-01-19 to 2019-01-25",1.59868977789301e-05
"9","Sweden",2019,"2020-01-26","2019-01-26 to 2019-02-01",3.34270916937385e-05
"10","Sweden",2019,"2020-02-02","2019-02-02 to 2019-02-08",1.92813004105119e-05
"11","Sweden",2019,"2020-02-09","2019-02-09 to 2019-02-15",8.4432022049441e-06
"12","Sweden",2019,"2020-02-16","2019-02-16 to 2019-02-22",1.99952064576792e-05
"13","Sweden",2019,"2020-02-23","2019-02-23 to 2019-03-01",1.2617614629562e-05
"14","Sweden",2019,"2020-03-02","2019-03-02 to 2019-03-08",9.93588855635608e-06
"15","Sweden",2019,"2020-03-09","2019-03-09 to 2019-03-15",7.20889556760085e-06
"16","Sweden",2019,"2020-03-16","2019-03-16 to 2019-03-22",1.44209179779864e-05
"17","Sweden",2019,"2020-03-23","2019-03-23 to 2019-03-29",1.23046811495442e-05
"18","Sweden",2019,"2020-03-30","2019-03-30 to 2019-04-05",9.15468535822583e-06
"19","Sweden",2019,"2020-04-06","2019-04-06 to 2019-04-12",1.02739004432806e-05
"20","Sweden",2019,"2020-04-13","2019-04-13 to 2019-04-19",1.35945019792416e-05
"21","Sweden",2019,"2020-04-20","2019-04-20 to 2019-04-26",1.58218135766219e-05
"22","Sweden",2019,"2020-04-27","2019-04-27 to 2019-05-03",1.30383950818214e-05
"23","Sweden",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.1770061973948e-05
"24","Sweden",2019,"2020-05-11","2019-05-11 to 2019-05-17",1.36011331051122e-05
"25","Sweden",2019,"2020-05-18","2019-05-18 to 2019-05-24",2.24077575694537e-05
"26","Sweden",2019,"2020-05-25","2019-05-25 to 2019-05-31",9.41445523494622e-06
"27","Sweden",2019,"2020-06-01","2019-06-01 to 2019-06-07",1.42317221616395e-05
"28","Sweden",2019,"2020-06-08","2019-06-08 to 2019-06-14",1.48084345710231e-05
"29","Sweden",2019,"2020-06-15","2019-06-15 to 2019-06-21",1.03111924545374e-05
"30","Sweden",2019,"2020-06-22","2019-06-22 to 2019-06-28",1.03209940789384e-05
"31","Sweden",2019,"2020-06-29","2019-06-29 to 2019-07-05",9.9933558885823e-06
"32","Sweden",2019,"2020-07-06","2019-07-06 to 2019-07-12",1.00190454759286e-05
"33","Sweden",2019,"2020-07-13","2019-07-13 to 2019-07-19",8.59286956256256e-06
"34","Sweden",2019,"2020-07-20","2019-07-20 to 2019-07-26",7.50153822082211e-06
"35","Sweden",2019,"2020-07-27","2019-07-27 to 2019-08-02",1.11322642624145e-05
"36","Sweden",2019,"2020-08-03","2019-08-03 to 2019-08-09",8.96321216714568e-06
"37","Sweden",2019,"2020-08-10","2019-08-10 to 2019-08-16",1.44401192301302e-05
"38","Sweden",2019,"2020-08-17","2019-08-17 to 2019-08-23",7.02994657331146e-06
"39","Sweden",2019,"2020-08-24","2019-08-24 to 2019-08-30",1.42585095090908e-05
"40","Sweden",2019,"2020-08-31","2019-08-31 to 2019-09-06",1.03117008620757e-05
"41","Sweden",2019,"2020-09-07","2019-09-07 to 2019-09-13",1.32479126477847e-05
"42","Sweden",2019,"2020-09-14","2019-09-14 to 2019-09-20",1.0157520591747e-05
"43","Sweden",2019,"2020-09-21","2019-09-21 to 2019-09-27",1.18180805657175e-05
"44","Sweden",2019,"2020-09-28","2019-09-28 to 2019-10-04",1.49552270158892e-05
"45","Sweden",2019,"2020-10-05","2019-10-05 to 2019-10-11",1.18529333121842e-05
"46","Sweden",2019,"2020-10-12","2019-10-12 to 2019-10-18",1.90736300282879e-05
"47","Sweden",2019,"2020-10-19","2019-10-19 to 2019-10-25",2.83559620584128e-05
"48","Sweden",2019,"2020-10-26","2019-10-26 to 2019-11-01",1.13772266558954e-05
"49","Sweden",2019,"2020-11-02","2019-11-02 to 2019-11-08",1.54516710608732e-05
