"","Location","Period","Date","Week","NO2_Concentration"
"1","Sweden",2019,"2019-12-01","2018-12-01 to 2018-12-07",2.44903039856581e-05
"2","Sweden",2019,"2019-12-08","2018-12-08 to 2018-12-14",2.90399821096798e-05
"3","Sweden",2019,"2019-12-15","2018-12-15 to 2018-12-21",2.91815740638413e-05
"4","Sweden",2019,"2019-12-22","2018-12-22 to 2018-12-28",NA
"5","Sweden",2019,"2019-12-29","2018-12-29 to 2019-01-04",5.33648790224106e-06
"6","Sweden",2019,"2020-01-05","2019-01-05 to 2019-01-11",NA
"7","Sweden",2019,"2020-01-12","2019-01-12 to 2019-01-18",NA
"8","Sweden",2019,"2020-01-19","2019-01-19 to 2019-01-25",2.12212707992876e-05
"9","Sweden",2019,"2020-01-26","2019-01-26 to 2019-02-01",3.68109613191336e-05
"10","Sweden",2019,"2020-02-02","2019-02-02 to 2019-02-08",1.64180619321996e-05
"11","Sweden",2019,"2020-02-09","2019-02-09 to 2019-02-15",1.2014932508464e-05
"12","Sweden",2019,"2020-02-16","2019-02-16 to 2019-02-22",4.00169628846925e-05
"13","Sweden",2019,"2020-02-23","2019-02-23 to 2019-03-01",1.95916491065873e-05
"14","Sweden",2019,"2020-03-02","2019-03-02 to 2019-03-08",1.8729788280325e-05
"15","Sweden",2019,"2020-03-09","2019-03-09 to 2019-03-15",1.00295765150804e-05
"16","Sweden",2019,"2020-03-16","2019-03-16 to 2019-03-22",2.6020294171758e-05
"17","Sweden",2019,"2020-03-23","2019-03-23 to 2019-03-29",2.25811600103043e-05
"18","Sweden",2019,"2020-03-30","2019-03-30 to 2019-04-05",1.44032464959309e-05
"19","Sweden",2019,"2020-04-06","2019-04-06 to 2019-04-12",1.98329016711796e-05
"20","Sweden",2019,"2020-04-13","2019-04-13 to 2019-04-19",2.55743689194787e-05
"21","Sweden",2019,"2020-04-20","2019-04-20 to 2019-04-26",2.40809513343265e-05
"22","Sweden",2019,"2020-04-27","2019-04-27 to 2019-05-03",1.95540815184359e-05
"23","Sweden",2019,"2020-05-04","2019-05-04 to 2019-05-10",1.96204819076229e-05
"24","Sweden",2019,"2020-05-11","2019-05-11 to 2019-05-17",1.50248233694583e-05
"25","Sweden",2019,"2020-05-18","2019-05-18 to 2019-05-24",2.89626677840715e-05
"26","Sweden",2019,"2020-05-25","2019-05-25 to 2019-05-31",1.20841405077954e-05
"27","Sweden",2019,"2020-06-01","2019-06-01 to 2019-06-07",2.31980611715699e-05
"28","Sweden",2019,"2020-06-08","2019-06-08 to 2019-06-14",2.07321681955364e-05
"29","Sweden",2019,"2020-06-15","2019-06-15 to 2019-06-21",1.70013445313089e-05
"30","Sweden",2019,"2020-06-22","2019-06-22 to 2019-06-28",1.52217335198657e-05
"31","Sweden",2019,"2020-06-29","2019-06-29 to 2019-07-05",1.41442969834316e-05
"32","Sweden",2019,"2020-07-06","2019-07-06 to 2019-07-12",1.17012396003702e-05
"33","Sweden",2019,"2020-07-13","2019-07-13 to 2019-07-19",1.05485842141206e-05
"34","Sweden",2019,"2020-07-20","2019-07-20 to 2019-07-26",1.14142621896463e-05
"35","Sweden",2019,"2020-07-27","2019-07-27 to 2019-08-02",1.64498542289948e-05
"36","Sweden",2019,"2020-08-03","2019-08-03 to 2019-08-09",1.39519606818794e-05
"37","Sweden",2019,"2020-08-10","2019-08-10 to 2019-08-16",1.64667599165114e-05
"38","Sweden",2019,"2020-08-17","2019-08-17 to 2019-08-23",1.2897202395834e-05
"39","Sweden",2019,"2020-08-24","2019-08-24 to 2019-08-30",2.01762286451412e-05
"40","Sweden",2019,"2020-08-31","2019-08-31 to 2019-09-06",1.54387671500444e-05
"41","Sweden",2019,"2020-09-07","2019-09-07 to 2019-09-13",2.08457367989467e-05
"42","Sweden",2019,"2020-09-14","2019-09-14 to 2019-09-20",1.45485182656557e-05
"43","Sweden",2019,"2020-09-21","2019-09-21 to 2019-09-27",1.96808432519902e-05
"44","Sweden",2019,"2020-09-28","2019-09-28 to 2019-10-04",1.75907825905597e-05
"45","Sweden",2019,"2020-10-05","2019-10-05 to 2019-10-11",2.16315820580348e-05
"46","Sweden",2019,"2020-10-12","2019-10-12 to 2019-10-18",3.4117325412808e-05
"47","Sweden",2019,"2020-10-19","2019-10-19 to 2019-10-25",3.90145905839745e-05
"48","Sweden",2019,"2020-10-26","2019-10-26 to 2019-11-01",1.23449763123062e-05
"49","Sweden",2019,"2020-11-02","2019-11-02 to 2019-11-08",3.61216043529566e-05
"50","Sweden",2019,"2020-11-09","2019-11-09 to 2019-11-15",5.3892897994956e-05
"51","Sweden",2019,"2020-11-16","2019-11-16 to 2019-11-22",7.0799324021209e-05
"52","Sweden",2019,"2020-11-23","2019-11-23 to 2019-11-29",NA
"53","Sweden",2019,"2020-11-30","2019-11-30 to 2019-12-06",2.39194359892281e-05
"54","Sweden",2019,"2020-12-07","2019-12-07 to 2019-12-13",1.3221150766185e-05
"55","Sweden",2019,"2020-12-14","2019-12-14 to 2019-12-20",5.30557626916561e-05
"56","Sweden",2019,"2020-12-21","2019-12-21 to 2019-12-27",6.26789114903659e-05
"57","Sweden",2019,"2020-12-28","2019-12-28 to 2020-01-03",5.40705914318096e-05
"58","Sweden",2020,"2019-12-01","2019-12-01 to 2019-12-07",1.81652339961147e-05
"59","Sweden",2020,"2019-12-08","2019-12-08 to 2019-12-14",2.51113779086154e-05
"60","Sweden",2020,"2019-12-15","2019-12-15 to 2019-12-21",5.30557626916561e-05
"61","Sweden",2020,"2019-12-22","2019-12-22 to 2019-12-28",5.78775980102364e-05
"62","Sweden",2020,"2019-12-29","2019-12-29 to 2020-01-04",4.98849658470135e-05
"63","Sweden",2020,"2020-01-05","2020-01-05 to 2020-01-11",4.1475268517388e-05
"64","Sweden",2020,"2020-01-12","2020-01-12 to 2020-01-18",4.88395417050924e-05
"65","Sweden",2020,"2020-01-19","2020-01-19 to 2020-01-25",3.36303601216059e-05
"66","Sweden",2020,"2020-01-26","2020-01-26 to 2020-02-01",1.1178736713191e-05
"67","Sweden",2020,"2020-02-02","2020-02-02 to 2020-02-08",1.53298351506237e-05
"68","Sweden",2020,"2020-02-09","2020-02-09 to 2020-02-15",1.11383887997363e-05
"69","Sweden",2020,"2020-02-16","2020-02-16 to 2020-02-22",2.14513820537832e-05
"70","Sweden",2020,"2020-02-23","2020-02-23 to 2020-02-29",1.8233429727843e-05
"71","Sweden",2020,"2020-03-02","2020-03-02 to 2020-03-08",2.24008108489215e-05
"72","Sweden",2020,"2020-03-09","2020-03-09 to 2020-03-15",1.17041117846384e-05
"73","Sweden",2020,"2020-03-16","2020-03-16 to 2020-03-22",9.7910315162153e-06
"74","Sweden",2020,"2020-03-23","2020-03-23 to 2020-03-29",2.43574704654748e-05
"75","Sweden",2020,"2020-03-30","2020-03-30 to 2020-04-05",2.1825897420058e-05
"76","Sweden",2020,"2020-04-06","2020-04-06 to 2020-04-12",1.84936779987765e-05
"77","Sweden",2020,"2020-04-13","2020-04-13 to 2020-04-19",1.54287263285369e-05
"78","Sweden",2020,"2020-04-20","2020-04-20 to 2020-04-26",2.32113525271416e-05
"79","Sweden",2020,"2020-04-27","2020-04-27 to 2020-05-03",1.56719925143989e-05
"80","Sweden",2020,"2020-05-04","2020-05-04 to 2020-05-10",1.6723055523471e-05
"81","Sweden",2020,"2020-05-11","2020-05-11 to 2020-05-17",1.17157696877257e-05
"82","Sweden",2020,"2020-05-18","2020-05-18 to 2020-05-24",2.12479426409118e-05
"83","Sweden",2020,"2020-05-25","2020-05-25 to 2020-05-31",1.70750936376862e-05
"84","Sweden",2020,"2020-06-01","2020-06-01 to 2020-06-07",1.08692738649552e-05
"85","Sweden",2020,"2020-06-08","2020-06-08 to 2020-06-14",1.97439585463144e-05
"86","Sweden",2020,"2020-06-15","2020-06-15 to 2020-06-21",1.82649964699522e-05
"87","Sweden",2020,"2020-06-22","2020-06-22 to 2020-06-28",2.03636118385475e-05
"88","Sweden",2020,"2020-06-29","2020-06-29 to 2020-07-05",7.25879408491892e-06
"89","Sweden",2020,"2020-07-06","2020-07-06 to 2020-07-12",4.05413220505579e-06
"90","Sweden",2020,"2020-07-13","2020-07-13 to 2020-07-19",1.16242963486002e-05
"91","Sweden",2020,"2020-07-20","2020-07-20 to 2020-07-26",8.9764025688055e-06
"92","Sweden",2020,"2020-07-27","2020-07-27 to 2020-08-02",1.37633815029403e-05
"93","Sweden",2020,"2020-08-03","2020-08-03 to 2020-08-09",1.6115262042149e-05
"94","Sweden",2020,"2020-08-10","2020-08-10 to 2020-08-16",1.60348263307242e-05
"95","Sweden",2020,"2020-08-17","2020-08-17 to 2020-08-23",1.74421656993218e-05
"96","Sweden",2020,"2020-08-24","2020-08-24 to 2020-08-30",1.62635060405592e-05
"97","Sweden",2020,"2020-08-31","2020-08-31 to 2020-09-06",1.75095592567232e-05
"98","Sweden",2020,"2020-09-07","2020-09-07 to 2020-09-13",1.98192992684199e-05
"99","Sweden",2020,"2020-09-14","2020-09-14 to 2020-09-20",2.09133286261931e-05
"100","Sweden",2020,"2020-09-21","2020-09-21 to 2020-09-27",2.49433796852827e-05
"101","Sweden",2020,"2020-09-28","2020-09-28 to 2020-10-04",2.22485305130249e-05
