"","Location","Period","Date","Week","NO2_Concentration"
"1","Uruguay",2019,"2019-11-28","2018-11-28 to 2018-12-04",1.20942859211937e-05
"2","Uruguay",2019,"2019-12-05","2018-12-05 to 2018-12-11",1.23100571727264e-05
"3","Uruguay",2019,"2019-12-12","2018-12-12 to 2018-12-18",9.38193898036843e-06
"4","Uruguay",2019,"2019-12-19","2018-12-19 to 2018-12-25",1.01792047644267e-05
"5","Uruguay",2019,"2019-12-26","2018-12-26 to 2019-01-01",1.10595765363541e-05
"6","Uruguay",2019,"2020-01-02","2019-01-02 to 2019-01-08",1.16285564217833e-05
"7","Uruguay",2019,"2020-01-09","2019-01-09 to 2019-01-15",1.37080678541679e-05
"8","Uruguay",2019,"2020-01-16","2019-01-16 to 2019-01-22",8.61537864693673e-06
"9","Uruguay",2019,"2020-01-23","2019-01-23 to 2019-01-29",1.68044243764598e-05
"10","Uruguay",2019,"2020-01-30","2019-01-30 to 2019-02-05",9.82989058684325e-06
"11","Uruguay",2019,"2020-02-06","2019-02-06 to 2019-02-12",1.4064729839447e-05
"12","Uruguay",2019,"2020-02-13","2019-02-13 to 2019-02-19",1.10913042590255e-05
"13","Uruguay",2019,"2020-02-20","2019-02-20 to 2019-02-26",1.50818077599979e-05
"14","Uruguay",2019,"2020-02-27","2019-02-27 to 2019-03-05",7.7983731898712e-06
"15","Uruguay",2019,"2020-03-06","2019-03-06 to 2019-03-12",1.06763554867939e-05
"16","Uruguay",2019,"2020-03-13","2019-03-13 to 2019-03-19",1.03492247944814e-05
"17","Uruguay",2019,"2020-03-20","2019-03-20 to 2019-03-26",9.24940013646847e-06
"18","Uruguay",2019,"2020-03-27","2019-03-27 to 2019-04-02",1.16981709652464e-05
"19","Uruguay",2019,"2020-04-03","2019-04-03 to 2019-04-09",1.07454052340472e-05
"20","Uruguay",2019,"2020-04-10","2019-04-10 to 2019-04-16",1.15960046969121e-05
"21","Uruguay",2019,"2020-04-17","2019-04-17 to 2019-04-23",1.11743675006437e-05
"22","Uruguay",2019,"2020-04-24","2019-04-24 to 2019-04-30",1.38670211526914e-05
"23","Uruguay",2019,"2020-05-01","2019-05-01 to 2019-05-07",1.00805473266519e-05
"24","Uruguay",2019,"2020-05-08","2019-05-08 to 2019-05-14",2.04982115974417e-05
"25","Uruguay",2019,"2020-05-15","2019-05-15 to 2019-05-21",1.94268559425836e-05
"26","Uruguay",2019,"2020-05-22","2019-05-22 to 2019-05-28",2.06793083634693e-05
"27","Uruguay",2019,"2020-05-29","2019-05-29 to 2019-06-04",1.44207224366255e-05
"28","Uruguay",2019,"2020-06-05","2019-06-05 to 2019-06-11",2.00312042579753e-05
"29","Uruguay",2019,"2020-06-12","2019-06-12 to 2019-06-18",2.0599523850251e-05
"30","Uruguay",2019,"2020-06-19","2019-06-19 to 2019-06-25",2.56404437095625e-05
"31","Uruguay",2019,"2020-06-26","2019-06-26 to 2019-07-02",1.97821100300644e-05
"32","Uruguay",2019,"2020-07-03","2019-07-03 to 2019-07-09",2.27628224820364e-05
"33","Uruguay",2019,"2020-07-10","2019-07-10 to 2019-07-16",2.01395505428081e-05
"34","Uruguay",2019,"2020-07-17","2019-07-17 to 2019-07-23",1.57510057761101e-05
"35","Uruguay",2019,"2020-07-24","2019-07-24 to 2019-07-30",1.49038069139351e-05
"36","Uruguay",2019,"2020-07-31","2019-07-31 to 2019-08-06",1.39959356602049e-05
"37","Uruguay",2019,"2020-08-07","2019-08-07 to 2019-08-13",2.00533941097092e-05
"38","Uruguay",2019,"2020-08-14","2019-08-14 to 2019-08-20",1.46536167449085e-05
"39","Uruguay",2019,"2020-08-21","2019-08-21 to 2019-08-27",1.53733617480611e-05
"40","Uruguay",2019,"2020-08-28","2019-08-28 to 2019-09-03",2.31426711252425e-05
"41","Uruguay",2019,"2020-09-04","2019-09-04 to 2019-09-10",1.58225175255211e-05
"42","Uruguay",2019,"2020-09-11","2019-09-11 to 2019-09-17",1.25139758893056e-05
"43","Uruguay",2019,"2020-09-18","2019-09-18 to 2019-09-24",1.43518736877013e-05
"44","Uruguay",2019,"2020-09-25","2019-09-25 to 2019-10-01",1.72543914231937e-05
"45","Uruguay",2019,"2020-10-02","2019-10-02 to 2019-10-08",1.64328012033366e-05
"46","Uruguay",2019,"2020-10-09","2019-10-09 to 2019-10-15",2.30857276619645e-05
"47","Uruguay",2019,"2020-10-16","2019-10-16 to 2019-10-22",2.03456675080815e-05
"48","Uruguay",2019,"2020-10-23","2019-10-23 to 2019-10-29",1.61583302542567e-05
"49","Uruguay",2019,"2020-10-30","2019-10-30 to 2019-11-05",1.18622419904568e-05
"50","Uruguay",2019,"2020-11-06","2019-11-06 to 2019-11-12",1.01093946796027e-05
"51","Uruguay",2019,"2020-11-13","2019-11-13 to 2019-11-19",1.15147640826763e-05
"52","Uruguay",2019,"2020-11-20","2019-11-20 to 2019-11-26",1.35029376906459e-05
"53","Uruguay",2019,"2020-11-27","2019-11-27 to 2019-12-03",8.84842302184552e-06
"54","Uruguay",2019,"2020-12-04","2019-12-04 to 2019-12-10",9.26305256143678e-06
"55","Uruguay",2019,"2020-12-11","2019-12-11 to 2019-12-17",9.81864377536112e-06
"56","Uruguay",2019,"2020-12-18","2019-12-18 to 2019-12-24",4.96226130053401e-06
"57","Uruguay",2019,"2020-12-25","2019-12-25 to 2019-12-31",1.77755591721507e-05
"58","Uruguay",2020,"2019-11-28","2019-11-28 to 2019-12-04",8.78923947311705e-06
"59","Uruguay",2020,"2019-12-05","2019-12-05 to 2019-12-11",1.09409184005926e-05
"60","Uruguay",2020,"2019-12-12","2019-12-12 to 2019-12-18",8.36590970720863e-06
"61","Uruguay",2020,"2019-12-19","2019-12-19 to 2019-12-25",5.93779805058148e-06
"62","Uruguay",2020,"2019-12-26","2019-12-26 to 2020-01-01",1.87992336577736e-05
"63","Uruguay",2020,"2020-01-02","2020-01-02 to 2020-01-08",1.08127514977241e-05
"64","Uruguay",2020,"2020-01-09","2020-01-09 to 2020-01-15",1.49039660755079e-05
"65","Uruguay",2020,"2020-01-16","2020-01-16 to 2020-01-22",1.01891328085912e-05
"66","Uruguay",2020,"2020-01-23","2020-01-23 to 2020-01-29",9.52459504333092e-06
"67","Uruguay",2020,"2020-01-30","2020-01-30 to 2020-02-05",1.36075177579187e-05
"68","Uruguay",2020,"2020-02-06","2020-02-06 to 2020-02-12",1.18153229777818e-05
"69","Uruguay",2020,"2020-02-13","2020-02-13 to 2020-02-19",1.36107655634987e-05
"70","Uruguay",2020,"2020-02-20","2020-02-20 to 2020-02-26",1.01526038633892e-05
"71","Uruguay",2020,"2020-02-27","2020-02-27 to 2020-03-04",1.26926042867126e-05
"72","Uruguay",2020,"2020-03-06","2020-03-06 to 2020-03-12",1.47113969433121e-05
"73","Uruguay",2020,"2020-03-13","2020-03-13 to 2020-03-19",1.10751834654366e-05
"74","Uruguay",2020,"2020-03-20","2020-03-20 to 2020-03-26",1.31918359329575e-05
"75","Uruguay",2020,"2020-03-27","2020-03-27 to 2020-04-02",1.22519231808838e-05
"76","Uruguay",2020,"2020-04-03","2020-04-03 to 2020-04-09",1.28631445477367e-05
"77","Uruguay",2020,"2020-04-10","2020-04-10 to 2020-04-16",1.27467483252985e-05
"78","Uruguay",2020,"2020-04-17","2020-04-17 to 2020-04-23",1.28748524730327e-05
"79","Uruguay",2020,"2020-04-24","2020-04-24 to 2020-04-30",2.09519475902198e-05
"80","Uruguay",2020,"2020-05-01","2020-05-01 to 2020-05-07",1.07115411083214e-05
"81","Uruguay",2020,"2020-05-08","2020-05-08 to 2020-05-14",1.37804991027224e-05
"82","Uruguay",2020,"2020-05-15","2020-05-15 to 2020-05-21",1.63984950631857e-05
"83","Uruguay",2020,"2020-05-22","2020-05-22 to 2020-05-28",1.70607654581545e-05
"84","Uruguay",2020,"2020-05-29","2020-05-29 to 2020-06-04",2.40200042753713e-05
"85","Uruguay",2020,"2020-06-05","2020-06-05 to 2020-06-11",2.20742185774725e-05
"86","Uruguay",2020,"2020-06-12","2020-06-12 to 2020-06-18",1.88250633073039e-05
"87","Uruguay",2020,"2020-06-19","2020-06-19 to 2020-06-25",1.32783288790961e-05
"88","Uruguay",2020,"2020-06-26","2020-06-26 to 2020-07-02",1.99803889699979e-05
"89","Uruguay",2020,"2020-07-03","2020-07-03 to 2020-07-09",1.50761788972886e-05
"90","Uruguay",2020,"2020-07-10","2020-07-10 to 2020-07-16",2.13944658753462e-05
"91","Uruguay",2020,"2020-07-17","2020-07-17 to 2020-07-23",2.13843868550612e-05
"92","Uruguay",2020,"2020-07-24","2020-07-24 to 2020-07-30",2.00784015760291e-05
"93","Uruguay",2020,"2020-07-31","2020-07-31 to 2020-08-06",1.61174921231577e-05
"94","Uruguay",2020,"2020-08-07","2020-08-07 to 2020-08-13",1.92911884369096e-05
"95","Uruguay",2020,"2020-08-14","2020-08-14 to 2020-08-20",1.23982408695156e-05
"96","Uruguay",2020,"2020-08-21","2020-08-21 to 2020-08-27",1.52060320033343e-05
"97","Uruguay",2020,"2020-08-28","2020-08-28 to 2020-09-03",1.11974513856694e-05
"98","Uruguay",2020,"2020-09-04","2020-09-04 to 2020-09-10",1.11407243821304e-05
"99","Uruguay",2020,"2020-09-11","2020-09-11 to 2020-09-17",1.06453726402833e-05
"100","Uruguay",2020,"2020-09-18","2020-09-18 to 2020-09-24",1.47984128489043e-05
"101","Uruguay",2020,"2020-09-25","2020-09-25 to 2020-10-01",1.63316581165418e-05
"102","Uruguay",2020,"2020-10-02","2020-10-02 to 2020-10-08",1.58534639922436e-05
"103","Uruguay",2020,"2020-10-09","2020-10-09 to 2020-10-15",1.43892193591455e-05
"104","Uruguay",2020,"2020-10-16","2020-10-16 to 2020-10-22",2.10282159969211e-05
"105","Uruguay",2020,"2020-10-23","2020-10-23 to 2020-10-29",1.30438738779048e-05
"106","Uruguay",2020,"2020-10-30","2020-10-30 to 2020-11-05",1.11167391878553e-05
"107","Uruguay",2020,"2020-11-06","2020-11-06 to 2020-11-12",1.42200842674356e-05
"108","Uruguay",2020,"2020-11-13","2020-11-13 to 2020-11-19",1.03027923614718e-05
"109","Uruguay",2020,"2020-11-20","2020-11-20 to 2020-11-26",1.35922873596428e-05
"110","Uruguay",2020,"2020-11-27","2020-11-27 to 2020-12-03",7.89727255323669e-06
"111","Uruguay",2020,"2020-12-04","2020-12-04 to 2020-12-10",9.31780596147291e-06
"112","Uruguay",2020,"2020-12-11","2020-12-11 to 2020-12-17",9.69415305007715e-06
"113","Uruguay",2020,"2020-12-18","2020-12-18 to 2020-12-24",1.24858834169572e-05
"114","Uruguay",2020,"2020-12-25","2020-12-25 to 2020-12-31",1.50207697515725e-05
