"","Location","Period","Date","Week","NO2_Concentration"
"1","Uruguay",2019,"2019-11-28","2018-11-28 to 2018-12-04",7.79959555075038e-06
"2","Uruguay",2019,"2019-12-05","2018-12-05 to 2018-12-11",1.28000301629072e-05
"3","Uruguay",2019,"2019-12-12","2018-12-12 to 2018-12-18",5.97462940277182e-06
"4","Uruguay",2019,"2019-12-19","2018-12-19 to 2018-12-25",1.08030862975284e-05
"5","Uruguay",2019,"2019-12-26","2018-12-26 to 2019-01-01",1.03436832432635e-05
"6","Uruguay",2019,"2020-01-02","2019-01-02 to 2019-01-08",1.22476740216371e-05
"7","Uruguay",2019,"2020-01-09","2019-01-09 to 2019-01-15",1.05072049336741e-05
"8","Uruguay",2019,"2020-01-16","2019-01-16 to 2019-01-22",8.69800715008751e-06
"9","Uruguay",2019,"2020-01-23","2019-01-23 to 2019-01-29",1.43260203913087e-05
"10","Uruguay",2019,"2020-01-30","2019-01-30 to 2019-02-05",8.72495093062753e-06
"11","Uruguay",2019,"2020-02-06","2019-02-06 to 2019-02-12",1.78352656803327e-05
"12","Uruguay",2019,"2020-02-13","2019-02-13 to 2019-02-19",1.23445825011004e-05
"13","Uruguay",2019,"2020-02-20","2019-02-20 to 2019-02-26",1.69384347827872e-05
"14","Uruguay",2019,"2020-02-27","2019-02-27 to 2019-03-05",8.51703225634992e-06
"15","Uruguay",2019,"2020-03-06","2019-03-06 to 2019-03-12",9.78121261141496e-06
"16","Uruguay",2019,"2020-03-13","2019-03-13 to 2019-03-19",1.1822193300759e-05
"17","Uruguay",2019,"2020-03-20","2019-03-20 to 2019-03-26",9.7735382951214e-06
"18","Uruguay",2019,"2020-03-27","2019-03-27 to 2019-04-02",1.10656665128772e-05
"19","Uruguay",2019,"2020-04-03","2019-04-03 to 2019-04-09",1.12255338535761e-05
"20","Uruguay",2019,"2020-04-10","2019-04-10 to 2019-04-16",1.15112825369579e-05
"21","Uruguay",2019,"2020-04-17","2019-04-17 to 2019-04-23",1.38908580993302e-05
"22","Uruguay",2019,"2020-04-24","2019-04-24 to 2019-04-30",1.53065375343431e-05
"23","Uruguay",2019,"2020-05-01","2019-05-01 to 2019-05-07",1.06398501884541e-05
"24","Uruguay",2019,"2020-05-08","2019-05-08 to 2019-05-14",2.23794140765676e-05
"25","Uruguay",2019,"2020-05-15","2019-05-15 to 2019-05-21",2.45531900873175e-05
"26","Uruguay",2019,"2020-05-22","2019-05-22 to 2019-05-28",2.05790383915883e-05
"27","Uruguay",2019,"2020-05-29","2019-05-29 to 2019-06-04",1.05298049675184e-05
"28","Uruguay",2019,"2020-06-05","2019-06-05 to 2019-06-11",2.06487857212778e-05
"29","Uruguay",2019,"2020-06-12","2019-06-12 to 2019-06-18",3.01299714919878e-05
"30","Uruguay",2019,"2020-06-19","2019-06-19 to 2019-06-25",2.65282051259419e-05
"31","Uruguay",2019,"2020-06-26","2019-06-26 to 2019-07-02",5.07083532284014e-05
"32","Uruguay",2019,"2020-07-03","2019-07-03 to 2019-07-09",2.04192347155185e-05
"33","Uruguay",2019,"2020-07-10","2019-07-10 to 2019-07-16",2.3774924557074e-05
"34","Uruguay",2019,"2020-07-17","2019-07-17 to 2019-07-23",1.83192369149765e-05
"35","Uruguay",2019,"2020-07-24","2019-07-24 to 2019-07-30",1.55027282744413e-05
"36","Uruguay",2019,"2020-07-31","2019-07-31 to 2019-08-06",1.56206860992825e-05
"37","Uruguay",2019,"2020-08-07","2019-08-07 to 2019-08-13",2.10896396311e-05
"38","Uruguay",2019,"2020-08-14","2019-08-14 to 2019-08-20",1.73568332684226e-05
"39","Uruguay",2019,"2020-08-21","2019-08-21 to 2019-08-27",1.31871274788864e-05
"40","Uruguay",2019,"2020-08-28","2019-08-28 to 2019-09-03",2.00562717509456e-05
"41","Uruguay",2019,"2020-09-04","2019-09-04 to 2019-09-10",2.42450332734734e-05
"42","Uruguay",2019,"2020-09-11","2019-09-11 to 2019-09-17",1.49438501466648e-05
"43","Uruguay",2019,"2020-09-18","2019-09-18 to 2019-09-24",2.03577146749012e-05
"44","Uruguay",2019,"2020-09-25","2019-09-25 to 2019-10-01",1.8732051103143e-05
"45","Uruguay",2019,"2020-10-02","2019-10-02 to 2019-10-08",1.74580181919737e-05
"46","Uruguay",2019,"2020-10-09","2019-10-09 to 2019-10-15",2.27006912609795e-05
"47","Uruguay",2019,"2020-10-16","2019-10-16 to 2019-10-22",1.9252001948189e-05
"48","Uruguay",2019,"2020-10-23","2019-10-23 to 2019-10-29",1.33627900140709e-05
"49","Uruguay",2019,"2020-10-30","2019-10-30 to 2019-11-05",1.30344069475541e-05
"50","Uruguay",2019,"2020-11-06","2019-11-06 to 2019-11-12",8.44183159642853e-06
"51","Uruguay",2019,"2020-11-13","2019-11-13 to 2019-11-19",1.11079907583189e-05
"52","Uruguay",2019,"2020-11-20","2019-11-20 to 2019-11-26",1.38933501148131e-05
"53","Uruguay",2019,"2020-11-27","2019-11-27 to 2019-12-03",7.64065407565795e-06
"54","Uruguay",2019,"2020-12-04","2019-12-04 to 2019-12-10",8.48035597300623e-06
"55","Uruguay",2019,"2020-12-11","2019-12-11 to 2019-12-17",9.63716684054816e-06
"56","Uruguay",2019,"2020-12-18","2019-12-18 to 2019-12-24",4.1808716559899e-06
"57","Uruguay",2019,"2020-12-25","2019-12-25 to 2019-12-31",1.52067814269685e-05
"58","Uruguay",2020,"2019-11-28","2019-11-28 to 2019-12-04",7.35637013349333e-06
"59","Uruguay",2020,"2019-12-05","2019-12-05 to 2019-12-11",1.10593737190356e-05
"60","Uruguay",2020,"2019-12-12","2019-12-12 to 2019-12-18",6.9566603997373e-06
"61","Uruguay",2020,"2019-12-19","2019-12-19 to 2019-12-25",3.45709077009815e-06
"62","Uruguay",2020,"2019-12-26","2019-12-26 to 2020-01-01",1.58708480739733e-05
"63","Uruguay",2020,"2020-01-02","2020-01-02 to 2020-01-08",1.00861070677638e-05
"64","Uruguay",2020,"2020-01-09","2020-01-09 to 2020-01-15",1.11155814010999e-05
"65","Uruguay",2020,"2020-01-16","2020-01-16 to 2020-01-22",9.99374606180936e-06
"66","Uruguay",2020,"2020-01-23","2020-01-23 to 2020-01-29",1.01660452855867e-05
"67","Uruguay",2020,"2020-01-30","2020-01-30 to 2020-02-05",1.45704525493784e-05
"68","Uruguay",2020,"2020-02-06","2020-02-06 to 2020-02-12",1.3607699656859e-05
"69","Uruguay",2020,"2020-02-13","2020-02-13 to 2020-02-19",1.23515992527246e-05
"70","Uruguay",2020,"2020-02-20","2020-02-20 to 2020-02-26",9.36580363486428e-06
"71","Uruguay",2020,"2020-02-27","2020-02-27 to 2020-03-04",1.4021155948285e-05
"72","Uruguay",2020,"2020-03-06","2020-03-06 to 2020-03-12",1.21984385259566e-05
"73","Uruguay",2020,"2020-03-13","2020-03-13 to 2020-03-19",6.90271644998575e-06
"74","Uruguay",2020,"2020-03-20","2020-03-20 to 2020-03-26",1.10614018922206e-05
"75","Uruguay",2020,"2020-03-27","2020-03-27 to 2020-04-02",1.25879105326021e-05
"76","Uruguay",2020,"2020-04-03","2020-04-03 to 2020-04-09",1.34750243887538e-05
"77","Uruguay",2020,"2020-04-10","2020-04-10 to 2020-04-16",1.4282540178101e-05
"78","Uruguay",2020,"2020-04-17","2020-04-17 to 2020-04-23",1.34598694785382e-05
"79","Uruguay",2020,"2020-04-24","2020-04-24 to 2020-04-30",1.73900189111009e-05
"80","Uruguay",2020,"2020-05-01","2020-05-01 to 2020-05-07",1.23166819321341e-05
"81","Uruguay",2020,"2020-05-08","2020-05-08 to 2020-05-14",1.52225602505496e-05
"82","Uruguay",2020,"2020-05-15","2020-05-15 to 2020-05-21",1.90464870684082e-05
"83","Uruguay",2020,"2020-05-22","2020-05-22 to 2020-05-28",2.13300700124819e-05
"84","Uruguay",2020,"2020-05-29","2020-05-29 to 2020-06-04",3.68663568224292e-05
"85","Uruguay",2020,"2020-06-05","2020-06-05 to 2020-06-11",1.99741552933119e-05
"86","Uruguay",2020,"2020-06-12","2020-06-12 to 2020-06-18",2.26025313168066e-05
"87","Uruguay",2020,"2020-06-19","2020-06-19 to 2020-06-25",1.37080314743798e-05
"88","Uruguay",2020,"2020-06-26","2020-06-26 to 2020-07-02",1.99628739210311e-05
"89","Uruguay",2020,"2020-07-03","2020-07-03 to 2020-07-09",1.52466236613691e-05
"90","Uruguay",2020,"2020-07-10","2020-07-10 to 2020-07-16",1.78304690052755e-05
"91","Uruguay",2020,"2020-07-17","2020-07-17 to 2020-07-23",1.73575754160993e-05
"92","Uruguay",2020,"2020-07-24","2020-07-24 to 2020-07-30",1.57241738634184e-05
"93","Uruguay",2020,"2020-07-31","2020-07-31 to 2020-08-06",2.01908169401577e-05
"94","Uruguay",2020,"2020-08-07","2020-08-07 to 2020-08-13",2.59421885857591e-05
"95","Uruguay",2020,"2020-08-14","2020-08-14 to 2020-08-20",1.77216243173461e-05
"96","Uruguay",2020,"2020-08-21","2020-08-21 to 2020-08-27",1.5579696992063e-05
"97","Uruguay",2020,"2020-08-28","2020-08-28 to 2020-09-03",9.03202635527123e-06
"98","Uruguay",2020,"2020-09-04","2020-09-04 to 2020-09-10",1.09636330307694e-05
"99","Uruguay",2020,"2020-09-11","2020-09-11 to 2020-09-17",1.19889300549403e-05
"100","Uruguay",2020,"2020-09-18","2020-09-18 to 2020-09-24",1.56175174197415e-05
"101","Uruguay",2020,"2020-09-25","2020-09-25 to 2020-10-01",1.72218733496265e-05
"102","Uruguay",2020,"2020-10-02","2020-10-02 to 2020-10-08",1.76766880031209e-05
"103","Uruguay",2020,"2020-10-09","2020-10-09 to 2020-10-15",1.55360667122295e-05
"104","Uruguay",2020,"2020-10-16","2020-10-16 to 2020-10-22",1.75694312929409e-05
"105","Uruguay",2020,"2020-10-23","2020-10-23 to 2020-10-29",1.279602656723e-05
"106","Uruguay",2020,"2020-10-30","2020-10-30 to 2020-11-05",1.1910743523913e-05
"107","Uruguay",2020,"2020-11-06","2020-11-06 to 2020-11-12",1.5302692190744e-05
"108","Uruguay",2020,"2020-11-13","2020-11-13 to 2020-11-19",1.05827584775398e-05
"109","Uruguay",2020,"2020-11-20","2020-11-20 to 2020-11-26",1.5259627616615e-05
"110","Uruguay",2020,"2020-11-27","2020-11-27 to 2020-12-03",5.76276988795144e-06
"111","Uruguay",2020,"2020-12-04","2020-12-04 to 2020-12-10",8.74636498338077e-06
"112","Uruguay",2020,"2020-12-11","2020-12-11 to 2020-12-17",1.40539495987468e-05
"113","Uruguay",2020,"2020-12-18","2020-12-18 to 2020-12-24",1.31033857542207e-05
"114","Uruguay",2020,"2020-12-25","2020-12-25 to 2020-12-31",1.32636378111783e-05
