"","Location","Period","Date","Week","NO2_Concentration"
"1","US",2019,"2019-12-04","2018-12-04 to 2018-12-10",2.68364037765423e-05
"2","US",2019,"2019-12-11","2018-12-11 to 2018-12-17",2.51239362114575e-05
"3","US",2019,"2019-12-18","2018-12-18 to 2018-12-24",3.21896295645274e-05
"4","US",2019,"2019-12-25","2018-12-25 to 2018-12-31",2.38187712966464e-05
"5","US",2019,"2020-01-01","2019-01-01 to 2019-01-07",2.319281520613e-05
"6","US",2019,"2020-01-08","2019-01-08 to 2019-01-14",2.31510857702233e-05
"7","US",2019,"2020-01-15","2019-01-15 to 2019-01-21",2.13172843359644e-05
"8","US",2019,"2020-01-22","2019-01-22 to 2019-01-28",1.96368528122548e-05
"9","US",2019,"2020-01-29","2019-01-29 to 2019-02-04",1.95484099094756e-05
"10","US",2019,"2020-02-05","2019-02-05 to 2019-02-11",2.10901325772284e-05
"11","US",2019,"2020-02-12","2019-02-12 to 2019-02-18",1.81597224582219e-05
"12","US",2019,"2020-02-19","2019-02-19 to 2019-02-25",2.11558781302301e-05
"13","US",2019,"2020-02-26","2019-02-26 to 2019-03-04",2.25306921493029e-05
"14","US",2019,"2020-03-05","2019-03-05 to 2019-03-11",2.03723229788011e-05
"15","US",2019,"2020-03-12","2019-03-12 to 2019-03-18",1.98606849153293e-05
"16","US",2019,"2020-03-19","2019-03-19 to 2019-03-25",2.41696816374315e-05
"17","US",2019,"2020-03-26","2019-03-26 to 2019-04-01",2.15503150684526e-05
"18","US",2019,"2020-04-02","2019-04-02 to 2019-04-08",2.02571754925884e-05
"19","US",2019,"2020-04-09","2019-04-09 to 2019-04-15",1.86382894753478e-05
"20","US",2019,"2020-04-16","2019-04-16 to 2019-04-22",1.97930366994115e-05
"21","US",2019,"2020-04-23","2019-04-23 to 2019-04-29",1.82573585334467e-05
"22","US",2019,"2020-04-30","2019-04-30 to 2019-05-06",1.80711922439514e-05
"23","US",2019,"2020-05-07","2019-05-07 to 2019-05-13",1.77180845639668e-05
"24","US",2019,"2020-05-14","2019-05-14 to 2019-05-20",2.09563932003221e-05
"25","US",2019,"2020-05-21","2019-05-21 to 2019-05-27",1.92300358321518e-05
"26","US",2019,"2020-05-28","2019-05-28 to 2019-06-03",1.86804209079128e-05
"27","US",2019,"2020-06-04","2019-06-04 to 2019-06-10",2.02829669433413e-05
"28","US",2019,"2020-06-11","2019-06-11 to 2019-06-17",1.77356723725097e-05
"29","US",2019,"2020-06-18","2019-06-18 to 2019-06-24",1.78204718395136e-05
"30","US",2019,"2020-06-25","2019-06-25 to 2019-07-01",2.00166468857788e-05
"31","US",2019,"2020-07-02","2019-07-02 to 2019-07-08",1.83869942702586e-05
"32","US",2019,"2020-07-09","2019-07-09 to 2019-07-15",1.98792658920866e-05
"33","US",2019,"2020-07-16","2019-07-16 to 2019-07-22",1.90096816368168e-05
"34","US",2019,"2020-07-23","2019-07-23 to 2019-07-29",1.88695412361994e-05
"35","US",2019,"2020-07-30","2019-07-30 to 2019-08-05",2.08680103241932e-05
"36","US",2019,"2020-08-06","2019-08-06 to 2019-08-12",1.99607220565667e-05
"37","US",2019,"2020-08-13","2019-08-13 to 2019-08-19",1.90719438251108e-05
"38","US",2019,"2020-08-20","2019-08-20 to 2019-08-26",1.82154035428539e-05
"39","US",2019,"2020-08-27","2019-08-27 to 2019-09-02",1.72852433024673e-05
"40","US",2019,"2020-09-03","2019-09-03 to 2019-09-09",2.04591415240429e-05
"41","US",2019,"2020-09-10","2019-09-10 to 2019-09-16",1.86383185791783e-05
"42","US",2019,"2020-09-17","2019-09-17 to 2019-09-23",2.00886297534453e-05
"43","US",2019,"2020-09-24","2019-09-24 to 2019-09-30",1.85144399438286e-05
