"","Location","Period","Date","Week","NO2_Concentration"
"1","US",2019,"2019-12-04","2018-12-04 to 2018-12-10",4.76202803838532e-05
"2","US",2019,"2019-12-11","2018-12-11 to 2018-12-17",4.12662739108782e-05
"3","US",2019,"2019-12-18","2018-12-18 to 2018-12-24",4.8809168220032e-05
"4","US",2019,"2019-12-25","2018-12-25 to 2018-12-31",3.87322943424806e-05
"5","US",2019,"2020-01-01","2019-01-01 to 2019-01-07",3.57518074451946e-05
"6","US",2019,"2020-01-08","2019-01-08 to 2019-01-14",3.49232141161337e-05
"7","US",2019,"2020-01-15","2019-01-15 to 2019-01-21",4.15090435126331e-05
"8","US",2019,"2020-01-22","2019-01-22 to 2019-01-28",3.67784850823227e-05
"9","US",2019,"2020-01-29","2019-01-29 to 2019-02-04",3.27825473505072e-05
"10","US",2019,"2020-02-05","2019-02-05 to 2019-02-11",3.40632323059253e-05
"11","US",2019,"2020-02-12","2019-02-12 to 2019-02-18",2.88536757580005e-05
"12","US",2019,"2020-02-19","2019-02-19 to 2019-02-25",4.07479456043802e-05
"13","US",2019,"2020-02-26","2019-02-26 to 2019-03-04",3.70796078641433e-05
"14","US",2019,"2020-03-05","2019-03-05 to 2019-03-11",3.70202251360752e-05
"15","US",2019,"2020-03-12","2019-03-12 to 2019-03-18",3.24299944622908e-05
"16","US",2019,"2020-03-19","2019-03-19 to 2019-03-25",3.80298915843014e-05
"17","US",2019,"2020-03-26","2019-03-26 to 2019-04-01",3.29369941027835e-05
"18","US",2019,"2020-04-02","2019-04-02 to 2019-04-08",3.16974146699067e-05
"19","US",2019,"2020-04-09","2019-04-09 to 2019-04-15",2.54612023127265e-05
"20","US",2019,"2020-04-16","2019-04-16 to 2019-04-22",2.71141725534108e-05
"21","US",2019,"2020-04-23","2019-04-23 to 2019-04-29",2.73749265033985e-05
"22","US",2019,"2020-04-30","2019-04-30 to 2019-05-06",2.68662097369088e-05
"23","US",2019,"2020-05-07","2019-05-07 to 2019-05-13",2.8158236091258e-05
"24","US",2019,"2020-05-14","2019-05-14 to 2019-05-20",2.70298751274822e-05
"25","US",2019,"2020-05-21","2019-05-21 to 2019-05-27",2.75342717941385e-05
"26","US",2019,"2020-05-28","2019-05-28 to 2019-06-03",2.29375382332364e-05
"27","US",2019,"2020-06-04","2019-06-04 to 2019-06-10",2.67606210400118e-05
"28","US",2019,"2020-06-11","2019-06-11 to 2019-06-17",2.34464059758466e-05
"29","US",2019,"2020-06-18","2019-06-18 to 2019-06-24",2.43761242018081e-05
"30","US",2019,"2020-06-25","2019-06-25 to 2019-07-01",2.94792371278163e-05
"31","US",2019,"2020-07-02","2019-07-02 to 2019-07-08",2.67256491497392e-05
"32","US",2019,"2020-07-09","2019-07-09 to 2019-07-15",2.61152817984112e-05
"33","US",2019,"2020-07-16","2019-07-16 to 2019-07-22",2.35971838264959e-05
"34","US",2019,"2020-07-23","2019-07-23 to 2019-07-29",2.13301736948779e-05
"35","US",2019,"2020-07-30","2019-07-30 to 2019-08-05",2.49332770181354e-05
"36","US",2019,"2020-08-06","2019-08-06 to 2019-08-12",2.3324542780756e-05
"37","US",2019,"2020-08-13","2019-08-13 to 2019-08-19",2.54037640843308e-05
"38","US",2019,"2020-08-20","2019-08-20 to 2019-08-26",2.43546619458357e-05
"39","US",2019,"2020-08-27","2019-08-27 to 2019-09-02",2.08181027119281e-05
"40","US",2019,"2020-09-03","2019-09-03 to 2019-09-09",2.54884744208539e-05
"41","US",2019,"2020-09-10","2019-09-10 to 2019-09-16",2.5636380087235e-05
"42","US",2019,"2020-09-17","2019-09-17 to 2019-09-23",2.64025075011887e-05
"43","US",2019,"2020-09-24","2019-09-24 to 2019-09-30",2.57127830991521e-05
"44","US",2019,"2020-10-01","2019-10-01 to 2019-10-07",2.74562953563873e-05
"45","US",2019,"2020-10-08","2019-10-08 to 2019-10-14",2.90351945295697e-05
"46","US",2019,"2020-10-15","2019-10-15 to 2019-10-21",3.03700908261817e-05
"47","US",2019,"2020-10-22","2019-10-22 to 2019-10-28",3.51339040207677e-05
"48","US",2019,"2020-10-29","2019-10-29 to 2019-11-04",2.78383758995915e-05
"49","US",2019,"2020-11-05","2019-11-05 to 2019-11-11",3.17909616569523e-05
"50","US",2019,"2020-11-12","2019-11-12 to 2019-11-18",3.76388343283907e-05
"51","US",2019,"2020-11-19","2019-11-19 to 2019-11-25",4.10045358876232e-05
"52","US",2019,"2020-11-26","2019-11-26 to 2019-12-02",3.64492407243233e-05
"53","US",2019,"2020-12-03","2019-12-03 to 2019-12-09",3.84869781555608e-05
"54","US",2019,"2020-12-10","2019-12-10 to 2019-12-16",3.89400556741748e-05
"55","US",2019,"2020-12-17","2019-12-17 to 2019-12-23",4.93999796162825e-05
"56","US",2019,"2020-12-24","2019-12-24 to 2019-12-30",3.03147899103351e-05
"57","US",2019,"2020-12-31","2019-12-31 to 2020-01-06",3.00719366350677e-05
"58","US",2020,"2019-12-04","2019-12-04 to 2019-12-10",3.78071163140703e-05
"59","US",2020,"2019-12-11","2019-12-11 to 2019-12-17",4.0463921322953e-05
"60","US",2020,"2019-12-18","2019-12-18 to 2019-12-24",4.70317500003148e-05
"61","US",2020,"2019-12-25","2019-12-25 to 2019-12-31",2.87536477117101e-05
"62","US",2020,"2020-01-01","2020-01-01 to 2020-01-07",3.32094714394771e-05
"63","US",2020,"2020-01-08","2020-01-08 to 2020-01-14",3.87209802283905e-05
"64","US",2020,"2020-01-15","2020-01-15 to 2020-01-21",3.85058920073789e-05
"65","US",2020,"2020-01-22","2020-01-22 to 2020-01-28",4.63801770820282e-05
"66","US",2020,"2020-01-29","2020-01-29 to 2020-02-04",4.23560341005214e-05
"67","US",2020,"2020-02-05","2020-02-05 to 2020-02-11",2.80690492218127e-05
"68","US",2020,"2020-02-12","2020-02-12 to 2020-02-18",3.84234190278221e-05
"69","US",2020,"2020-02-19","2020-02-19 to 2020-02-25",3.63992439815775e-05
"70","US",2020,"2020-02-26","2020-02-26 to 2020-03-03",3.01502532238374e-05
"71","US",2020,"2020-03-05","2020-03-05 to 2020-03-11",2.991779911099e-05
"72","US",2020,"2020-03-12","2020-03-12 to 2020-03-18",2.76187784038484e-05
"73","US",2020,"2020-03-19","2020-03-19 to 2020-03-25",2.67138457274996e-05
"74","US",2020,"2020-03-26","2020-03-26 to 2020-04-01",2.18979748751735e-05
"75","US",2020,"2020-04-02","2020-04-02 to 2020-04-08",2.99679886666127e-05
"76","US",2020,"2020-04-09","2020-04-09 to 2020-04-15",2.53776961471885e-05
"77","US",2020,"2020-04-16","2020-04-16 to 2020-04-22",2.43727408815175e-05
"78","US",2020,"2020-04-23","2020-04-23 to 2020-04-29",2.48864853347186e-05
"79","US",2020,"2020-04-30","2020-04-30 to 2020-05-06",2.61737604887458e-05
"80","US",2020,"2020-05-07","2020-05-07 to 2020-05-13",2.06147778953891e-05
"81","US",2020,"2020-05-14","2020-05-14 to 2020-05-20",3.09135175484698e-05
"82","US",2020,"2020-05-21","2020-05-21 to 2020-05-27",2.70360160357086e-05
"83","US",2020,"2020-05-28","2020-05-28 to 2020-06-03",2.02824267034885e-05
"84","US",2020,"2020-06-04","2020-06-04 to 2020-06-10",2.59779972111573e-05
"85","US",2020,"2020-06-11","2020-06-11 to 2020-06-17",2.15194195334334e-05
"86","US",2020,"2020-06-18","2020-06-18 to 2020-06-24",2.38653428823454e-05
"87","US",2020,"2020-06-25","2020-06-25 to 2020-07-01",2.1805351934745e-05
"88","US",2020,"2020-07-02","2020-07-02 to 2020-07-08",2.36542400671169e-05
"89","US",2020,"2020-07-09","2020-07-09 to 2020-07-15",2.30065415962599e-05
"90","US",2020,"2020-07-16","2020-07-16 to 2020-07-22",2.66975039266981e-05
"91","US",2020,"2020-07-23","2020-07-23 to 2020-07-29",2.11744736589026e-05
"92","US",2020,"2020-07-30","2020-07-30 to 2020-08-05",2.32619186135707e-05
"93","US",2020,"2020-08-06","2020-08-06 to 2020-08-12",2.40942918026121e-05
"94","US",2020,"2020-08-13","2020-08-13 to 2020-08-19",2.31252470257459e-05
"95","US",2020,"2020-08-20","2020-08-20 to 2020-08-26",2.48037631536135e-05
"96","US",2020,"2020-08-27","2020-08-27 to 2020-09-02",2.19591856875923e-05
"97","US",2020,"2020-09-03","2020-09-03 to 2020-09-09",2.317537109775e-05
"98","US",2020,"2020-09-10","2020-09-10 to 2020-09-16",2.25977564696223e-05
"99","US",2020,"2020-09-17","2020-09-17 to 2020-09-23",2.33844057220267e-05
"100","US",2020,"2020-09-24","2020-09-24 to 2020-09-30",2.17705255636247e-05
"101","US",2020,"2020-10-01","2020-10-01 to 2020-10-07",2.5984378225985e-05
"102","US",2020,"2020-10-08","2020-10-08 to 2020-10-14",2.76881837635301e-05
"103","US",2020,"2020-10-15","2020-10-15 to 2020-10-21",2.35133975365898e-05
"104","US",2020,"2020-10-22","2020-10-22 to 2020-10-28",2.24753875954775e-05
"105","US",2020,"2020-10-29","2020-10-29 to 2020-11-04",3.11607363983057e-05
"106","US",2020,"2020-11-05","2020-11-05 to 2020-11-11",3.02305616060039e-05
"107","US",2020,"2020-11-12","2020-11-12 to 2020-11-18",3.65939195035025e-05
"108","US",2020,"2020-11-19","2020-11-19 to 2020-11-25",3.59269433829468e-05
"109","US",2020,"2020-11-26","2020-11-26 to 2020-12-02",3.40732585755177e-05
"110","US",2020,"2020-12-03","2020-12-03 to 2020-12-09",5.08874582010321e-05
"111","US",2020,"2020-12-10","2020-12-10 to 2020-12-16",4.78583788208198e-05
"112","US",2020,"2020-12-17","2020-12-17 to 2020-12-23",4.29155443271156e-05
"113","US",2020,"2020-12-24","2020-12-24 to 2020-12-30",3.59515906893648e-05
"114","US",2020,"2020-12-31","2020-12-31 to 2021-01-06",3.57813005393837e-05
