"","Period","Date","Week","NO2_Concentration"
"USA...1","2019",2019-12-31,"2018-12-31 to 2019-01-06",2.11019068956375e-05
"USA...2","2019",2020-01-07,"2019-01-07 to 2019-01-13",2.29364959523082e-05
"USA...3","2019",2020-01-14,"2019-01-14 to 2019-01-20",2.28201224672375e-05
"USA...4","2019",2020-01-21,"2019-01-21 to 2019-01-27",1.9983923266409e-05
"USA...5","2019",2020-01-28,"2019-01-28 to 2019-02-03",1.85629814950516e-05
"USA...6","2019",2020-02-04,"2019-02-04 to 2019-02-10",2.05152973649092e-05
"USA...7","2019",2020-02-11,"2019-02-11 to 2019-02-17",1.81233372131828e-05
"USA...8","2019",2020-02-18,"2019-02-18 to 2019-02-24",2.37121494137682e-05
"USA...9","2019",2020-02-25,"2019-02-25 to 2019-03-03",2.29559591389261e-05
"USA...10","2019",2020-03-04,"2019-03-04 to 2019-03-10",2.0864723410341e-05
"USA...11","2019",2020-03-11,"2019-03-11 to 2019-03-17",2.06296499527525e-05
"USA...12","2019",2020-03-18,"2019-03-18 to 2019-03-24",2.41334819293115e-05
"USA...13","2019",2020-03-25,"2019-03-25 to 2019-03-31",2.19396697502816e-05
"USA...14","2019",2020-04-01,"2019-04-01 to 2019-04-07",1.96214987226995e-05
"USA...15","2019",2020-04-08,"2019-04-08 to 2019-04-14",1.83488518814556e-05
"USA...16","2019",2020-04-15,"2019-04-15 to 2019-04-21",2.02823539439123e-05
"USA...17","2019",2020-04-22,"2019-04-22 to 2019-04-28",1.89265192602761e-05
"USA...18","2019",2020-04-29,"2019-04-29 to 2019-05-05",1.90374430530937e-05
"USA...19","2019",2020-05-06,"2019-05-06 to 2019-05-12",1.92754105228232e-05
"USA...20","2019",2020-05-13,"2019-05-13 to 2019-05-19",2.0241992388037e-05
"USA...21","2019",2020-05-20,"2019-05-20 to 2019-05-26",1.82540989044355e-05
"USA...22","2019",2020-05-27,"2019-05-27 to 2019-06-02",1.90181290236069e-05
"USA...23","2019",2020-06-03,"2019-06-03 to 2019-06-09",2.06964832614176e-05
