"","Period","Date","Week","NO2_Concentration"
"1","2019",2019-12-31,"2018-12-31 to 2019-01-06",2.53912988775868e-05
"2","2019",2020-01-07,"2019-01-07 to 2019-01-13",2.57432945079937e-05
"3","2019",2020-01-14,"2019-01-14 to 2019-01-20",2.6426890605071e-05
"4","2019",2020-01-21,"2019-01-21 to 2019-01-27",2.62718731399236e-05
"5","2019",2020-01-28,"2019-01-28 to 2019-02-03",2.33647455697042e-05
"6","2019",2020-02-04,"2019-02-04 to 2019-02-10",2.20531507400146e-05
"7","2019",2020-02-11,"2019-02-11 to 2019-02-17",2.1627495164044e-05
"8","2019",2020-02-18,"2019-02-18 to 2019-02-24",2.30915237536812e-05
"9","2019",2020-02-25,"2019-02-25 to 2019-03-03",2.36634979747478e-05
"10","2019",2020-03-04,"2019-03-04 to 2019-03-10",2.12096896027732e-05
"11","2019",2020-03-11,"2019-03-11 to 2019-03-17",2.18283504464011e-05
"12","2019",2020-03-18,"2019-03-18 to 2019-03-24",2.37518257591878e-05
"13","2019",2020-03-25,"2019-03-25 to 2019-03-31",2.23149682687691e-05
"14","2019",2020-04-01,"2019-04-01 to 2019-04-07",2.17414262420609e-05
"15","2019",2020-04-08,"2019-04-08 to 2019-04-14",2.07548318631213e-05
"16","2019",2020-04-15,"2019-04-15 to 2019-04-21",2.24200467104281e-05
"17","2019",2020-04-22,"2019-04-22 to 2019-04-28",2.07072209925755e-05
"18","2019",2020-04-29,"2019-04-29 to 2019-05-05",2.06544061807648e-05
"19","2019",2020-05-06,"2019-05-06 to 2019-05-12",1.98594599254615e-05
"20","2019",2020-05-13,"2019-05-13 to 2019-05-19",2.03102267174221e-05
"21","2019",2020-05-20,"2019-05-20 to 2019-05-26",2.06607634864857e-05
"22","2019",2020-05-27,"2019-05-27 to 2019-06-02",1.96674603670294e-05
"23","2019",2020-06-03,"2019-06-03 to 2019-06-09",2.05836812964533e-05
"24","2019",2020-06-10,"2019-06-10 to 2019-06-16",2.01077519158462e-05
"25","2019",2020-06-17,"2019-06-17 to 2019-06-23",1.99916627347947e-05
"26","2019",2020-06-24,"2019-06-24 to 2019-06-30",2.10307813690164e-05
"27","2019",2020-07-01,"2019-07-01 to 2019-07-07",2.00314324891087e-05
"28","2019",2020-07-08,"2019-07-08 to 2019-07-14",1.90570282170966e-05
"29","2019",2020-07-15,"2019-07-15 to 2019-07-21",1.92111811049379e-05
"30","2019",2020-07-22,"2019-07-22 to 2019-07-28",1.96541443252887e-05
"31","2019",2020-07-29,"2019-07-29 to 2019-08-04",1.95967219906545e-05
"32","2019",2020-08-05,"2019-08-05 to 2019-08-11",1.90860705525994e-05
"33","2019",2020-08-12,"2019-08-12 to 2019-08-18",1.98006472876033e-05
"34","2019",2020-08-19,"2019-08-19 to 2019-08-25",2.0475355673347e-05
"35","2019",2020-08-26,"2019-08-26 to 2019-09-01",1.94862284868058e-05
"36","2019",2020-09-02,"2019-09-02 to 2019-09-08",2.01838590267605e-05
"37","2019",2020-09-09,"2019-09-09 to 2019-09-15",2.07643968081501e-05
