Date,Country,City,Specie,min,max,median,variance
1/29/20,US,Seattle,no2,3.8,32.5,14.9,297.1
2/6/20,US,Seattle,no2,1.9,34.3,14.9,859
2/26/20,US,Seattle,no2,4.7,39.9,18.6,860.35
1/19/20,US,Seattle,no2,1.9,33.4,12.1,824.89
1/27/20,US,Seattle,no2,2.8,29.7,9.3,523.25
2/23/20,US,Seattle,no2,1,19.5,6.5,229.53
2/25/20,US,Seattle,no2,2.8,39.9,19.5,831.93
3/23/20,US,Seattle,no2,1,76.1,8.4,1145.43
1/6/20,US,Seattle,no2,2.8,23.2,6.5,224.76
1/11/20,US,Seattle,no2,1.9,26,4.7,356.65
3/8/20,US,Seattle,no2,1.9,24.1,9.3,255.05
4/4/20,US,Seattle,no2,1.9,24.1,6.5,195.52
1/8/20,US,Seattle,no2,1,35.2,8.4,665.06
2/28/20,US,Seattle,no2,2.8,23.2,13,343.42
1/10/20,US,Seattle,no2,2.8,31.5,9.3,267.3
1/30/20,US,Seattle,no2,4.7,27.8,13,285.64
2/3/20,US,Seattle,no2,2.8,27.8,12.1,400.64
2/14/20,US,Seattle,no2,1,33.4,11.2,672.34
2/21/20,US,Seattle,no2,4.7,36.2,21.3,796.28
2/24/20,US,Seattle,no2,1,45.4,10.2,958.93
12/30/19,US,Seattle,no2,3.8,22.3,12.1,207.19
1/7/20,US,Seattle,no2,1.9,27.8,6.5,444.35
3/1/20,US,Seattle,no2,2.8,28.8,10.2,412.71
3/28/20,US,Seattle,no2,1.9,12.1,6.5,63.69
3/4/20,US,Seattle,no2,1,33.4,13.9,690.47
3/26/20,US,Seattle,no2,1.9,29.7,10.2,371.41
1/23/20,US,Seattle,no2,3.8,35.2,15.8,410.16
1/25/20,US,Seattle,no2,2.8,26,9.3,318.43
2/9/20,US,Seattle,no2,4.7,27.8,11.2,308.73
3/3/20,US,Seattle,no2,1.9,30.6,8.4,481.13
3/7/20,US,Seattle,no2,1.9,26,13,347.36
3/21/20,US,Seattle,no2,2.8,40.8,13.9,1068.06
3/22/20,US,Seattle,no2,1,26.9,9.3,408.62
4/3/20,US,Seattle,no2,1,20.4,5.6,244.4
1/1/20,US,Seattle,no2,1,28.8,4.7,499.85
1/3/20,US,Seattle,no2,1.9,41.7,13.9,1238.51
3/20/20,US,Seattle,no2,2.8,42.6,16.7,727.86
3/24/20,US,Seattle,no2,2.8,24.1,9.3,372.19
1/13/20,US,Seattle,no2,1.9,32.5,11.2,604.89
1/18/20,US,Seattle,no2,1,27.8,7.5,464.3
1/9/20,US,Seattle,no2,11.2,34.3,17.6,285.93
2/4/20,US,Seattle,no2,5.6,33.4,17.6,203.43
2/18/20,US,Seattle,no2,2.8,19.5,12.1,189
2/29/20,US,Seattle,no2,1,20.4,5.6,233.73
3/9/20,US,Seattle,no2,5.6,36.2,13.9,522.31
12/31/19,US,Seattle,no2,1,32.5,8.4,468.74
1/5/20,US,Seattle,no2,1.9,13.9,5.6,111.57
3/5/20,US,Seattle,no2,3.8,32.5,13.9,487.65
3/10/20,US,Seattle,no2,1,31.5,14.9,552.72
3/13/20,US,Seattle,no2,1.9,30.6,8.4,311.79
3/17/20,US,Seattle,no2,6.5,38,21.3,534.18
2/7/20,US,Seattle,no2,1.9,33.4,10.2,580.81
2/19/20,US,Seattle,no2,3.8,41.7,17.6,1014.6
1/21/20,US,Seattle,no2,1.9,31.5,13,410.65
2/2/20,US,Seattle,no2,1.9,27.8,9.3,426.57
1/4/20,US,Seattle,no2,1,16.7,5.6,176.95
1/17/20,US,Seattle,no2,2.8,29.7,16.7,539.52
3/12/20,US,Seattle,no2,3.8,31.5,13.9,555.53
3/27/20,US,Seattle,no2,2.8,26.9,10.2,379.47
2/11/20,US,Seattle,no2,5.6,24.1,15.8,173.81
2/16/20,US,Seattle,no2,1,17.6,5.6,259.99
1/31/20,US,Seattle,no2,1.9,30.6,8.4,319.2
2/5/20,US,Seattle,no2,3.8,35.2,13,717.43
2/8/20,US,Seattle,no2,1,16.7,4.7,138.9
2/15/20,US,Seattle,no2,2.8,14.9,8.4,133.54
3/31/20,US,Seattle,no2,1,27.8,7.5,455.58
4/1/20,US,Seattle,no2,1,24.1,9.3,316.02
1/15/20,US,Seattle,no2,1,25.1,4.7,266.05
1/28/20,US,Seattle,no2,1,41.7,13,623.05
1/26/20,US,Seattle,no2,1.9,20.4,6.5,189.97
2/10/20,US,Seattle,no2,9.3,26.9,15.8,187.02
2/22/20,US,Seattle,no2,2.8,38,12.1,1031.41
3/18/20,US,Seattle,no2,5.6,50.1,22.3,798.28
3/19/20,US,Seattle,no2,5.6,54.4,20.4,1004.82
3/25/20,US,Seattle,no2,3.8,29.7,12.1,354.68
1/2/20,US,Seattle,no2,1,43.6,10.2,755.39
1/16/20,US,Seattle,no2,1.9,38,13.9,607.02
3/29/20,US,Seattle,no2,1,18.6,4.7,125.18
1/22/20,US,Seattle,no2,2.8,38.9,11.2,464.27
1/24/20,US,Seattle,no2,4.7,38,13,506.1
2/13/20,US,Seattle,no2,2.8,28.8,15.8,390.13
3/15/20,US,Seattle,no2,1.9,12.1,5.6,65.37
3/30/20,US,Seattle,no2,1,21.3,6.5,291.6
4/2/20,US,Seattle,no2,1,24.1,10.2,302.28
1/12/20,US,Seattle,no2,1.9,16.7,3.8,145.88
