"","Super.region","Regions","location","Area","Longitude","Latitude","NO2_Concentration","iso.code","continent","date","totcases","totdeaths","totcases.mil","totdeaths.mil","population","pop.density","med.age","older70","gdp.cap","card.death","diab.prev","fem.smokers","male.smokers","case.fatality.rate","pop.weighted.NO2"
"1","High-income","High-income Asia Pacific","Brunei",527,114.591,4.468,6.92360156093604e-06,"BRN","Asia",2021-06-28,259,3,592.023,6.857,437483,81.347,32.4,2.382,71809.251,201.285,12.79,2,30.9,0.0115830115830116,1.24570724253298e-09
"2","High-income","High-income Asia Pacific","Japan",36450,139.068,36.491,3.53552476760722e-05,"JPN","Asia",2021-06-28,797084,14659,6302.232,115.903,126476458,347.778,48.2,18.493,39002.223,79.37,5.72,11.2,33.7,0.0183907844091714,4.97580472740891e-09
"3","High-income","High-income Asia Pacific","Singapore",67,103.808,1.351,2.19577210440327e-05,"SGP","Asia",2021-06-28,62553,36,10692.194,6.153,5850343,7915.731,42.4,7.049,85535.383,92.243,10.99,5.2,28.3,0.000575511965852957,0
"4","High-income","High-income Asia Pacific","South Korea",9873,128.103,36.504,6.6258837681067e-05,"KOR","Asia",2021-06-28,156167,2017,3046.021,39.341,51269183,527.967,43.4,8.622,35938.374,85.998,6.8,6.2,40.9,0.0129156607990164,4.91853482878994e-09
"5","High-income","High-income Australasia","Australia",768230,136.189,-24.973,1.1512095483073e-05,"AUS","Oceania",2021-06-28,30560,910,1198.437,35.686,25499881,3.202,37.9,10.129,44648.71,107.791,5.07,13,16.5,0.0297774869109948,1.53525642524323e-09
"6","High-income","High-income Australasia","New Zealand",26799,172.235,-42.634,1.0419667706263e-05,"NZL","Oceania",2021-06-28,2742,26,568.616,5.392,4822233,18.206,37.9,9.72,36085.843,128.797,8.08,14.8,17.2,0.00948212983223924,1.12177692148906e-09
"7","High-income","High-income North America","Canada",909351,-109.433,59.081,6.2499366400619e-06,"CAN","North America",2021-06-28,1421695,26215,37668.621,694.581,37742157,4.037,41.4,10.797,44017.591,105.599,7.37,12,16.6,0.018439257365328,3.68494959574834e-09
"8","High-income","High-income North America","Greenland",41045,-41.391,74.719,1.05576053139352e-07,"GRL","North America",2021-06-28,NA,NA,NA,NA,56772,0.137,NA,NA,NA,199.941,2.16,NA,NA,NA,7.55481306684285e-10
"9","High-income","High-income North America","United States",915896,-98.606,39.622,1.73441359463595e-05,"USA","North America",2021-06-28,33640502,604081,101632.124,1825.004,331002647,35.608,38.3,9.732,54225.446,151.089,10.79,19.1,24.6,0.0179569555769412,3.40493195397514e-09
"10","High-income","High-income Southern Latin America","Argentina",273669,-65.167,-35.377,1.14350910501948e-05,"ARG","South America",2021-06-28,4423636,93142,97877.198,2060.856,45195777,16.177,31.9,7.441,18933.907,191.032,5.5,16.2,27.7,0.0210555298853703,1.8202555856643e-09
"11","High-income","High-income Southern Latin America","Chile",74880,-69.433,-23.389,1.09363316218358e-05,"CHL","South America",2021-06-28,1551137,32454,81142.501,1697.722,19116209,24.282,35.4,6.938,22767.037,127.993,8.46,34.2,41.5,0.0209227166910466,1.73850352023349e-09
"12","High-income","High-income Southern Latin America","Uruguay",17502,-56.012,-32.8,1.20886371440074e-05,"URY","South America",2021-06-28,366915,5524,105625.744,1590.223,3473727,19.751,35.6,10.361,20551.409,160.708,6.93,14,19.9,0.0150552580297889,1.30478663329262e-09
"13","High-income","High-income Western Europe","Andorra",0,1.576,42.549,2.99518733186125e-05,"AND","Europe",2021-06-28,13882,127,179667.379,1643.694,77265,163.755,NA,NA,NA,109.135,7.97,29,37.8,0.00914853767468665,0
"14","High-income","High-income Western Europe","Austria",8245,14.912,47.683,2.5006311217908e-05,"AUT","Europe",2021-06-28,650324,10701,72206.875,1188.155,9006400,106.749,44.4,13.748,45436.686,145.183,6.35,28.4,30.9,0.0164548748008685,3.79798630320851e-09
"15","High-income","High-income Western Europe","Belgium",0,4.664,50.643,3.99662800692417e-05,"BEL","Europe",2021-06-28,1083478,25168,93486.963,2171.599,11589616,375.564,41.8,12.849,42658.576,114.898,4.29,25.1,31.4,0.0232288980486913,2.70606667218822e-09
"16","High-income","High-income Western Europe","Cyprus",924,33.219,35.043,2.04424746704792e-05,"CYP","Europe",2021-06-28,75099,374,84570.47,421.169,888005,127.657,37.3,8.563,32415.132,141.171,9.24,19.6,52.7,0.00498009294398061,0
"17","High-income","High-income Western Europe","Denmark",4243,9.264,56.058,3.06897571869039e-05,"DNK","Europe",2021-06-28,293916,2534,50743.387,437.485,5792203,136.52,42.3,12.325,46682.515,114.767,6.41,19.3,18.8,0.00862151090787844,3.23642078396241e-09
"18","High-income","High-income Western Europe","Finland",30459,26.272,64.504,1.54813875976533e-05,"FIN","Europe",2021-06-28,95168,969,17176.113,174.887,5540718,18.136,42.8,13.264,40585.721,153.507,5.76,18.3,22.6,0.0101819939475454,4.16670903360693e-09
"19","High-income","High-income Western Europe","France",55010,2.55,46.565,2.92570047477218e-05,"FRA","Europe",2021-06-28,5832490,111174,86325.089,1645.456,67564251,122.578,42,13.079,38605.671,86.06,4.77,30.1,35.6,0.0190611556985096,3.68469152883693e-09
"20","High-income","High-income Western Europe","Germany",34895,9.851,51.11,4.90032925178458e-05,"DEU","Europe",2021-06-28,3734830,90826,44576.917,1084.05,83783945,237.016,46.6,15.957,45229.245,156.139,8.31,28.2,33.1,0.0243186436865935,5.89155826015399e-09
"21","High-income","High-income Western Europe","Greece",12890,21.766,39.666,1.93718871467412e-05,"GRC","Europe",2021-06-28,421266,12663,40416.745,1214.903,10423056,83.479,45.3,14.524,24574.382,175.695,4.55,35.3,52,0.0300593924028998,1.22312222980798e-09
"22","High-income","High-income Western Europe","Iceland",10025,-18.48,64.764,7.08882597518499e-06,"ISL","Europe",2021-06-28,6555,29,19208.791,84.982,341250,3.404,37.3,9.207,46482.958,117.992,5.31,14.3,15.2,0.00442410373760488,1.12484531355461e-09
"23","High-income","High-income Western Europe","Ireland",6889,-8.152,53.177,1.51686775094961e-05,"IRL","Europe",2021-06-28,271589,4989,55002.07,1010.37,4937796,69.874,38.7,8.678,67335.293,126.459,3.28,23,25.7,0.0183696688746599,2.25270471297943e-09
